system,product,event_type,event_date,body,outcome,detail,amount,currency,stated_reason_verbatim,source_doc,source_url,fetched_date,status,notes
United States,Abecma,add-on-payment,2022-08-10,CMS,granted,FY2023 NTAP continued for ABECMA.,289532.75,USD,"As a result, the maximum new technology add-on payment for a case involving the use of CARVYKTI or ABECMA is $289,532.75 for FY 2023.",FY2023 IPPS/LTCH PPS final rule (FR Doc 2022-16472),https://www.federalregister.gov/documents/2022/08/10/2022-16472,2026-09-06,verified-from-source,
United States,CAR-T class,payment-rule,2022-08-10,CMS,stated,"FY2023 Table 5: MS-DRG 018 relative weight (amount field), geometric mean LOS 14.7 days, arithmetic mean LOS 17.4 days.",36.1452,relative weight,018 No No PRE MED CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES 36.1452 14.7 17.4,CMS-1771-F Table 5 (FY2023 IPPS final rule),https://www.cms.gov/files/zip/fy2023-ipps-fr-table-5.zip,2026-09-06,verified-from-source,Payment = weight x hospital-specific base rate; base rates not tabulated here.
United States,CAR-T class,add-on-payment,2023-08-28,CMS,restricted,FY2024 IPPS final rule: no cohort cell or gene therapy approved for NTAP; a commenter asked CMS to extend NTAP into FY2024 for ABECMA and CARVYKTI (newness period).,,,"A commenter disagreed with defining the newness start date as the date of commercial availability/FDA approval date for cell and gene therapies, and requested that CMS extend new technology add-on payments into FY 2024 for both ABECMA and CARVYKTI as the newness start date being utilized is extremely close to the mid-year","FY2024 IPPS/LTCH PPS final rule, 88 FR 58640 (FR Doc 2023-16252)",https://www.federalregister.gov/documents/2023/08/28/2023-16252,2026-09-06,verified-from-source,"Full-text search of the FY2024 rule found no NTAP decision for Zynteglo, Skysona, Hemgenix, Omisirge, Adstiladrin, Elevidys, Roctavian or Vyjuvek."
United States,CAR-T class,payment-rule,2023-08-28,CMS,stated,"FY2024 Table 5: MS-DRG 018 relative weight; GMLOS 12.9, AMLOS 15.1.",36.8427,relative weight,018 No No PRE MED CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES 36.8427 36.8427 12.9 15.1,CMS-1785-F Table 5 (FY2024 IPPS final rule),https://www.cms.gov/files/zip/fy2024-ipps-fr-table-5.zip,2026-09-06,verified-from-source,
United States,Casgevy,add-on-payment,2024-08-28,CMS,granted,FY2025 IPPS final rule NTAP for Casgevy for sickle cell disease (SCD indication only).,1650000,USD,"As a result, the maximum new technology add-on payment for a case involving the use of Casgevy for the treatment of SCD is $1,650,000 for FY 2025.","FY2025 IPPS/LTCH PPS final rule, 89 FR 68986 (FR Doc 2024-17021)",https://www.federalregister.gov/documents/2024/08/28/2024-17021,2026-09-06,verified-from-source,"Arithmetic: 1,650,000 / 2,200,000 = 0.75 of list price; check rule text for the SCD gene therapy NTAP percentage."
United States,Casgevy,add-on-payment,2024-08-28,CMS,restricted,FY2025 IPPS final rule: NTAP not approved for Casgevy for transfusion-dependent beta-thalassaemia (substantial clinical improvement not shown).,,,we are unable to determine that Casgevy for TDT meets the substantial clinical improvement criterion to be approved for new technology add-on payments,FY2025 IPPS/LTCH PPS final rule (FR Doc 2024-17021),https://www.federalregister.gov/documents/2024/08/28/2024-17021,2026-09-06,verified-from-source,
United States,Lyfgenia,add-on-payment,2024-08-28,CMS,granted,FY2025 IPPS final rule NTAP for Lyfgenia (SCD).,2325000,USD,"As a result, the maximum new technology add-on payment for a case involving the use of Lyfgenia for the treatment of SCD is $2,325,000 for FY 2025.",FY2025 IPPS/LTCH PPS final rule (FR Doc 2024-17021),https://www.federalregister.gov/documents/2024/08/28/2024-17021,2026-09-06,verified-from-source,"Arithmetic: 2,325,000 / 3,100,000 = 0.75 of list price."
United States,Amtagvi,add-on-payment,2024-08-28,CMS,restricted,FY2025 IPPS final rule: NTAP not approved for AMTAGVI.,,,"we are unable to determine that AMTAGVI represents a substantial clinical improvement over existing technologies for the reasons discussed in the proposed rule and in this final rule, and therefore we are not approving new technology add-on payments for AMTAGVI for FY 2025.",FY2025 IPPS/LTCH PPS final rule (FR Doc 2024-17021),https://www.federalregister.gov/documents/2024/08/28/2024-17021,2026-09-06,verified-from-source,
United States,Lantidra,add-on-payment,2024-08-28,CMS,restricted,FY2025 IPPS final rule: NTAP not approved for Lantidra.,,,"we are unable to determine that Lantidra represents a substantial clinical improvement over existing technologies for the reasons discussed in the proposed rule and in this final rule, and therefore, we are not approving new technology add-on payments for Lantidra for FY 2025.",FY2025 IPPS/LTCH PPS final rule (FR Doc 2024-17021),https://www.federalregister.gov/documents/2024/08/28/2024-17021,2026-09-06,verified-from-source,
United States,CAR-T class,payment-rule,2024-08-28,CMS,stated,"FY2025 Table 5: MS-DRG 018 relative weight 37.7102 (final rule file) and 37.7128 (correction notice file); GMLOS 12.3, AMLOS 14.6.",37.7102,relative weight,018 No No PRE MED CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES 37.7102 37.7102 12.3 14.6,FY2025 IPPS Final Rule and Correction Notice Table 5,https://www.cms.gov/files/zip/fy-2025-ipps-final-rule-table-5.zip,2026-09-06,verified-from-source,Correction notice weight 37.7128.
United States,Breyanzi,add-on-payment,2025-08-04,CMS,granted,FY2026 IPPS final rule NTAP for BREYANZI.,316860.05,USD,"As a result, the maximum new technology add-on payment for a case involving the use of BREYANZI is $316,860.05 for FY 2026.",FY2026 IPPS/LTCH PPS final rule (FR Doc 2025-14681),https://www.federalregister.gov/documents/2025/08/04/2025-14681,2026-09-06,verified-from-source,
United States,Tecelra,add-on-payment,2025-08-04,CMS,granted,FY2026 IPPS final rule NTAP for TECELRA.,472550,USD,"As a result, the maximum new technology add-on payment for a case involving the use of TECELRA is $472,550 for FY 2026.",FY2026 IPPS/LTCH PPS final rule (FR Doc 2025-14681),https://www.federalregister.gov/documents/2025/08/04/2025-14681,2026-09-06,verified-from-source,
United States,Aucatzyl,add-on-payment,2025-08-04,CMS,restricted,FY2026 IPPS final rule: AUCATZYL not eligible for NTAP (newness measured from TECARTUS market entry).,,,"Since the 3-year anniversary date of TECARTUS's entry onto the market occurred prior to FY 2026, AUCATZYL does not meet the newness criterion and is not eligible for new technology add-on payments for FY 2026.",FY2026 IPPS/LTCH PPS final rule (FR Doc 2025-14681),https://www.federalregister.gov/documents/2025/08/04/2025-14681,2026-09-06,verified-from-source,
United States,CAR-T class,payment-rule,2025-08-04,CMS,stated,"FY2026 Table 5: MS-DRG 018 relative weight; GMLOS 12.4, AMLOS 14.7.",43.1828,relative weight,018 No No PRE MED CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES 43.1828 43.1828 12.4 14.7,CMS-1833-F Table 5 (FY2026 IPPS final rule),https://www.cms.gov/files/zip/fy2026-ipps-fr-table-5.zip,2026-09-06,verified-from-source,
United States,Zevaskyn,add-on-payment,2026-08-04,CMS,granted,FY2027 IPPS final rule NTAP for ZEVASKYN.,2045550,USD,"As a result, the maximum new technology add-on payment for a case involving the use of ZEVASKYN is $2,045,550 for FY 2027.",FY2027 IPPS/LTCH PPS final rule (FR Doc 2026-15833),https://www.federalregister.gov/documents/2026/08/04/2026-15833,2026-09-06,verified-from-source,
United States,Waskyra,add-on-payment,2026-08-04,CMS,restricted,FY2027 IPPS final rule: NTAP not approved for WASKYRA (newness: not a new disease or population).,,,"Therefore, we are not approving new technology add-on payments for WASKYRA for FY 2027.",FY2027 IPPS/LTCH PPS final rule (FR Doc 2026-15833),https://www.federalregister.gov/documents/2026/08/04/2026-15833,2026-09-06,verified-from-source,
United States,CAR-T class,payment-rule,2026-08-04,CMS,stated,"FY2027 Table 5: MS-DRG 018 relative weight; GMLOS 11.4, AMLOS 13.3.",45.1272,relative weight,018 No No PRE MED CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES 45.1272 45.1272 11.4 13.3,CMS-1849-F Table 5 (FY2027 IPPS final rule),https://www.cms.gov/files/zip/fy2027-ipps-fr-table-5.zip,2026-09-06,verified-from-source,
United States,CAR-T class,payment-rule,2018-11-21,CMS,stated,"Outpatient (Part B) setting: CY2019 OPPS final rule notes Kymriah and Yescarta received transitional pass-through status from 2018-04-01; HCPCS Q2040 replaced by Q2042 from 2019-01-01, Q2041 continued; no separate payment for leukapheresis and dose-preparation steps.",,,"Both of these CAR T-cell therapies were approved for transitional pass-through payment status, effective April 1, 2018.","CY2019 OPPS/ASC final rule, 83 FR 58818 (FR Doc 2018-24243)",https://www.federalregister.gov/documents/2018/11/21/2018-24243,2026-09-06,verified-from-source,Inpatient (Part A) cases go to MS-DRG 018 from FY2021; outpatient cases are paid as separately payable biologicals under OPPS.
United States,gene therapy class,coverage-determination,,CMS,not-found,"No national coverage determination for Casgevy, Lyfgenia, Hemgenix or Zolgensma was retrieved; only NCD 110.24 (CAR-T) was read. Medicare coverage for these products is therefore by contractor/claim-by-claim determination as far as this retrieval shows.",,,,CMS Medicare Coverage Database (NCD 110.24 only read),https://www.cms.gov/medicare-coverage-database/,2026-09-06,not-found,Not an exhaustive search of LCDs or articles.
United States,system,payment-rule,2020-12-31,CMS,stated,Medicaid final rule 85 FR 87000 permits manufacturers to report multiple best prices for a value-based purchasing arrangement offered to all states; that provision delayed to 2022-01-01 in the rule.,,,"we are revising the definition of best price at 447.505(a) to state that if a manufacturer offers a value based purchasing arrangement (as defined at 447.502) to all states, the lowest price available from a manufacturer may include varying best price points for a single dosage form and strength",Medicaid Program; Establishing Minimum Standards in Medicaid State DUR and Supporting VBP for Drugs Covered in Medicaid (FR Doc 2020-28567),https://www.federalregister.gov/documents/2020/12/31/2020-28567,2026-09-06,verified-from-source,"Rule text: ""the final policy permitting multiple best prices reporting will not be effective until January 1, 2022""."
United States,system,payment-rule,2021-11-19,CMS,stated,Final rule delaying the multiple-best-price VBP provision by six months (to 2022-07-01).,,,"This final rule will delay for 6 months the January 1, 2022 effective date for amendatory instruction 10.a., which addresses the reporting by manufacturers of multiple best prices connected to a value based purchasing (VBP) arrangement",Medicaid Program; Delay of Effective Date for Provision Relating to Manufacturer Reporting of Multiple Best Prices (FR Doc 2021-25009),https://www.federalregister.gov/documents/2021/11/19/2021-25009,2026-09-06,verified-from-source,Abstract read via Federal Register API; correction notice FR Doc 2021-27452 (2021-12-17).
United States,gene therapy class,access-model,2024-01-30,CMS / CMS Innovation Center,started,Cell and Gene Therapy (CGT) Access Model announced for sickle cell disease gene therapies; CMS negotiates outcomes-based agreements with manufacturers; states join between January 2025 and January 2026.,,,"The CGT Access Model will begin in January 2025, and states may choose to begin participation at a time of their choosing between January 2025 and January 2026.",CMS press release 30 January 2024,https://www.cms.gov/newsroom/press-releases/biden-harris-administration-announces-action-increase-access-sickle-cell-disease-treatments,2026-09-06,verified-from-source,"Release: ""Approximately 50% to 60% of people living with SCD are enrolled in Medicaid."" and ""CMS will negotiate an OBA with participating manufacturers, which will tie pricing for SCD treatments to whether the therapy improves health outcomes for people with Medicaid."""
United States,Casgevy,access-model,2025-07-15,CMS,started,CMS announces 33 states plus DC and Puerto Rico participating in the CGT Access Model; participating states cover about 84 percent of Medicaid beneficiaries with SCD; optional federal support up to $9.55 million per state; start dates January 2025 to January 2026.,33,states,Participating states represent approximately 84% of Medicaid beneficiaries with the condition,CMS press release 15 July 2025,https://www.cms.gov/newsroom/press-releases/cms-expands-access-lifesaving-gene-therapies-through-innovative-state-agreements,2026-09-06,verified-from-source,"States: Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Illinois, Kansas, Kentucky, Louisiana, Maine, Maryland, Michigan, Mississippi, Missouri, New Jersey, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, plus DC and Puerto Rico. Release wording: states ""receive guaranteed discounts and rebates from participating CGT manufacturers if the therapies fail to deliver their promised therapeutic benefits""."
United States,Lyfgenia,access-model,2025-07-15,CMS,started,Same announcement applies to Lyfgenia (both SCD gene therapies are in the model).,33,states,Participating states represent approximately 84% of Medicaid beneficiaries with the condition,CMS press release 15 July 2025,https://www.cms.gov/newsroom/press-releases/cms-expands-access-lifesaving-gene-therapies-through-innovative-state-agreements,2026-09-06,verified-from-source,
United States,gene therapy class,access-model,2026-09-06,CMS Innovation Center,stated,CGT Access Model page (as read 2026-09-06): participating manufacturers Genetix Biotherapeutics Inc. and Vertex Pharmaceuticals Incorporated; page lists 32 states plus DC and Puerto Rico (Maine appears in the July 2025 release but not on the page); states began between January 2025 and January 2026. FAQ: first state started 2025-03-01; seven states and DC received Cooperative Agreement awards from 2025-08-01; up to $9.55 million per selected applicant over 10 years 5 months.,9550000,USD,"CMS and pharmaceutical manufacturers negotiate a set of key terms, which would include pricing discounts and outcomes-based rebates",CMS CGT Access Model page and FAQ,https://www.cms.gov/priorities/innovation/innovation-models/cgt,2026-09-06,verified-from-source,FAQ: https://www.cms.gov/priorities/innovation/cgt-access-model-frequently-asked-questions. Genetix Biotherapeutics is the entity holding bluebird bio products (Lyfgenia); manufacturers also cover fertility preservation services per page.
United States,Lyfgenia,access-model,2024-01-08,bluebird bio,stated,bluebird engaging with CMMI on the CGT Access Model and with Medicaid agencies.,15,Medicaid agencies,Advanced discussions are ongoing with additional commercial payers and with more than 15 Medicaid agencies representing 80% of individuals with sickle cell disease in the U.S.,"bluebird bio 8-K exhibit 99.1, 8 January 2024",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000004/exhibit99120240108.htm,2026-09-06,verified-from-source,"Also: ""bluebird also continues to engage with Center for Medicare and Medicaid Innovation (CMMI) on its Cell and Gene Therapy Access Model, which is anticipated to be implemented in 2025."""
United States,Zynteglo,state-coverage,2022-08-17,bluebird bio,stated,Outcomes-based agreement offered to commercial and government payers at US approval: up to 80 percent of cost reimbursed if transfusion independence not achieved and maintained up to two years; engagement with state Medicaid agencies covering ~80 percent of publicly insured thalassaemia patients.,80,percent of cost at risk,"As part of this agreement, bluebird will reimburse contracted commercial and government payers up to 80% of the cost of the therapy if a patient fails to achieve and maintain transfusion independence up to two years following infusion.","bluebird bio 8-K exhibit 99.2, 17 August 2022",https://www.sec.gov/Archives/edgar/data/1293971/000129397122000051/exhibit99220220817.htm,2026-09-06,verified-from-source,"Also: ""we are engaging with state Medicaid agencies representing approximately 80% of publicly insured thalassemia patients."""
United States,Zynteglo,commercial-coverage,2024-01-08,bluebird bio,covered,Outcomes-based agreements in place with commercial and Medicaid payers; more than 200 million US lives covered through contracts or favourable coverage policies.,200000000,US lives,"Outcomes-based agreements are in place for ZYNTEGLO with both commercial and Medicaid payers, and more than 200 million U.S. lives are covered through contracts or favorable coverage policies.","bluebird bio 8-K exhibit 99.1, 8 January 2024",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000004/exhibit99120240108.htm,2026-09-06,verified-from-source,
United States,Lyfgenia,commercial-coverage,2024-01-08,bluebird bio,covered,Outcomes-based agreements signed with national payer organisations covering about 200 million US lives.,200000000,US lives,bluebird has signed outcomes-based agreements for LYFGENIA with national payer organizations representing dozens of downstream plans and covering approximately 200 million U.S. lives.,"bluebird bio 8-K exhibit 99.1, 8 January 2024",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000004/exhibit99120240108.htm,2026-09-06,verified-from-source,
United States,Lyfgenia,state-coverage,2024-11-14,bluebird bio,covered,Medicaid prior-authorisation progress for Lyfgenia.,50,percent of Medicaid-insured SCD individuals,Nearly 50% of Medicaid-insured individuals with sickle cell disease in the U.S. live in a state that has already completed prior authorization approval for the use of LYFGENIA for at least one patient.,"bluebird bio 8-K exhibit 99.1, 14 November 2024",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000076/exhibit99120241114.htm,2026-09-06,verified-from-source,"Same release: ""Multiple outcomes-based agreements are published and in place for LYFGENIA with national commercial payer organizations, representing more than 200 million U.S. lives."""
United States,Zolgensma,state-coverage,2022-01-01,"Ballreich et al., J Manag Care Spec Pharm 2022;28(1)",stated,Survey of fee-for-service Medicaid coverage guidelines for onasemnogene abeparvovec (Feb-Mar 2020): 17 state guidelines identified with discordance on SMN2 copy count and ventilator status.,17,state Medicaid guidelines,"We identified 17 state Medicaid coverage guidelines for onasemnogene abeparvovec. There was more discordance in these coverage guidelines compared with nusinersen, notably in domains of SMN2 gene count and ventilator status.",PubMed 34949120; doi 10.18553/jmcp.2022.28.1.39,https://pubmed.ncbi.nlm.nih.gov/34949120/,2026-09-06,verified-from-source,Publication month January 2022; policies observed February-March 2020. Abstract read via PubMed E-utilities.
United States,gene therapy class,survey-finding,2023-12-15,"Beinfeld, Rucker et al., Health Policy Open 2023",stated,"Tufts SPEC database: 18 large commercial plans and state Medicaid websites, 11 CGTs, August 2021; restrictions in 53.5 percent of commercial and 68.3 percent of Medicaid coverage policies.",68.3,percent of Medicaid policies with restrictions,"We found that US commercial and Medicaid health plans imposed restrictions in 53.5 % and 68.3 % of their coverage policies for the 11 included CGTs, respectively.",PubMed 38023441; doi 10.1016/j.hpopen.2023.100103,https://pubmed.ncbi.nlm.nih.gov/38023441/,2026-09-06,verified-from-source,Commercial figure 53.5 percent.
United States,Zolgensma,commercial-coverage,2019-05-24,AveXis / Novartis,stated,At US approval AveXis offered pay-over-time up to five years and outcomes-based agreements up to five years; more than 15 payers in advanced discussions.,15,payers,"AveXis is working closely with payers to offer pay-over-time options up to 5 years and outcomes-based agreements up to 5 years, as well as providing a patient program to support affordability and access.","Novartis Form 6-K, AveXis media release 24 May 2019",https://www.sec.gov/Archives/edgar/data/1114448/000117184319003609/f6k_052419.htm,2026-09-06,verified-from-source,"Release: ""more than 15 payers are in advanced discussions of terms with AveXis, with some having already agreed, in principle, to terms."""
United States,Luxturna,commercial-coverage,2018-01-03,Spark Therapeutics,stated,"January 2018 payer programmes: innovative contracting model (direct-to-payer, Spark PATH) and an outcomes-based rebate arrangement with short-term efficacy and long-term durability measures.",,,"In January 2018, we announced two novel payer programs to help ensure eligible patients in the United States have access to LUXTURNA: (i) an innovative contracting model; and (ii) an outcomes-based rebate arrangement with a short-term efficacy measure and a long-term durability measure.",Spark Therapeutics Form 10-K for 2017 (filed 2018-02-27),https://www.sec.gov/Archives/edgar/data/1609351/000160935118000026/spark-201710xk.htm,2026-09-06,verified-from-source,The 3 January 2018 8-K (d519914d8k.htm) names Harvard Pilgrim and affiliates of Express Scripts as counterparties in its risk-factor language; the press-release exhibit was not in the filing index.
United States,Luxturna,commercial-coverage,2018-08-07,Spark Therapeutics,covered,Commercial coverage progress six months after launch.,80,percent of commercial lives,"Strong progress gaining commercial coverage, with approximately 80 percent of commercial lives covered by accept","Spark Therapeutics 8-K exhibit 99.1, Q2 2018 results",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000069/spark-exhibit991q22018.htm,2026-09-06,verified-from-source,"Sentence truncated in extraction after ""accept[able medical policy]""; 12 vials shipped in Q2 2018."
United States,Luxturna,commercial-coverage,2018-11-06,Spark Therapeutics,covered,Commercial coverage at Q3 2018; first patients under Spark PATH outcomes-based model.,85,percent of commercial lives,"Approximately 85 percent of commercial lives are covered by a satisfactory medical policy and all major, national payers now provide coverage for LUXTURNA","Spark Therapeutics 8-K exhibit 99.1, Q3 2018 results",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000074/spark-exhibit991q32018.htm,2026-09-06,verified-from-source,"Same release: ""Shipped 24 vials of LUXTURNA in the U.S. in the third quarter of 2018"" and ""Treated first two patients under the Spark PATH (Pioneering Access To Healthcare) outcomes-based contracting model""."
United States,Vyjuvek,commercial-coverage,2024-02-26,Krystal Biotech,covered,Access status as of February 2024.,97,percent of commercial lives,"As of February 2024, positive access has been achieved for 97% of lives covered under commercial plans and 88% of lives covered under Medicaid.","Krystal Biotech 8-K exhibit 99.1, Q4 2023 results",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000009/krys12312023ex991pressrele.htm,2026-09-06,verified-from-source,Medicaid 88 percent.
United States,Vyjuvek,commercial-coverage,2025-02-19,Krystal Biotech,covered,Access status as of February 2025; cumulative reimbursement approvals.,97,percent of commercial and Medicaid lives,"As of February 2025, the Company has secured over 510 reimbursement approvals for VYJUVEK in the U.S. and continues to maintain strong access nationwide including positive access determinations for 97% of lives covered under commercial and Medicaid plans.","Krystal Biotech 8-K exhibit 99.1, Q4 2024 results",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000009/a4q24exhibit991pr.htm,2026-09-06,verified-from-source,510 reimbursement approvals.
United States,Vyjuvek,commercial-coverage,2026-02-17,Krystal Biotech,covered,Cumulative US reimbursement approvals.,660,reimbursement approvals,The Company has secured over 660 reimbursement approvals for VYJUVEK in the United States and continues to maintain strong access nationwide.,"Krystal Biotech 8-K exhibit 99.1, Q4 2025 results",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000018/a4q25exhibit991pr.htm,2026-09-06,verified-from-source,No percent-of-lives figure in this release.
United States,Vyjuvek,commercial-coverage,2026-08-03,Krystal Biotech,covered,Cumulative US reimbursement approvals and prescriber base at end Q2 2026.,730,reimbursement approvals,"The Company has secured over 730 reimbursement approvals for VYJUVEK and, as of the end of 2Q 2026, had expanded the VYJUVEK prescriber base to include over 640 unique prescribers.","Krystal Biotech 8-K exhibit 99.1, Q2 2026 results",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000058/a2q26-ex991xpressrelease.htm,2026-09-06,verified-from-source,
