sample_id,batch,raw_file,row_index,n_verified_rows,status_recorded,source_url,row_summary
A017,audit_1,data/uptake/raw/kebilidi_disclosures.csv,2,4,verified-from-source,https://www.sec.gov/Archives/edgar/data/1070081/000155837024002189/tmb-20240229xex99d1.htm,"product=Kebilidi | record_type=statement | as_of_date=2024-02-29 | region=US | unit=regulatory | verbatim=PTC expects to submit a BLA to the FDA for Upstaza for the t | source_doc=PTC Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2"
A018,audit_2,data/uptake/raw/label_events.csv,40,47,verified-from-source,https://www.ema.europa.eu/en/medicines/human/EPAR/elevidys,product=Elevidys | geography=EU | event_date=2025-09-24 | event_type=refusal | indication_key=DMD_3to7_amb | indication_text=Elevidys is indicated for the treatment of Duchenne muscular | pathway=conditional (applied for; refused) | source_doc=EMA refusal public assessment report EMA/CHMP/CAT/213364/202
A019,audit_3,data/uptake/raw/eligible_E4.csv,32,28,verified-from-source,https://www.sec.gov/Archives/edgar/data/0001600847/000121390022014643/f10k2021_gamidacellltd.htm,product=Omisirge (omidubicel-onlv) | indication_key=alloHSCT | indication_label=all allogeneic HSCT (base) | geography=US | measure_type=incidence_rate | value_point=8500
A020,audit_4,data/uptake/raw/yescarta_revenue.csv,169,176,verified-from-source,https://investors.gilead.com/news/news-details/2026/Gilead-Sciences-Announces-Fourth-Quarter-and-Full-Year-2025-Financial-Results/default.aspx,product=Yescarta | period=FY2024 | region=Europe | revenue_musd=666 | currency=USD | source_doc=Gilead Sciences Announces Fourth Quarter and Full Year 2025  | source_url=https://investors.gilead.com/news/news-details/2026/Gilead-S | status=verified-from-source
A021,audit_1,data/uptake/raw/vyjuvek_disclosures.csv,26,33,verified-from-source,https://www.sec.gov/Archives/edgar/data/1711279/000171127926000044/a1q26exhibit991pr.htm,"product=Vyjuvek | record_type=reimbursement_approvals | as_of_date=2026-05-04 | region=US | value=695 | unit=reimbursement approvals (cumulative) | verbatim=In the United States, the Company has secured over 695 reimb | source_doc=Krystal Biotech 8-K Ex-99.1, First Quarter 2026 Financial an"
A022,audit_2,data/access/raw/decisions_nice.csv,36,47,verified-from-source,https://www.nice.org.uk/guidance/discontinued/gid-hst10038,product=Skysona | system=England | country=UK | body=NICE | indication_key=CALD | indication_text=Elivaldogene autotemcel for treating cerebral adrenoleukodys | regulatory_approval_date=2021-07-16 | submission_or_start_date=2021-08-04
A023,audit_3,data/cohort/raw/projections_S16_S17.csv,279,277,verified-from-source,https://newdigs.tuftsmedicalcenter.org/wp-content/uploads/2025/06/defining-disruption-7b.png,source_id=S20 | source_title=Cell and Gene therapy (CGT) pipeline deep dive (Paying for C | geography=US | series=patients_new_per_year | scenario=component: Incident cases - oncology | year=2029 | value_point=17163
A024,audit_4,data/uptake/raw/yescarta_revenue.csv,16,176,verified-from-source,https://www.gilead.com/news-and-press/press-room/press-releases/2019/2/gilead-sciences-announces-fourth-quarter-and-full-year-2018-financial-results,product=Yescarta | period=2018Q4 | region=US | revenue_musd=80 | currency=USD | source_doc=Gilead Sciences Announces Fourth Quarter and Full Year 2018  | source_url=https://www.gilead.com/news-and-press/press-room/press-relea | status=verified-from-source
A025,audit_1,data/uptake/raw/zynteglo_revenue.csv,10,8,verified-from-source,https://www.sec.gov/Archives/edgar/data/1293971/000129397125000014/blue-20250331.htm,"product=Zynteglo | period=2025Q1 | region=US | revenue_musd=26.307 | currency=USD | source_doc=bluebird bio Form 10-Q for the quarter ended 2025-03-31, Not | source_url=https://www.sec.gov/Archives/edgar/data/1293971/000129397125 | status=verified-from-source"
A026,audit_2,data/uptake/raw/cart_registry_counts.csv,64,141,verified-from-source,https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,"registry=CIBMTR | geography=United States | year=2021 | product_or_class=Follicular lymphoma | count=186 | count_type=infusions | verbatim=CAR-T infusions by indication, US, 2016-2024 (slide 37) - 20"
A027,audit_3,data/uptake/raw/zolgensma_disclosures.csv,11,17,verified-from-source,https://www.novartis.com/news/media-releases/novartis-data-again-demonstrate-age-appropriate-development-when-zolgensma-used-presymptomatically-and-post-hoc-data-reveal-sma-type-1-patients-could-speak-swallow-and-maintain-airway-protection,product=Zolgensma (onasemnogene abeparvovec) | record_type=patients_cumulative | as_of_date=2022-03-14 | region=worldwide (clinical trials + managed access + commercial) | value=1800 | unit=patients | verbatim=Zolgensma is now approved in more than 40 countries and more | source_doc=Novartis media release: Novartis data again demonstrate age-
A028,audit_4,data/cohort/raw/projections_S16_S17.csv,78,277,verified-from-source,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10910012/fullTextXML,source_id=S17 | source_title=Forecasting the potential impact of cell and gene therapies  | geography=France | series=approvals_per_year | scenario=base (most expected launch scenario) | year=2029 | value_point=7
A029,audit_1,data/uptake/raw/papzimeos_disclosures.csv,2,9,verified-from-source,https://www.sec.gov/Archives/edgar/data/1356090/000095010325014683/dp237316_ex9901.htm,"product=Papzimeos | record_type=statement | as_of_date=2025-11-13 | region=US | unit=launch / sites / coverage | verbatim=PAPZIMEOS launched with a broad label in the US ... full dep | source_doc=Precigen 8-K Ex-99.1, Third Quarter 2025 Financial Results a"
A030,audit_2,data/uptake/raw/tecelra_disclosures.csv,4,13,verified-from-source,https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,"product=Tecelra | record_type=centres | as_of_date=2025-03-20 | region=US | value=20 | unit=ATCs accepting referrals | verbatim=20 Authorized Treatment Centers (ATCs) now accepting referra | source_doc=Adaptimmune 8-K Ex-99.1, Adaptimmune Provides Q4 and Full Ye"
A031,audit_3,data/uptake/raw/kymriah_revenue.csv,0,36,verified-from-source,https://www.sec.gov/Archives/edgar/data/1114448/000137036819000006/a190130-99_2.htm,product=Kymriah | period=2017Q4 | region=Total | revenue_musd=6 | currency=USD | source_doc=Novartis Q4 and FY 2018 Condensed Financial Report - Supplem | source_url=https://www.sec.gov/Archives/edgar/data/1114448/000137036819 | status=verified-from-source
A032,audit_4,data/cohort/raw/projections_S16_S17.csv,28,277,verified-from-source,https://newdigs.tuftsmedicalcenter.org/wp-content/uploads/2022/06/NEWDIGS-Research-Brief-2020F207v51-PipelineAnalysis.pdf,source_id=S16-predecessor | source_title=MIT NEWDIGS Research Brief 2020F207-v051 Pipeline Analysis:  | geography=US | series=approvals_cumulative | scenario=base (excl. China-origin programs; incl. preclinical) | year=2019 | value_point=6.0
A033,audit_1,data/uptake/raw/hemgenix_revenue.csv,5,8,verified-from-source,https://investors.csl.com/pdf/c72789c6-778d-4b88-8657-be40cf97e2b3/CSL-Results-Presentation.pdf,product=Hemgenix | period=FY2025 (12m to 30 Jun 2025) | region=Global | revenue_musd=92 | currency=USD | source_doc=CSL FY2025 Results Presentation 19 Aug 2025 - Appendix A CSL | source_url=https://investors.csl.com/pdf/c72789c6-778d-4b88-8657-be40cf | status=verified-from-source
A034,audit_2,data/uptake/raw/eligible_E2.csv,123,98,verified-from-source,https://www.ncbi.nlm.nih.gov/books/NBK614941/,"product=Casgevy | indication_key=SCD_VOC_12plus | indication_label=all SCD, Canada excluding Quebec (sponsor prevalence model) | geography=Canada (excl. Quebec) | measure_type=prevalent_eligible | value_point=4391"
A035,audit_3,data/access/raw/decisions_has.csv,106,44,verified-from-source,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000051844592,product=Ebvallo | system=France | country=France | body=CEPS (price) | indication_key=PTLD_EBV_2L | regulatory_approval_date=2022-12-16
A036,audit_4,data/investment/raw/events_by_product.csv,20,86,verified-from-source,https://www.sec.gov/Archives/edgar/data/873303/000095017025096257/srpt-ex99_1.htm,product=Elevidys | sponsor_at_event=Sarepta | event_date=2025-07-16 | event_type=restructuring | event_title=Sarepta strategic restructuring: 36% workforce reduction (~5 | amount_usd_m=400 | manufacturing_model=AAV systemic
A037,audit_1,data/uptake/raw/launches2026_revenue.csv,4,3,verified-from-source,https://www.sec.gov/Archives/edgar/data/1737953/000110465926096483/tm2623208d1_ex99-1.htm,"product=Tudriqev | period=2026Q2 | region=Total | revenue_musd=0.0 | currency=USD | source_doc=Replimune 8-K Ex-99.1, Fiscal First Quarter 2027 Financial R | source_url=https://www.sec.gov/Archives/edgar/data/1737953/000110465926 | status=verified-from-source"
A038,audit_2,data/uptake/raw/tecartus_revenue.csv,112,120,verified-from-source,https://investors.gilead.com/news/news-details/2026/Gilead-Sciences-Announces-Fourth-Quarter-and-Full-Year-2025-Financial-Results/default.aspx,product=Tecartus | period=FY2024 | region=US | revenue_musd=234 | currency=USD | source_doc=Gilead Sciences Announces Fourth Quarter and Full Year 2025  | source_url=https://investors.gilead.com/news/news-details/2026/Gilead-S | status=verified-from-source
A039,audit_3,data/uptake/raw/roctavian_revenue.csv,2,19,verified-from-source,https://www.sec.gov/Archives/edgar/data/1048477/000104847723000026/earningsrelease-31jul23ex9.htm,"product=Roctavian | period=2023Q2 | region=Total (worldwide) | revenue_musd=0.0 | currency=USD | source_doc=BioMarin 8-K Ex-99.1, BioMarin Announces Strong Second Quart | source_url=https://www.sec.gov/Archives/edgar/data/1048477/000104847723 | status=verified-from-source"
A040,audit_4,data/uptake/raw/roctavian_disclosures.csv,11,14,verified-from-source,https://www.sec.gov/Archives/edgar/data/1048477/000104847725000104/earningsrelease-27oct25ex9.htm,"product=Roctavian | record_type=statement | as_of_date=2025-10-27 | region=Total (worldwide) | verbatim=the company announced its plan to pursue options to divest R | source_doc=BioMarin 8-K Ex-99.1, BioMarin Reports Third Quarter 2025 Re"
A041,audit_1,data/uptake/raw/lenmeldy_revenue.csv,4,22,verified-from-source,https://www.sec.gov/Archives/edgar/data/1748907/000156459022019670/ortx-ex991_18.htm,"product=Lenmeldy | period=2022Q1 | region=Total | revenue_musd=5.059 | currency=USD | source_doc=Orchard Therapeutics 8-K Ex-99.1, First Quarter 2022 Financi | source_url=https://www.sec.gov/Archives/edgar/data/1748907/000156459022 | status=verified-from-source"
A042,audit_2,data/cohort/raw/projections_S16_S17.csv,138,277,verified-from-source,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10910012/fullTextXML,source_id=S17 | source_title=Forecasting the potential impact of cell and gene therapies  | geography=France | series=approvals_per_year | scenario=base; TA=Immunology | year=2025 | value_point=0
A043,audit_3,data/cohort/raw/projections_S16_S17.csv,320,277,verified-from-source,https://icer.org/wp-content/uploads/2024/04/Managing-the-Challenges-of-Paying-for-Gene-Therapy-_-ICER-NEWDIGS-White-Paper-2024_final.pdf,source_id=S20 | source_title=Cell and Gene therapy (CGT) pipeline deep dive (Paying for C | geography=US | series=treatable_population | scenario=ICER-NEWDIGS 2024 (gene therapies only; deep-dive page as of | year=2030 | value_low=48000
A044,audit_4,data/uptake/raw/kymriah_revenue.csv,5,36,verified-from-source,https://www.sec.gov/Archives/edgar/data/1114448/000137036819000028/a190424-99_2.htm,product=Kymriah | period=2019Q1 | region=Total | revenue_musd=45 | currency=USD | source_doc=Novartis Q1 2019 Condensed Interim Financial Report - Supple | source_url=https://www.sec.gov/Archives/edgar/data/1114448/000137036819 | status=verified-from-source
A045,audit_1,data/uptake/raw/cart_country_supplement.csv,287,327,verified-from-source,https://www.sanidad.gob.es/areas/farmacia/infoMedicamentos/terapiasAvanzadas/docs/INFORME_ANUAL_FINAL_TA_2025.pdf,"registry=Spanish Ministry of Health CAR-T expert-group requests (Plan | geography=Spain | year=2025 | product_or_class=Kymriah/Yescarta (either), LBDCG | count=721 | count_type=cumulative_requests | verbatim=Tabla 4. CAR-T solicitados por patología (columns Kymriah, Y"
A046,audit_2,data/uptake/raw/country_population.csv,77,90,verified-from-source,https://api.worldbank.org/v2/country/AUS/indicator/SP.POP.TOTL?format=json&date=2017:2025,"country=Australia | year=2022 | population=26018721 | source_doc=World Bank World Development Indicators, SP.POP.TOTL (Popula | source_url=https://api.worldbank.org/v2/country/AUS/indicator/SP.POP.TO | status=verified-from-source"
A047,audit_3,data/uptake/raw/luxturna_revenue.csv,2,19,verified-from-source,https://www.sec.gov/Archives/edgar/data/0001609351/000160935118000076/spark-201893010xq.htm,"product=Luxturna | period=2018Q3 | region=US | revenue_musd=8.866 | currency=USD | source_doc=Spark Therapeutics Form 10-Q, period 2018-09-30 | source_url=https://www.sec.gov/Archives/edgar/data/0001609351/000160935 | status=verified-from-source"
A048,audit_4,data/access/raw/decisions_cda_amc.csv,11,39,verified-from-source,https://www.ncbi.nlm.nih.gov/books/NBK596615/,product=Tecartus | system=Canada | country=Canada | body=CADTH | indication_key=ALL_adult | indication_text=For the treatment of adult patients with relapsed or refract | regulatory_approval_date=2022-11-16
A049,audit_1,data/access/raw/governance_singapore.csv,17,44,verified-from-source,https://www.moh.gov.sg/newsroom/government-accepts-medishield-life-council-s-recommendations-to-enhance-medishield-life-scheme---government-support-more-than-offsets-premium-increases/,system=Singapore | product=system | event_type=policy-statement | event_date=2024-10-15 | body=Ministry of Health / MediShield Life Council | outcome=stated | detail=Government accepts MediShield Life Council recommendations: 
A050,audit_2,data/uptake/raw/yescarta_disclosures.csv,23,16,verified-from-source,https://www.kitepharma.com/patient-resources/find-a-treatment-center,"product=Yescarta | record_type=centres | as_of_date=2026-09-04 | region=Global | value=570 | unit=authorized treatment centres | verbatim=Kite is proud to have more than 570 authorized treatment cen | source_doc=Find a Treatment Center, kitepharma.com (accessed 4 Sep 2026"
A051,audit_3,data/uptake/raw/carvykti_revenue.csv,49,51,verified-from-source,https://www.sec.gov/Archives/edgar/data/200406/000020040626000146/a2026q2exhibit992.htm,"product=Carvykti | period=2026Q2 | region=International | revenue_musd=185 | currency=USD | source_doc=Johnson & Johnson Supplementary Sales Data, second quarter a | source_url=https://www.sec.gov/Archives/edgar/data/200406/0000200406260 | status=verified-from-source"
A052,audit_4,data/uptake/raw/cart_country_supplement.csv,8,327,verified-from-source,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,"registry=EBMT activity survey | geography=Belgium | year=2024 | product_or_class=CAR-T all | count=159 | count_type=patients | per_10m_population=134.55 | verbatim=Belgium: (16 centres: 904 (983) 436/468), (159 (164) 0/159)"
A053,audit_1,data/uptake/raw/abecma_revenue.csv,48,51,verified-from-source,https://www.sec.gov/Archives/edgar/data/14272/000001427225000089/a2025q1ex991-filing.htm,product=Abecma | period=2025Q1 | region=Total | revenue_musd=103 | currency=USD | source_doc=Bristol Myers Squibb Reports First Quarter Financial Results | source_url=https://www.sec.gov/Archives/edgar/data/14272/00000142722500 | status=verified-from-source
A054,audit_2,data/uptake/raw/eligible_E1a.csv,12,26,verified-from-source,https://www.g-ba.de/downloads/91-1385-840/2022-12-01_Geltende-Fassung_Tisagenlecleucel_D-831.pdf,product=Kymriah | indication_key=FL_3L | indication_label=Erwachsene mit rezidiviertem oder refraktärem follikulärem L | geography=Germany | measure_type=gatekeeper_eligible | value_low=650 | value_high=690
A055,audit_3,data/investment/raw/events_by_product.csv,92,86,verified-from-source,https://www.sec.gov/Archives/edgar/data/1748907/000156459022012316/ortx-ex991_7.htm,product=Strimvelis | sponsor_at_event=Orchard Therapeutics | event_date=2022-03-30 | event_type=restructuring | event_title=Orchard discontinues investment in Strimvelis and other prim | manufacturing_model=other
A056,audit_4,data/uptake/raw/yescarta_revenue.csv,25,176,verified-from-source,https://www.gilead.com/news-and-press/press-room/press-releases/2019/7/gilead-sciences-announces-second-quarter-2019-financial-results,product=Yescarta | period=2019Q2 | region=Europe | revenue_musd=21 | currency=USD | source_doc=Gilead Sciences Announces Second Quarter 2019 Financial Resu | source_url=https://www.gilead.com/news-and-press/press-room/press-relea | status=verified-from-source
A057,audit_1,data/uptake/raw/cart_country_supplement.csv,23,327,verified-from-source,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,"registry=EBMT activity survey | geography=France | year=2024 | product_or_class=CAR-T all | count=1102 | count_type=infusions | verbatim=France: (69 centres: 4361 (4654) 2097/2264), (1093 (1102) 1/"
A058,audit_2,data/cohort/raw/s06_success_rates.csv,24,90,verified-from-source,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,metric=transition_probability | technology_class=haematological oncology (BIO) | phase_from=NDA/BLA application | phase_to=Approval | value=90.0 | unit=percent | period_covered=Jan 2011-Nov 2020
A059,audit_3,data/uptake/raw/vyjuvek_revenue.csv,24,30,verified-from-source,https://www.sec.gov/Archives/edgar/data/1711279/000171127926000057/krys-20260630.htm,"product=Vyjuvek | period=2026Q2 | region=Europe | revenue_musd=19.283 | currency=USD | source_doc=Krystal Biotech 10-Q for the quarter ended 2026-06-30, Note  | source_url=https://www.sec.gov/Archives/edgar/data/1711279/000171127926 | status=verified-from-source"
A060,audit_4,data/uptake/raw/cart_registry_counts.csv,62,141,verified-from-source,https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,"registry=CIBMTR | geography=United States | year=2021 | product_or_class=Acute lymphoblastic leukemia | count=241 | count_type=infusions | verbatim=CAR-T infusions by indication, US, 2016-2024 (slide 37) - 20"
A061,audit_1,data/uptake/raw/tecelra_revenue.csv,3,4,verified-from-source,https://www.sec.gov/Archives/edgar/data/1621227/000155837025007493/adap-20250513xex99d1.htm,"product=Tecelra | period=2025Q1 | region=Total | revenue_musd=4.0 | currency=USD | source_doc=Adaptimmune 8-K Ex-99.1, Adaptimmune Reports Q1 Financial Re | source_url=https://www.sec.gov/Archives/edgar/data/1621227/000155837025 | status=verified-from-source"
A062,audit_2,data/access/raw/governance_us.csv,92,112,verified-from-source,https://www.sec.gov/Archives/edgar/data/875320/000087532024000221/ex-991_q32024.htm,system=United States | product=Casgevy | event_type=delivery-site | event_date=2024-11-04 | body=Vertex Pharmaceuticals | outcome=stated | detail=Global ATCs activated (mid-October 2024); first infusion rev | amount=45
A063,audit_3,data/uptake/raw/cart_country_supplement.csv,216,327,verified-from-source,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM2_ESM.docx,registry=EBMT activity survey | geography=United Kingdom | year=2021 | product_or_class=CAR-T all | count_type=patients | per_10m_population=57.33 | verbatim=Supplementary Table 2. CAR-T therapy rate by country and yea
A064,audit_4,data/uptake/raw/yescarta_revenue.csv,74,176,verified-from-source,https://investors.gilead.com/news/news-details/2023/Gilead-Sciences-Announces-Second-Quarter-2023-Financial-Results/default.aspx,product=Yescarta | period=2022Q2 | region=Other | revenue_musd=17 | currency=USD | source_doc=Gilead Sciences Announces Second Quarter 2023 Financial Resu | source_url=https://investors.gilead.com/news/news-details/2023/Gilead-S | status=verified-from-source
A065,audit_1,data/cohort/raw/projections_S16_S17.csv,146,277,verified-from-source,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10910012/fullTextXML,source_id=S17 | source_title=Forecasting the potential impact of cell and gene therapies  | geography=France | series=approvals_per_year | scenario=base; TA=Cardiovascular | year=2025 | value_point=1
A066,audit_2,data/uptake/raw/zolgensma_revenue.csv,18,37,verified-from-source,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000007/a240131-99_2.htm,product=Zolgensma (onasemnogene abeparvovec) | period=FY2022 | region=Total (worldwide) | revenue_musd=1370 | currency=USD | source_doc=Novartis Interim Financial Report Q4/FY2023 (Form 6-K Ex-99. | source_url=https://www.sec.gov/Archives/edgar/data/1114448/000137036824 | status=verified-from-source
A067,audit_3,data/cohort/raw/s06_success_rates.csv,36,90,verified-from-source,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,metric=program_count | technology_class=rare disease gene therapy | phase_from=Phase 1 | phase_to=Completed | value=20 | unit=product-indication programmes | period_covered=1988-2023 (ClinicalTrials.gov trials starting on or before 3
A068,audit_4,data/uptake/raw/amtagvi_revenue.csv,4,20,verified-from-source,https://www.sec.gov/Archives/edgar/data/1425205/000110465924115300/tm2427769d1_ex99-1.htm,"product=Amtagvi | period=2024Q3 | region=Total | revenue_musd=42.1 | currency=USD | source_doc=Iovance 8-K Ex-99.1, Third Quarter and Year to Date 2024 Fin | source_url=https://www.sec.gov/Archives/edgar/data/1425205/000110465924 | status=verified-from-source"
A069,audit_1,data/access/raw/decisions_gba.csv,6,70,verified-from-source,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/991/,product=Kymriah | system=Germany | country=Germany | body=G-BA | indication_key=LBCL_3L | indication_text=Erwachsene mit rezidiviertem oder refraktärem diffus großzel | regulatory_approval_date=2018-08-23 | submission_or_start_date=2023-09-01
A070,audit_2,data/uptake/raw/vyjuvek_disclosures.csv,25,33,verified-from-source,https://www.sec.gov/Archives/edgar/data/1711279/000171127926000016/krys-20251231.htm,product=Vyjuvek | record_type=statement | as_of_date=2026-02-17 | region=Total | unit=cumulative revenue | verbatim=Since our first commercial launch of VYJUVEK in the United S | source_doc=Krystal Biotech 10-K for FY2025 (2026-02-17)
A071,audit_3,data/uptake/raw/eligible_E3a.csv,96,53,verified-from-source,https://scottishmedicines.org.uk/media/7822/umar-eladocagene-exuparvovec-upstaza-final-august-2023-for-website.pdf,product=Upstaza | indication_key=AADC | indication_label=AADC deficiency prevalence (SMC ultra-orphan criterion) | geography=Scotland | measure_type=prevalence_rate | value_point=2
