id,citation,url,type,what_it_gives,read_status,used_in
S22,FDA. Approved cellular and gene therapy products. Page dated 18 August 2026.,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,regulator list,Cohort membership; links to product pages with approval dates,fetched 2026-09-04,F016
S23,"EFPIA Patients W.A.I.T. Indicator, latest edition.",,industry report,Time to availability by European country,to locate,
S24,CIBMTR summary slides and CAR-T activity reports.,https://cibmtr.org/CIBMTR/Resources/Summary-Slides-Reports,registry report,US CAR-T infusions by year,summary slides fetched 2026-09-05; per-row URLs in data/uptake/raw/cart_registry_counts.csv,F036
S25,CMS Medicare Physician and Other Practitioners public use files; Part B national summary data.,https://www.cms.gov/data-research/statistics-trends-and-reports/part-b-national-summary-data-file,public data,Annual volumes by HCPCS and PLA code,2024 national summary file downloaded 2026-09-05; data.cms.gov API returned 403,F031
S26,Alliance for Regenerative Medicine sector reports.,,industry report,Sector financing totals by year,to locate,
S27,"Impact of regulatory measures on the approval timelines of ATMPs by the EMA, 2025.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12240929/,journal article,EMA approval timelines for ATMPs; clinical-stage layer,not read,
S28,"EMA. European public assessment reports (EPAR) and medicine pages for each cohort product, including authorisation and withdrawal dates.",https://www.ema.europa.eu/en/medicines,regulator list,"EU authorisation date, type, withdrawal date per product",fetched 2026-09-04 per product; URLs in product_cohort.csv,"F019, F020, F021"
S29,"Novartis quarterly financial reports, Form 6-K exhibits 99.1 and 99.2, ""Net sales of the top 20 brands"", 2019Q2 to 2026Q2.",https://www.sec.gov/Archives/edgar/data/1114448/000111444826000012/nvs-20260630-99_1.htm,company filing,Zolgensma worldwide quarterly net sales; patient milestones in releases,fetched 2026-09-04; per-row URLs in data/uptake/raw/zolgensma_revenue.csv,"F023, F024, F025"
S30,"Gilead Sciences quarterly earnings press releases, Product Sales Summary tables, 2017Q4 to 2026Q2.",https://investors.gilead.com/news,company release,Yescarta and Tecartus quarterly sales by region; Kite patient and centre milestones,fetched 2026-09-04; per-row URLs in data/uptake/raw/yescarta_revenue.csv and tecartus_revenue.csv,"F023, F024, F025"
S31,"Vertex Pharmaceuticals quarterly results, Form 8-K exhibit 99.1, 2024Q1 to 2026Q2.",https://www.sec.gov/Archives/edgar/data/875320/000087532026000256/ex-991_q22026.htm,company filing,"Casgevy worldwide quarterly revenue; cumulative cell collections, infusions and authorised treatment centres",fetched 2026-09-04; per-row URLs in data/uptake/raw/casgevy_revenue.csv,"F023, F024, F025"
S32,CSL Limited full-year and half-year results presentations FY2025 to FY2026 (Appendix A key products); uniQure Forms 10-Q and 10-K (license revenue).,https://www.csl.com/investors,company release,Hemgenix sales from FY2025; growth rates for back-calculation; royalty proxy,fetched 2026-09-04; per-row URLs in data/uptake/raw/hemgenix_revenue.csv,"F023, F024, F026"
S33,"Spark Therapeutics Forms 10-Q and 10-K 2018 to 2019Q3; Roche half-year and full-year investor updates 2022 to 2026 (Table 3, Luxturna, CHF).",https://assets.roche.com/f/176343/x/1ba0693bc5/260723_ir_hy.pdf,company filing,Luxturna US net sales; 2018 vial counts; list price per eye; eligible population statements,fetched 2026-09-04; per-row URLs in data/uptake/raw/luxturna_revenue.csv,"F023, F024, F025"
S34,CSL Behring newsroom. Our Commitment to the Hemophilia B Community: An Update on HEMGENIX Availability (17 March 2026); Our Continued Commitment ... Supply and Patient Access (24 July 2026).,https://newsroom.csl.com/2026-07-24-Our-Continued-Commitment-to-the-Hemophilia-B-Community-An-Update-on-HEMGENIX-R-etranacogene-dezaparvovec-drlb-Supply-and-Patient-Access,company statement,"Primary statements of the global stockout, its stated cause, the 22 patients since April 2026 and the more than 100 commercial patients since approval",read in full 2026-09-04,F028; upgrades F026
S35,"CMS. Medicare Part B Average Sales Price (ASP) quarterly pricing files, July 2011 to July 2026, and NOC pricing files.",https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,public data,Payment limit (ASP plus 6 percent) per HCPCS code per quarter; the public US net price for CAR-T and other separately payable products,33 quarterly files downloaded and parsed 2026-09-04; per-row file URLs in data/uptake/raw/cms_asp_payment_limits.csv,F030
S36,"CMS. Medicare Part B National Summary Data File (formerly BESS), calendar year 2024, Path/Lab workbook.",https://www.cms.gov/data-research/statistics-trends-and-reports/part-b-national-summary-data-file,public data,"Allowed services, allowed charges and payment by HCPCS code for all Part B carrier claims; annual from 2000, 2023 not published",2024 file downloaded 2026-09-05,F031
S37,"CAR-T Therapy: Escalating Costs in an Expanding Market. Health Management, Policy and Innovation (HMPI), 18 February 2026, Table 1.",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,secondary compilation,"US wholesale acquisition cost by year for the six approved CAR-Ts, 2017 to 2025",table read from source 2026-09-04,"F029, F030; list prices in the raw disclosure files"
S38,"MIT NEWDIGS FoCUS. Research Brief 2020F207-v051: projected US approvals of durable cell and gene therapies, pipeline snapshot 31 December 2019 (29 July 2020).",https://newdigs.tuftsmedicalcenter.org/,research brief,"Mean cumulative approvals by year 2020 to 2030 (62.4 by 2030, 5th to 95th percentile 52 to 74); the closest available series to the S16 approvals projection",read in full 2026-09-04 including image tables,F033
S39,"Phares S, Phillip K, Trusheim M. Clinical development success rates for durable cell and gene therapies. Nat Rev Drug Discov 24(5):329-330, 2025. Supplementary information.",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,supplementary data,"Phase-level outcome counts and transition probabilities for 195 rare-disease gene therapy and 402 haematological CAR-T/TCR programmes, 1988 to 2023 (PAM dataset)",read in full 2026-09-04,F027
S40,"ClinicalTrials.gov API v2, study records retrieved 2026-09-04 for each cohort product's first registered interventional trial.",https://clinicaltrials.gov/api/v2/studies,registry,"Start date, phase, sponsor and interventions of the earliest registered trial of each product's construct; NCT ids in data/cohort/first_in_human.csv",fetched 2026-09-04 by research/findings/first_in_human_2026-09-04.py,F032
S41,"ICER evidence reports with budget-impact eligible populations: CAR-T for B-ALL and DLBCL (2018), voretigene (2018), SMA (2019), multiple myeloma CAR-T (2021), haemophilia A and B (2020, 2022), beta thalassaemia (2022), sickle cell disease (2023), Duchenne (2023), Ebvallo (2024).",https://icer.org/assessments/,HTA report,US eligible population estimates per product and indication,per-product PDFs read 2026-09-05; per-row URLs in data/uptake/raw/eligible_*.csv,F034
S42,"Gatekeeper documents stating eligible patient counts per year: NICE technology appraisals and highly specialised technologies guidance (resource impact reports), G-BA Beschluesse and Tragende Gruende (Anzahl der Patienten), HAS avis (population cible), CDA-AMC reviews, PBAC and MSAC public summary documents.",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/,HTA documents,"Country-level eligible counts for England, Germany, France, Canada and Australia",read 2026-09-05 where reachable (NICE returned 403 to fetches; PDFs via curl); per-row URLs in data/uptake/raw/eligible_*.csv,F034
S43,"Company filings for the extended revenue set: Novartis 6-K (Kymriah), Bristol Myers Squibb 8-K and 10-Q (Breyanzi, Abecma), Johnson & Johnson 8-K and Legend Biotech 6-K (Carvykti), Krystal 10-Q, Autolus 10-Q, Adaptimmune 10-Q, PTC 10-Q, Orchard 10-K and Kyowa Kirin results (Lenmeldy), Abeona 10-Q, Precigen 10-Q, Iovance 10-Q, Amgen 10-Q and 10-K (Imlygic), Mesoblast 6-K, Gamida Cell 10-Q, Dendreon 10-K and Valeant 10-K (Provenge), Pfizer 10-K (Beqvez), Rocket, Regeneron, Ultragenyx and Replimune 10-Q.",https://www.sec.gov/cgi-bin/browse-edgar,company filings,"Quarterly product revenue, list prices, patient and centre statements",fetched 2026-09-05; per-row URLs in data/uptake/raw/<product>_revenue.csv and _disclosures.csv,F035
S44,"Registry reports of CAR-T activity by country and year: EBMT activity surveys 2018 to 2024 data, CIBMTR summary slides 2016 to 2024, DRST (Germany), DESCAR-T (France), BSBMTCT (UK), GITMO and TEHA-Ambrosetti (Italy), Spanish Ministry of Health CAR-T circuit, JDCHCT (Japan), ANZTCT (Australia and New Zealand).",https://www.ebmt.org/registry/activity-survey,registry reports,"CAR-T patients or infusions per country per year, and per 10 million population where given",fetched 2026-09-05; per-row URLs in data/uptake/raw/cart_registry_counts.csv,F036
S45,"FDA approval and supplement approval letters, package inserts and Summary Bases for Regulatory Action for Carvykti, Abecma, Yescarta, Breyanzi, Elevidys, Casgevy, Kymriah and Tecartus (CBER product pages); EMA EPAR procedural-steps documents and CHMP opinions for the same products; Elevidys EU refusal assessment report.",https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products; https://www.ema.europa.eu/en/medicines,regulatory documents,"Dated label events: initial indication, extensions, restrictions, with verbatim indication text (47 events)",read in full 2026-09-05 (per-row URLs in data/uptake/raw/label_events.csv),F039; D012; data/uptake/label_events.csv
S46,Perales MA et al. Real-world eligibility for second-line CAR T-cell therapy in large B-cell lymphoma: a health-plan estimate. Transplantation and Cellular Therapy 2022.,https://europepmc.org/,journal article,Method and inputs for the US second-line LBCL eligible flow (about 9 per million plan members per year; SEER incidence 54 per million; refractory and early-relapse shares),full text read 2026-09-05 via Europe PMC,"F039 (Yescarta and Breyanzi US LBCL_2L rows, eligible_E5_label_expansions.csv)"
S47,"Romitti PA et al. Prevalence of Duchenne and Becker muscular dystrophies in the United States. Pediatrics 2015 (MD STARnet); Cowen L et al. Variability and trends in corticosteroid use by male United States participants with Duchenne muscular dystrophy in the Duchenne Registry. BMC Neurology 2019; Parent Project Muscular Dystrophy, About Duchenne page; US Census Bureau Vintage 2024 population estimates.",https://pmc.ncbi.nlm.nih.gov/; https://www.parentprojectmd.org/,journal articles and reference pages,"US Duchenne prevalence (1.02 per 10,000 males aged 5 to 24), ambulatory share (59.3 percent), all-ages count (about 15,000), denominators for the Elevidys label-dated pools",read 2026-09-05,"F039 (Elevidys DMD_4plus_amb, DMD_4plus_nonamb, DMD_4plus_all rows)"
S48,"NICE technology appraisal and highly specialised technologies guidance for the cohort products (TA554, TA567, TA559, TA677, TA893, TA895, TA872, TA894, TA975, TA1003, TA1044, TA1048, TA1116, TA1159, TA410, TA556, TA332, HST7, HST11, HST15, HST18, HST24, HST26 and the terminated or in-development topics), with resource impact statements; Wayback Machine snapshots for the replaced TA554, TA567, TA559 and withdrawn TA332.",https://www.nice.org.uk/guidance,HTA guidance,"Decision dates, outcomes, arrangements, list prices, committee reasons and eligible counts per year for England (63 rows)",read in full 2026-09-05 (per-row URLs in data/access/raw/decisions_nice.csv),topic 02 task 2; data/access/decisions.csv
S49,"EBMT activity survey 2024 data (Bone Marrow Transplantation 2026, doi 10.1038/s41409-026-02919-9) with Appendix (CAR-T by country: first and all CAR-T, allogeneic and autologous) and Supplementary Table 2 (CAR-T per 10 million population by country and year 2018 to 2024, 30 countries); earlier survey papers 2018 to 2023 data (country tables absent).",https://www.nature.com/articles/s41409-026-02919-9,journal article and supplements,CAR-T patients by European country for 2024 and rates per 10 million for 2018 to 2024,supplements parsed 2026-09-05,F041; data/uptake/raw/cart_country_supplement.csv; data/uptake/cart_by_country.csv
S50,"DESCAR-T registry (LYSARC): Nature Medicine 2025 abstract (3,066 patients infused by product); Bachy 2022 Nature Medicine and Lemoine 2023 (LBCL cohorts); Agence de la biomedecine 2024 activity report (CAR-T leukapheresis procedures 2020 to 2024); LYSA qualified-centre list; Oncocentre 2021 deck.",https://www.nature.com/nm/,registry publications and reports,"French CAR-T counts by product, LBCL cohorts by centre, collections per year, qualified centres",abstracts and reports read 2026-09-05; Nature Medicine 2025 full text paywalled,F041; cross-country table
S51,"World Bank World Development Indicators, SP.POP.TOTL (population, total), 2017 to 2025, ten countries; API response last updated 2026-07-13.",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,statistical series,Population denominators for patients per million,fetched 2026-09-05,F041; data/uptake/raw/country_population.csv
S52,"G-BA Beschluesse and Tragende Gruende under section 35a SGB V for the cohort products (126 PDFs: initial assessments, re-assessments after Fristablauf and orphan-threshold crossings, Befristung amendments, the Anwendungsbegleitende Datenerhebung resolutions for Zolgensma, Roctavian, Hemgenix and Casgevy, ATMP quality-assurance resolutions).",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/,HTA resolutions,"Verfahrensbeginn and Beschluss dates, Zusatznutzen ratings, Anzahl der Patienten, Jahrestherapiekosten, stated reasons in German (89 rows)",read in full 2026-09-05 (per-row URLs in data/access/raw/decisions_gba.csv),topic 02 task 2; data/access/decisions.csv
S53,"CADTH and CDA-AMC reimbursement recommendations (pCODR, pERC, CDEC; HTERP 2019 reports) republished on NCBI Bookshelf and in the Canadian Journal of Health Technologies; pan-Canadian Pharmaceutical Alliance negotiation status export; Health Canada regulatory decision summaries (dhpp portal).",https://www.ncbi.nlm.nih.gov/books/; https://www.pcpacanada.ca/negotiations,HTA recommendations and negotiation records,"Committee dates and outcomes, conditions and required price reductions, submitted prices, pCPA engagement and close dates, NOC dates (71 rows)",read 2026-09-05 (cda-amc.ca itself returned 403; per-row URLs in data/access/raw/decisions_cda_amc.csv),topic 02 task 2; data/access/decisions.csv
S54,"AIFA pricing and reimbursement determinations for the cohort products in the Gazzetta Ufficiale (Serie Generale, 2016 to 2026) and, from 2025, in TrovaNormeFarmaco; AIFA farmaci innovativi lists (ODS, 31 July 2026) and GRADE schede; AIFA drug database API for classe and Cnn dates.",https://www.gazzettaufficiale.it/; https://trovanorme.aifa.gov.it/; https://www.aifa.gov.it/farmaci-innovativi,regulatory determinations,"GU publication dates, classe, ex-factory prices, managed entry agreements (payment at or by result, capping), innovativeness decisions with CTS wording (57 rows); no determina states an eligible count",read in full 2026-09-05 (per-row URLs in data/access/raw/decisions_aifa.csv),topic 02 task 2; data/access/decisions.csv
S55,"Sponsor disclosures for post-approval commitment and retreat events: SEC 8-K, 10-K, 10-Q, 6-K and Form 15 filings (Gilead/Kite, Novartis, BMS/Celgene/Juno, J&J/Legend, bluebird, Sarepta, BioMarin, Pfizer, uniQure/CSL, Adaptimmune, Gamida, Iovance, Krystal, Orchard/Kyowa Kirin, Rocket, PTC, Dendreon, Atara, Mesoblast, Autolus, Abeona, Ferring, Takeda), EMA EPAR withdrawal pages, FDA CBER label letters.",https://efts.sec.gov/LATEST/search-index; https://www.ema.europa.eu/en/medicines,company filings and regulator pages,102 dated events by product with verbatim stated reasons and amounts where stated,read 2026-09-05 (per-row URLs in data/investment/raw/events_by_product.csv),F042; topic 04 task 1; data/investment/events.csv
S56,"French access documents: HAS Commission de la Transparence avis via the Base de donnees publique des medicaments bulk extracts (CIS_HAS_SMR, CIS_HAS_ASMR, HAS_LiensPageCT) and four avis PDFs from Wayback Machine captures (Luxturna, Abecma, Zynteglo, Glybera); ANSM acces precoce and ATU tables; Journal Officiel arretes (liste en sus, acces direct) and CEPS avis de prix via Legifrance.",https://base-donnees-publique.medicaments.gouv.fr/; https://ansm.sante.fr/tableau-atu-rtu/; https://www.legifrance.gouv.fr/,"HTA opinions, early-access records, official journal","Avis dates with SMR and ASMR, early-access dates, inscription dates, tarifs de responsabilite (132 rows); population cible for three products",read 2026-09-05 (has-sante.fr blocked all fetches; per-row URLs in data/access/raw/decisions_has.csv),topic 02 task 2; data/access/decisions.csv
S57,"MSAC public summary documents (applications 1519, 1587, 1623, 1647, 1653, 1676, 1690, 1722, 1723, 1728, 1748, 1751, 1771 and addenda) and PBAC public summary documents (Zolgensma 2020 to 2025, Imlygic 2016) via pbs.gov.au and Wayback Machine captures; TGA ARTG public summaries via ebs.tga.gov.au.",https://www.pbs.gov.au/pbs/industry/listing/elements/pbac-meetings/psd/; https://www.msac.gov.au/,HTA advice and registration records,"Australian committee dates, outcomes, deferrals, conditions, ARTG dates, funding start dates where published (92 rows, 47 verified)",read 2026-09-05 (msac.gov.au and tga.gov.au unreachable; per-row URLs in data/access/raw/decisions_australia.csv),F043; data/access/decisions.csv
