product,system,country,body,indication_key,indication_text,regulatory_approval_date,submission_or_start_date,decision_date,outcome,arrangement_type,arrangement_detail,added_benefit_or_rating,price_at_decision,price_currency,price_basis,stated_reasons_verbatim,document_title,document_id,source_url,fetched_date,status,notes,source_file,product_key,approval_dt,approval_basis,decision_dt,fda_dt,months_approval_to_decision,months_fda_to_decision,usable
Carvykti,Australia,Australia,MSAC,MM_5L,adult patients with relapsed or refractory multiple myeloma (RRMM) who have received at least 4 prior lines of therapy (5L+ RRMM),2023-06-06,,2024-04-04,recommended-restricted,outcomes-based,alternative funding model set by MSAC (pay-for-performance) with a risk sharing arrangement for use above financial estimates; applicant proposal of fixed annual patient caps rejected as inequitable,,,AUD,,"MSAC supported the public funding of cilta-cel for 5L+ RRMM at its April 2024 meeting based on an alternative funding model that appropriately managed the clinical, economic and financial uncertainty associated with the public funding of cilta-cel, in conjunction with a RSA that appropriately managed the risk of the applicant's financial estimates being exceeded. MSAC reviewed the funding proposal re-submitted by the applicant at its April 2024 meeting and considered that, despite being the third application, there had been no attempt from Janssen-Cilag to adequately address MSAC's concerns following the November 2023 deferral of its advice. MSAC considered the proposal by Janssen-Cilag, to limit the number of patients who could receive treatment with cilta-cel in a given funding year (i.e. a fixed cap) to compensate for the high-cost of the treatment and provide certainty around its financial estimates, was inequitable and unethical.",Public Summary Document Application No. 1690.1 - Ciltacabtagene autoleucel (November 2024 update),MSAC 1690.1 PSD (November 2024); MSAC 4-5 April 2024,https://www.msac.gov.au/sites/default/files/2025-01/1690.1_psd_-_november_2024.pdf,2026-09-05,verified-from-source,retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections,decisions_australia.csv,carvykti,2023-06-06,stated by agent,2024-04-04,2022-02-28,10.0,25.2,True
Carvykti,Australia,Australia,MSAC,MM_5L,adult patients with 5L+ RRMM - updated funding proposal (October 2024),2023-06-06,2024-10,2024-11-29,recommended-restricted,outcomes-based,"pay-for-performance based on stringent complete response at 12 months and PFS thereafter with no subsequent therapy; ICER $95,000 to <$115,000/QALY; reduced one-off payment for patients above subsidisation cap; post-funding review",,,AUD,,"MSAC continued to support the public funding of cilta-cel for the treatment of adult patients with 5L+ RRMM. MSAC acknowledged the applicant had reduced its price since its April 2024 pricing proposal and that it no longer proposed to place caps on the number of patients treated with cilta-cel per year. However, MSAC considered the alternative funding proposal submitted by the applicant did not appropriately address the clinical, economic and financial uncertainty associated with public funding. MSAC considered the outcome measure of overall survival (OS) proposed by the applicant was not an appropriate outcome on which a Pay-for-Performance (PfP) arrangement should be based. MSAC considered the PfP should be based on an outcome that could be attributed directly to the use of cilta-cel, such as stringent complete response (sCR) with no use of subsequent therapies. However, MSAC considered that a shorter PfP arrangement based on sCR at 12 months and progression free survival (PFS) thereafter with no use of subsequent treatments, that resulted in a price and ICER largely aligned with the applicant's October 2024 funding proposal would be acceptable (i.e. maximum price per responder of $[redacted]; average price $[redacted]; and ICER $95,000 to < $115,000/ QALY.",Public Summary Document Application No. 1690.1 - Ciltacabtagene autoleucel (November 2024 update),MSAC 1690.1 PSD (November 2024); MSAC 29 November 2024,https://www.msac.gov.au/sites/default/files/2025-01/1690.1_psd_-_november_2024.pdf,2026-09-05,verified-from-source,Price redacted. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections,decisions_australia.csv,carvykti,2023-06-06,stated by agent,2024-11-29,2022-02-28,17.8,33.0,True
Carvykti,Australia,Australia,Funding,MM_5L,5L+ RRMM under NHRA Highly Specialised Therapy arrangements,2023-06-06,,,not-found,outcomes-based,,,,AUD,,,,,https://www.msac.gov.au/sites/default/files/2025-01/1690.1_psd_-_november_2024.pdf,2026-09-05,not-found,Funding commencement date not found in documents read.,decisions_australia.csv,carvykti,2023-06-06,stated by agent,,2022-02-28,,,False
Luxturna,Australia,Australia,TGA,RPE65,adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic RPE65 pathogenic variants and who have sufficient viable retinal cells (registered indication),2020-08-05,2019-07-31,2020-08-04,recommended,none,,,,,,,ARTG Public Summary for ARTG Entry 318929 (LUXTURNA); TGA Australian prescription medicine decision summary: Luxturna,ARTG 318929,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=318929&agid=(PrintDetailsPublic)&actionid=1,2026-09-05,verified-from-source,ARTG Start Date 5/08/2020; TGA decision 4 August 2020; submission accepted 31 July 2019; orphan designation 29 March 2019; 208 working days. Archived AusPMD page https://www.tga.gov.au/resources/auspmd/luxturna read via web.archive.org.,decisions_australia.csv,luxturna,2020-08-05,stated by agent,2020-08-04,2017-12-19,-0.0,31.5,True
Luxturna,Australia,Australia,MSAC,RPE65,adult and paediatric patients with vision loss due to inherited retinal dystrophy (IRD) caused by confirmed biallelic RPE65 pathogenic variants and who have sufficient viable retinal cells,2020-08-05,,2020-07-28,under-assessment,outcomes-based,deferred to allow further negotiation on price and risk sharing arrangements,,,AUD,,"MSAC decided to defer its advice on the suitability for joint Commonwealth and State/Territory funding to allow further negotiations with the applicant on the price and risk sharing arrangements. MSAC accepted there is a high clinical need for effective treatment options for patients with a rare condition that causes progressive loss of vision leading ultimately to near-total blindness. MSAC agreed the available evidence indicates VN improves vision in patients with this condition. However, MSAC considered there were significant uncertainties with the economic modelling resulting in a high and uncertain cost-effectiveness, and with the financial estimates.",Public Summary Document Application No. 1623 - Luxturna (voretigene neparvovec) for the treatment of biallelic RPE-65-mediated Inherited Retinal Dystrophies,MSAC 1623 PSD; MSAC 79th Meeting 28-29 July 2020,https://www.msac.gov.au/sites/default/files/documents/1623%20Final%20PSD.pdf,2026-09-05,verified-from-source,Deferred (mapped to under-assessment). Considered one week before ARTG registration. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections,decisions_australia.csv,luxturna,2020-08-05,stated by agent,2020-07-28,2017-12-19,-0.3,31.3,False
Luxturna,Australia,Australia,MSAC,RPE65,adult and paediatric patients with vision loss due to inherited retinal dystrophy (IRD) caused by confirmed biallelic RPE65 pathogenic variants and who have sufficient viable retinal cells,2020-08-05,,2020-11-26,recommended-restricted,outcomes-based,further price reduction of [redacted]% required; pay-for-performance with price significantly reduced or not paid if patient fails to show >=0.3 log10 improvement in FST at 60 days (single payment on response); one successful treatment per eye per lifetime; delivery per TGA RMP treatment centre criteria; NATA-accredited genetic confirmation; review within 3 years,,,AUD,,"MSAC supported joint Commonwealth and State/Territory funding of VN through the National Health Reform Agreement (NHRA). MSAC agreed VN addresses a high unmet clinical need for patients with biallelic RPE-65-mediated inherited retinal dystrophies for which no treatment is currently available and considered the available evidence indicates VN improves vision in patients with this condition, as long as the patient has sufficient viable retinal cells at the time of treatment. MSAC considered the reapplication did not satisfactorily address the significant outstanding uncertainties related to the economic modelling, resulting in high and uncertain cost- effectiveness remaining a concern for the Committee. MSAC considered a further reduction of redacted% to the proposed price would be required to adequately address the remaining uncertainties associated with the cost-effectiveness of VN, the duration of treatment effect and the absence of a financial or patient number cap in the risk sharing proposal.",Public Summary Document Application No. 1623 - Luxturna (voretigene neparvovec) for the treatment of biallelic RPE-65-mediated Inherited Retinal Dystrophies,MSAC 1623 PSD; MSAC 80th Meeting 26-27 November 2020,https://www.msac.gov.au/sites/default/files/documents/1623%20Final%20PSD.pdf,2026-09-05,verified-from-source,Funded as NHRA Highly Specialised Therapy (public hospital Specialist Treatment Centres). Price redacted. PBAC (Zolgensma PSD Nov 2020) notes the ONA effective price requested was more than three times the price requested for voretigene neparvovec. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections,decisions_australia.csv,luxturna,2020-08-05,stated by agent,2020-11-26,2017-12-19,3.7,35.2,True
Luxturna,Australia,Australia,Funding,RPE65,biallelic RPE65-mediated IRD under NHRA,2020-08-05,,,not-found,outcomes-based,,,,AUD,,,,,https://www.msac.gov.au/sites/default/files/documents/1623%20Final%20PSD.pdf,2026-09-05,not-found,NHRA funding commencement date not found in documents read.,decisions_australia.csv,luxturna,2020-08-05,stated by agent,,2017-12-19,,,False
Zolgensma,Australia,Australia,TGA,SMA_under9m,Zolgensma (onasemnogene abeparvovec) is indicated for the treatment of paediatric patients less than 9 months of age with symptomatic or pre-symptomatic spinal muscular atrophy with bi-allelic mutations in the survival motor neuron 1 (SMN1) gene and 1 to 3 copies of the SMN2 gene.,2021-03-04,,2021-02-24,recommended,none,,,,,,,ARTG Public Summary for ARTG Entry 327905 (ZOLGENSMA); TGA Australian prescription medicine decision summary: Zolgensma,"ARTG 327905 (also 327906, 327907)",https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=327905&agid=(PrintDetailsPublic)&actionid=1,2026-09-05,verified-from-source,ARTG Start Date 4/03/2021; TGA decision date 24 February 2021. Archived AusPMD page https://www.tga.gov.au/resources/auspmd/zolgensma read via web.archive.org. Submission made under TGA/PBAC parallel process.,decisions_australia.csv,zolgensma,2021-03-04,stated by agent,2021-02-24,2019-05-24,-0.3,21.1,True
Zolgensma,Australia,Australia,PBAC,SMA_type1,treatment of spinal muscular atrophy (SMA) Type I in patients under 2 years of age (paediatric patients less than 2 years of age with SMA with bi-allelic mutations in the SMN1 gene),2021-03-04,,2020-11,under-assessment,unknown,"deferred; submission listed options of payment by instalment, pay-for-performance or traditional PBS agreement",,redacted,AUD,requested DPMQ (based on USD price at January 2020 exchange rate),"The PBAC deferred making a decision on the request for PBS listing of onasemnogene abeparvovec (ONA) (Zolgensma) in patients less than 2 years of age with confirmed Type I SMA (based on genotype and phenotype) to allow the TGA to confirm the indication for the therapy and work to be progressed on a Decision Support Analysis as described below. However, as set out above, the PBAC had a number of concerns with the current subsidy proposal for ONA. Most importantly, the PBAC did not accept the submission's claim that ONA is superior in terms of effectiveness and safety compared to NUSI. Overall, having considered all the available evidence, the PBAC concluded that, on balance ONA would likely deliver similar clinical outcomes to NUSI in matched patients. The PBAC noted that the effective price requested for ONA is more than three times the price requested for voretigene naparvovec (VOR, Luxturna) another single-dose gene therapy that is also sponsored by Novartis.","Public Summary Document - November 2020 PBAC Meeting, 5.10 ONASEMNOGENE ABEPARVOVEC, Zolgensma, Novartis Pharmaceuticals Australia Pty Ltd",PBAC PSD November 2020 item 5.10,https://www.pbs.gov.au/industry/pbac/psd/2020/11/onasemnogene-abeparvovec-psd-nov-2020.pdf,2026-09-05,verified-from-source,TGA/PBAC parallel process; considered before TGA registration. Meeting days not stated in PSD (month given). Patient numbers redacted (<500 per year).,decisions_australia.csv,zolgensma,2021-03-04,stated by agent,2020-11-01,2019-05-24,-4.0,17.3,False
Zolgensma,Australia,Australia,PBAC,SMA_type1,SMA in patients aged less than 9 months with 1-3 copies of the SMN2 gene (revised population),2021-03-04,,2021-05,under-assessment,unknown,deferral maintained; sponsor proposal of upfront payment with no outcomes-based measures considered inadequate,,redacted,AUD,sponsor deferral proposal effective price,"The PBAC maintained its deferral from the November 2020 meeting for PBS listing of onasemnogene abeparvovec (ONA) for spinal muscular atrophy (SMA) as a number of concerns with the subsidy proposal remained. The PBAC noted the proposed population was revised to patients aged less than 9 months, with 1-3 copies of the SMN2 gene, and that patients with 3 copies of SMN2 are currently not eligible for treatment with nusinersen (NUSI). The PBAC considered the request for inclusion of patients with 3 copies of SMN2 was not adequately supported, and at the requested price ONA was unlikely to be cost-effective in these patients. The PBAC considered that the cost-minimisation analysis for ONA versus NUSI should be revised to take into account discounting of costs in the forward years, and an analysis versus risdiplam (as a near market comparator) should also be presented. The PBAC considered that the proposal which was conditional on an upfront payment with no outcomes-based measures did not adequately address the uncertainties with the clinical evidence and associated cost-effectiveness.","Public Summary Document - November 2020 PBAC Meeting with May 2021 Addendum, ONASEMNOGENE ABEPARVOVEC, Zolgensma",PBAC PSD May 2021 Addendum (item 4.04),https://www.pbs.gov.au/industry/pbac/psd/2021/05/onasemnogene-abeparvovec-psd-may-2021.pdf,2026-09-05,verified-from-source,Intracycle (May 2021) consideration; meeting day not stated.,decisions_australia.csv,zolgensma,2021-03-04,stated by agent,2021-05-01,2019-05-24,1.9,23.3,False
Zolgensma,Australia,Australia,PBAC,SMA_type1,"Spinal Muscular Atrophy (SMA) in patients aged less than 9 months, with Type 1 SMA or pre-symptomatic patients with 1-2 copies of the SMN2 gene",2021-03-04,,2021-09,recommended-restricted,outcomes-based,"Section 100 Highly Specialised Drugs Program listing on cost-minimisation to risdiplam over [redacted] years discounted at 5%; outcomes-based risk sharing arrangement with refund where treatment fails (death, permanent ventilation or lack of efficacy); special pricing arrangement with performance rebate",,redacted,AUD,effective price (cost-minimised to risdiplam),"Following a revised proposal from the sponsor, the PBAC recommended the Section 100 (Highly Specialised Drugs Program) listing of onasemnogene abeparvovec (ONA) for the treatment of Spinal Muscular Atrophy (SMA) in patients aged less than 9 months, with Type 1 SMA or pre-symptomatic patients with 1-2 copies of the SMN2 gene. The PBAC's recommendation for listing was based on, among other matters, its assessment that the cost-effectiveness of ONA would be acceptable if it were cost-minimised to the least costly disease-modifying therapy for this condition, which is risdiplam (RIS), and in the context of an outcomes-based risk sharing arrangement (RSA). The PBAC also considered that an outcomes-based RSA would be required to mitigate the financial risk to the Commonwealth associated with the significant upfront payment for ONA where the treatment fails, resulting in death, permanent ventilation or lack of efficacy.","Public Summary Document - November 2020 PBAC Meeting with May 2021 Addendum and September 2021 Addendum, ONASEMNOGENE ABEPARVOVEC, Zolgensma",PBAC PSD September 2021 Addendum (section 9 PBAC Outcome),https://www.pbs.gov.au/industry/pbac/psd/2021/09/onasemnogene-abeparvovec-psd-september-2021.pdf,2026-09-05,verified-from-source,"Intracycle (September 2021) consideration; day not stated. Sponsor comment: ""Novartis is pleased to receive the positive recommendation for Zolgensma"".",decisions_australia.csv,zolgensma,2021-03-04,stated by agent,2021-09-01,2019-05-24,5.9,27.3,True
Zolgensma,Australia,Australia,Funding,SMA_type1,"PBS Section 100 (Highly Specialised Drugs Program) listing, once-off treatment in patients aged less than 9 months with symptomatic SMA Type I or pre-symptomatic SMA with 1 to 2 copies of SMN2",2021-03-04,,2022-05,recommended-restricted,outcomes-based,special pricing arrangement with effective price including a performance rebate as part of a risk sharing arrangement,,2557773.87,AUD,published PBS price (DPMQ) per treatment; effective price redacted,"ONA was listed on the PBS in May 2022 as a once-off treatment in patients aged less than 9 months with symptomatic SMA Type I or pre-symptomatic SMA with 1 to 2 copies of SMN2 on a cost minimisation basis versus risdiplam, which was the least costly disease-modifying therapy for this condition. A special pricing arrangement (SPA) also applies to the current PBS listing of ONA, with an effective price of $[redacted], including a performance rebate as part of a risk sharing arrangement (RSA).","Public Summary Document - November 2022 PBAC Meeting, 6.05 ONASEMNOGENE ABEPARVOVEC, Zolgensma (Background section)",PBAC PSD November 2022 item 6.05,https://www.pbs.gov.au/industry/pbac/psd/2022/11/onasemnogene-abebarvovec-psd-11-2022.pdf,2026-09-05,verified-from-source,"PBS listing month per PSD; PBS listings take effect on the first of the month, so 1 May 2022 is the likely effective date but the day was not verified from the PBS Schedule. Published price $2,557,773.87 quoted in the November 2022 PSD; July 2023 and November 2025 PSDs quote $2,527,773.87.",decisions_australia.csv,zolgensma,2021-03-04,stated by agent,2022-05-01,2019-05-24,13.9,35.2,True
Zolgensma,Australia,Australia,PBAC,SMA_presymp_3copies,pre-symptomatic patients who are genetically diagnosed with SMA and have 3 copies of the Survival Motor Neuron 2 (SMN2) gene (paediatric patients less than 9 months of age),2021-03-04,,2022-11,not-recommended,none,no special pricing arrangement proposed; requested price substantially higher than current 1-2 copy listing,,redacted,AUD,"requested effective price (higher than published price $2,557,773.87 for existing listing)","The PBAC did not recommend onasemnogene abeparvovec (ONA) for the treatment of pre-symptomatic patients who are genetically diagnosed with spinal muscular atrophy (SMA) and have 3 copies of the Survival Motor Neuron 2 (SMN2) gene. The PBAC considered that pre-symptomatic treatment with ONA may provide clinical benefit for some patients compared to treatment with existing disease modifying therapies following the onset of symptoms. However, the PBAC noted the magnitude of benefit was unclear from the limited clinical data available. The PBAC considered that the economic model presented was unreliable for informing the cost-effectiveness of ONA. The PBAC noted that the price requested was substantially higher than the current price for patients with 1-2 copies of SMN2 and considered this to be inconsistent with the reduced incremental benefit that would be observed for patients with 3 copies of SMN2.","Public Summary Document - November 2022 PBAC Meeting, 6.05 ONASEMNOGENE ABEPARVOVEC, Zolgensma",PBAC PSD November 2022 item 6.05,https://www.pbs.gov.au/industry/pbac/psd/2022/11/onasemnogene-abebarvovec-psd-11-2022.pdf,2026-09-05,verified-from-source,Category 2 submission requesting extension of S100 HSD listing.,decisions_australia.csv,zolgensma,2021-03-04,stated by agent,2022-11-01,2019-05-24,19.9,41.3,True
Zolgensma,Australia,Australia,PBAC,SMA_presymp_3copies,"pre-symptomatic treatment in patients aged up to 9 months, genetically diagnosed SMA, who have a SMN2 gene copy number of 3",2021-03-04,,2023-07,recommended-restricted,outcomes-based,extension of listing with price reduction; existing outcomes-based RSA (full refund if patient dies etc.) to apply; special pricing arrangement,,2527773.87,AUD,published price; effective price redacted (lower than requested November 2022 price),"The PBAC recommended the amendment to the current listing of ONA to include the pre-symptomatic treatment in patients aged up to 9 months, genetically diagnosed SMA, who have a SMN2 gene copy number of 3. The PBAC considered that pre-symptomatic treatment with ONA in patients with 3 copies of SMN2 would provide an additional benefit for some patients compared with initiation of treatment upon development of symptoms. The PBAC noted there was remaining uncertainty regarding the cost-effectiveness of pre-symptomatic treatment with ONA in patients with 3 copies of SMN2 due to the uncertain magnitude of incremental benefit compared to symptomatic treatment. However, the PBAC was satisfied that extension of the current listing would be adequately cost-effective with a price reduction for use in the proposed population.","Public Summary Document - July 2023 PBAC Meeting, 7.06 ONASEMNOGENE ABEPARVOVEC, Zolgensma",PBAC PSD July 2023 item 7.06,https://www.pbs.gov.au/industry/pbac/psd/2023/07/onasemnogene-abeparvovec-psd-july-2023.pdf,2026-09-05,verified-from-source,Standard re-entry resubmission; cost-minimisation vs ONA in 1-2 copy population. Net cost $10-<20 million in Year 1. Subsequent PBS listing date for this population not retrieved.,decisions_australia.csv,zolgensma,2021-03-04,stated by agent,2023-07-01,2019-05-24,27.9,49.2,True
Zolgensma,Australia,Australia,PBAC,SMA_upto21kg,"paediatric patients weighing up to 21 kg with symptomatic Type I-IIIa SMA, or pre-symptomatic SMA with 1-3 copies SMN2 (DMT-treated, initiated before 36 months) or untreated up to 36 months of age",2021-03-04,,2025-11,recommended-restricted,outcomes-based,same cost per patient as younger population with the same outcomes-based RSA conditions; cost-comparison basis,,2527773.87,AUD,published price; effective prices redacted,"The PBAC recommended expanding the current listing of onasemnogene abeparvovec (ONA) which requires patients to be less than 9 months of age to include treatment of SMA patients with: Symptomatic Type I-IIIa SMA, weighing up to 21 kg. Pre-symptomatic SMA with 1-3 copies SMN2, weighing up to 21 kg, where treatment with DMTs was initiated prior to 36 months of age. Pre-symptomatic SMA with 1-3 copies SMN2, up to 36 months of age, where patients are untreated with DMTs. The PBAC considered that although the evidence available was limited, the efficacy and safety of ONA in patients older than 9 months appears similar to that in patients younger than 9 months. The PBAC considered that ONA would be acceptably cost-effective in the older population at the same cost per patient as in the younger population, with the same outcomes-based RSA conditions applied.","Public Summary Document - November 2025 PBAC Meeting, 6.05 ONASEMNOGENE ABEPARVOVEC, Zolgensma",PBAC PSD November 2025 item 6.05,https://www.pbs.gov.au/industry/pbac/psd/2025/11/onasemnogene-abeparvovec-psd-november-2025.pdf,2026-09-05,verified-from-source,PBAC considered estimated <500 patients per year reasonable (exact number redacted). Population extends beyond the TGA-registered <9 months indication (TGA CER cited). Listing date not retrieved.,decisions_australia.csv,zolgensma,2021-03-04,stated by agent,2025-11-01,2019-05-24,55.9,77.3,True
Hemgenix,Australia,Australia,TGA,HEMB_adult,"Hemgenix is an adeno-associated virus vector-based gene therapy indicated for treatment of adults with haemophilia B (congenital factor IX deficiency), without a history of factor IX inhibitors, who: currently use factor IX prophylaxis therapy, or have current or historical life-threatening haemorrhage, or repeated, serious spontaneous bleeding episodes.",2024-03-19,2023-03-31,2024-03-15,recommended-managed-access,none,"provisional registration (time-limited, up to 6 years; continued approval depends on confirmatory data)",,,,,,ARTG Public Summary for ARTG Entry 405360 (HEMGENIX); TGA Australian prescription medicine decision summary: Hemgenix,ARTG 405360,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=405360&agid=(PrintDetailsPublic)&actionid=1,2026-09-05,verified-from-source,Provisional registration. ARTG Start Date 19/03/2024; decision 15 March 2024; submission accepted 31 March 2023; 213 working days; orphan drug. Archived AusPMD page https://www.tga.gov.au/resources/auspmd/hemgenix read via web.archive.org.,decisions_australia.csv,hemgenix,2024-03-19,stated by agent,2024-03-15,2022-11-22,-0.1,15.7,True
Hemgenix,Australia,Australia,MSAC,HEMB_adult,adult patients with moderately severe or severe congenital haemophilia B (funding sought under the national blood arrangements),2024-03-19,,2024-08-01,not-recommended,none,applicant proposed a risk sharing agreement (details redacted); ESC discussed long-term pay-for-performance,,redacted,AUD,proposed price per single infusion,"MSAC did not support public funding of the gene therapy etranacogene dezaparvovec (Hemgenix) for the treatment of adult patients with moderately severe or severe congenital haemophilia B. MSAC noted the limited low certainty clinical evidence indicated that Hemgenix may be effective for some patients in the short term but considered that there was substantial inter-individual variability in the patient response to Hemgenix. Although a lifetime benefit was claimed, MSAC considered the clinical evidence (3-year follow-up) was insufficient to substantiate the long-term safety and effectiveness of Hemgenix. MSAC considered the neutralising antibody test was essential for determining patient eligibility to Hemgenix, but noted this test has not been validated. MSAC also considered that the cost effectiveness of Hemgenix compared to factor IX replacement therapy was highly uncertain due to the uncertainties in both the clinical evidence and the oversimplified economic model which had inherent limitations. As such, MSAC considered the proposed very high price for Hemgenix was not cost-effective. MSAC considered that the estimated utilisation may be erroneously low given the prevalent pool of potentially eligible individuals.",Public Summary Document Application No. 1728 - Etranacogene dezaparvovec for the treatment of Haemophilia B,MSAC 1728 PSD; MSAC 1-2 August 2024,https://www.msac.gov.au/sites/default/files/2024-10/1728_final_psd_-_aug2024_-_redacted.pdf,2026-09-05,verified-from-source,"Funding channel: National Blood Agreement (National Blood Authority), not NHRA or PBS. Uptake rates redacted. retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections",decisions_australia.csv,hemgenix,2024-03-19,stated by agent,2024-08-01,2022-11-22,4.4,20.3,True
Hemgenix,Australia,Australia,MSAC,HEMB_adult,adult patients with moderately severe or severe congenital haemophilia B (National Blood Agreement),2024-03-19,,2025-07-31,recommended-restricted,unknown,anti-AAV5 neutralising antibody assay essential for eligibility; provisional registration noted; remainder of conditions not extracted,,redacted,AUD,,"MSAC supported public funding of the gene therapy etranacogene dezaparvovec (ED, Hemgenix) for the treatment of adult patients with moderately severe or severe congenital haemophilia B. Based on the available clinical evidence, MSAC considered that ED, administered as a one-time treatment, provides clinical benefit to patients. MSAC considered that an anti-adeno-associated virus type 5 neutralising antibody assay was essential for determining patient eligibility to treatment, but raised some concern about the accuracy and validity of the proposed assay. Among patients treated with ED in the key trial, approximately 94% of patients were able to cease regular (typically 1-2 times per week) prophylactic factor replacement injections, with approximately 41% of patients having no further bleeding episodes. However, MSAC noted that ED is provisionally registered in Australia and considered that the clinical evidence (4-year follow-up in the key trial) did not yet fully support the durability of treatment effect over a lifetime.",Public Summary Document Application No. 1728.1 - Etranacogene dezaparvovec for the treatment of Haemophilia B,MSAC 1728.1 PSD; MSAC 31 July 2025,https://www.msac.gov.au/sites/default/files/2025-11/1728.1_final_psd_-_july_2025_-_redacted.pdf,2026-09-05,verified-from-source,Only the opening of the advice section was read; pricing/risk-share conditions later in the paragraph were not extracted (application form HPP200260). retrieved via web.archive.org snapshot because msac.gov.au and tga.gov.au refused direct connections,decisions_australia.csv,hemgenix,2024-03-19,stated by agent,2025-07-31,2022-11-22,16.4,32.3,True
Hemgenix,Australia,Australia,Funding,HEMB_adult,National Blood Agreement funding,2024-03-19,,,not-found,unknown,,,,AUD,,,,,https://www.msac.gov.au/sites/default/files/2025-11/1728.1_final_psd_-_july_2025_-_redacted.pdf,2026-09-05,not-found,Funding commencement date not found.,decisions_australia.csv,hemgenix,2024-03-19,stated by agent,,2022-11-22,,,False
Imlygic,Australia,Australia,TGA,MEL_unresectable,"monotherapy for the treatment of melanoma in patients with unresectable cutaneous, subcutaneous and nodal lesions after initial surgery",2015-12-21,,2015-12-21,recommended,none,,,,,,,"Public Summary Document - July 2016 PBAC Meeting, 5.11 Talimogene laherparepvec (Background 3.1)",PBAC PSD July 2016 item 5.11,https://www.pbs.gov.au/industry/pbac/psd/2016/07/talimogene-psd-july-2016.pdf,2026-09-05,verified-from-source,"TGA registration date per PBAC PSD: ""T-VEC was registered by the TGA on 21 December 2015"". TGA record not retrieved; eBS PI repository returned no Imlygic PI on 2026-09-05, which may indicate the ARTG entry has since been cancelled (unverified).",decisions_australia.csv,imlygic,2015-12-21,stated by agent,2015-12-21,2015-10-27,0.0,1.8,True
Imlygic,Australia,Australia,PBAC,MEL_unresectable,Section 100 (Efficient Funding of Chemotherapy) Authority Required (Streamlined) listing for the treatment of unresectable stage III or stage IV malignant melanoma without visceral metastases,2015-12-21,,2016-07,not-recommended,none,sponsor indicated willingness to enter a risk sharing arrangement on vial numbers; cost-minimisation to ipilimumab proposed without a requested effective price,,13000.95,AUD,"requested DPMA per 1 million PFU/mL 1 mL vial (public hospital); $13,214.33 private","The PBAC rejected the listing of T-VEC on the basis of highly uncertain magnitude of clinical benefit, and thus highly uncertain cost effectiveness compared to its nominated comparators (pembrolizumab, nivolumab and ipilimumab). The PBAC acknowledged that there may be some short-term unmet clinical need for additional therapies beyond current PBS-subsidised medicines in a small subgroup of previously untreated patients with stage IIIb/c and stage IVM1a melanoma. The PBAC considered that durable response rate, the primary endpoint in the key trial (OPTiM), was not a validated endpoint. The PBAC considered that the magnitude of survival benefit of T-VEC in the stage IIIb/c and stage IVM1a subgroups was highly uncertain, given the data was derived from an exploratory post-hoc subgroup.","Public Summary Document - July 2016 PBAC Meeting, 5.11 Talimogene laherparepvec, Imlygic, Amgen Australia Pty Ltd",PBAC PSD July 2016 item 5.11,https://www.pbs.gov.au/industry/pbac/psd/2016/07/talimogene-psd-july-2016.pdf,2026-09-05,verified-from-source,First PBAC consideration; patient numbers redacted. No later PBAC resubmission found in the PBS PSD index (only one talimogene PSD listed).,decisions_australia.csv,imlygic,2015-12-21,stated by agent,2016-07-01,2015-10-27,6.3,8.1,True
Imlygic,Australia,Australia,Funding,MEL_unresectable,PBS listing,2015-12-21,,,not-found,none,,,,AUD,,,,,https://www.pbs.gov.au/industry/pbac/psd,2026-09-05,not-found,No PBS listing found; only PBAC record is the July 2016 rejection.,decisions_australia.csv,imlygic,2015-12-21,stated by agent,,2015-10-27,,,False
Roctavian,Australia,Australia,TGA,HEMA_adult,congenital haemophilia A,,,,not-found,unknown,,,,,,,TGA eBS Product and Consumer Medicine Information repository search,,https://www.ebs.tga.gov.au/ebs/picmi/picmirepository.nsf/PICMI?OpenForm&t=PI&q=roctavian,2026-09-05,provisional-from-snippet,"eBS PI repository shows 0 documents for Roctavian/valoctocogene on 2026-09-05, suggesting no current ARTG registration; tga.gov.au ARTG search was unreachable so this is not confirmed.",decisions_australia.csv,roctavian,2022-08-24,cohort EU authorisation,,2023-06-30,,,False
