product,product_key,sponsor_at_event,event_date,event_type,is_retreat,event_title,counterparty,amount_usd_m,manufacturing_model,geography,months_from_first_approval,after_approval,is_prv_sale,stated_reason_verbatim,source_doc,source_url,fetched_date,status,usable,origin,notes
Alofisel,alofisel,Takeda,2025-10-01,sponsor-exit-from-modality,True,Takeda discontinues all cell therapy research and seeks external partner for its platform,,,allogeneic cell,worldwide,90.3,True,False,"Takeda (TSE:4502/NYSE:TAK) today announced that as part of a strategic portfolio prioritization process, the company has made the decision to discontinue its cell therapy efforts. Takeda will seek an external partner to leverage its cell therapy platform technologies","Takeda 6-K, statement 'Takeda Provides Update on Cell Therapy Research' (2025-10-01)",https://www.sec.gov/Archives/edgar/data/1395064/000139506425000145/form6k_100125.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Ten months after the Alofisel EU withdrawal. Trade press (Fierce Biotech) reports 137 US roles affected and an expected impairment of c. JPY 58bn on the gamma-delta platform; not verified from the 6-K read. Takeda statement page: https://www.takeda.com/newsroom/statements/2025/takeda-provides-update-on-cell-therapy-research/
Amtagvi,amtagvi,Iovance,2025-08-07,restructuring,True,Iovance strategic restructuring (>USD 100m annual savings; cash runway into 4Q26),,,other,US,17.7,True,False,"Iovance is implementing a strategic restructuring to optimize business performance, resulting in more than $100 million in annual cost savings starting in the fourth quarter of 2025 and extending cash runway into the fourth quarter of 2026. No significant changes to the pipeline are expected","Iovance 8-K Ex-99.1, Q2 2025 financial results and corporate updates (2025-08-07)",https://www.sec.gov/Archives/edgar/data/1425205/000110465925075175/tm2522769d1_ex99-1.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Manufacturing model: autologous tumour-infiltrating lymphocytes (TIL). Workforce percentage not stated in the release or the Q3 2025 10-Q text read; 10-Q refers to 'our restructuring plan and workforce reduction'.
Amtagvi,amtagvi,Iovance,2025-08-07,discontinuation-or-withdrawal,True,Iovance withdraws EU marketing authorisation application for lifileucel after CHMP interactions,EMA,,other,EU,17.7,True,False,Iovance recently withdrew a marketing authorization application (MAA) from the European Medicines Agency (EMA) following interactions with EMA's Committee for Medicinal Products for Human Use. A new strategy is in development to make Amtagvi and TIL therapy broadly accessible to patients in the EU.,"Iovance 8-K Ex-99.1, Q2 2025 results (2025-08-07); Iovance 10-Q for quarter ended 2025-06-30",https://www.sec.gov/Archives/edgar/data/1425205/000110465925075175/tm2522769d1_ex99-1.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Withdrawal of a pending application, not of an authorisation; exact notification date not stated (row dated by disclosure). 10-Q: 'Iovance notified EMA of its decision to withdraw the MAA and is working to determine a resubmission strategy' https://www.sec.gov/Archives/edgar/data/1425205/000155837025010807/iova-20250630x10q.htm. EMA withdrawn-application page not found (404)."
Amtagvi,amtagvi,Iovance,,shipment-pause-or-restriction,True,no label restriction or withdrawal found; still accelerated approval pending confirmatory trial TILVANCE-301,,,tumour-infiltrating lymphocytes,US,,False,False,,FDA product page,https://www.fda.gov/vaccines-blood-biologics/approved-blood-products/amtagvi,,verified-from-source,False,product_cohort.csv (F020),
Aucatzyl,aucatzyl,Autolus,2026-04-29,restructuring,True,Autolus cost-reduction initiative: c.13% headcount reduction while doubling manufacturing output,,,autologous CAR-T,worldwide,17.6,True,False,Company will reduce headcount by approximately 13% while doubling manufacturing of products for commercial and clinical trial patients in 2026 ... Autolus reiterates full year 2026 AUCATZYL net product revenue of $120 million to $135 million,"Autolus 8-K Ex-99.1, 'Autolus Therapeutics Announces Initiative to Support Operational Efficiency and Cost Reduction' (2026-04-29)",https://www.sec.gov/Archives/edgar/data/1730463/000119312526192362/d113906dex991.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Q1 2026 release: reduction 'expected to reduce operating expenses by approximately $15 million on an annualized basis' https://www.sec.gov/Archives/edgar/data/1730463/000173046326000058/autlex-991pr140526.htm. Framed as margin improvement, not retreat; guidance later raised to USD 140-150m (Aug 2026)."
Beqvez / Durveqtix,beqvez,Pfizer,2025-02-21,discontinuation-or-withdrawal,True,Pfizer terminates development and commercialisation of Beqvez worldwide and terminates the Spark licence,Spark Therapeutics (Roche),,AAV systemic,worldwide,9.9,True,False,"In February 2025, Pfizer decided to terminate development and commercialization of Beqvez (fidanacogene elaparvovec) and elected to terminate the license agreement between Pfizer and Spark Therapeutics, Inc. effective as of August 6, 2025.","Pfizer Form 10-K for fiscal year 2024 (filed 2025-02-27), Item 1 product developments",https://www.sec.gov/Archives/edgar/data/78003/000007800325000054/pfe-20241231.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Announcement date 2025-02-21 per BioPharma Dive https://www.biopharmadive.com/news/pfizer-beqvez-hemophilia-halt-sales-gene-therapy/740590/, which quotes Pfizer citing 'the limited interest patients and their doctors have demonstrated in hemophilia gene therapies to date'; the 10-K gives only 'February 2025' and no reason. Less than 10 months after FDA approval (2024-04-25). Licence termination effective 2025-08-06 returns rights to Spark/Roche."
Beqvez / Durveqtix,beqvez,Pfizer,2025-02-21,sponsor-exit-from-modality,True,Pfizer left with no marketed or clinical-stage gene therapy after dropping Beqvez,,,AAV systemic,worldwide,9.9,True,False,"(trade press characterisation) With the dropping of Beqvez, Pfizer currently has no gene therapy products on the market or in development.","Fierce Pharma, 'Pfizer discontinues hemophilia treatment Beqvez, emptying its gene therapy portfolio' (February 2025); CGTlive, 'Pfizer Jettisons FDA-Approved Hemophilia B Gene Therapy Beqvez'",https://www.fiercepharma.com/pharma/pfizer-empties-gene-therapy-portfolio-discontinues-hemophilia-treatment-beqvez,2026-09-05,provisional-from-snippet,False,agent events_by_product.csv,"Fierce URL returned HTTP 403; characterisation taken from search snippets. Primary corroboration in Pfizer 10-K FY2024: 'On September 19, 2023, we completed an agreement with Alexion, under which Alexion purchased and licensed the assets of our early-stage rare disease gene therapy portfolio ... total consideration of up to $1 billion, consisting of an upfront payment of $300 million' (https://www.sec.gov/Archives/edgar/data/78003/000007800325000054/pfe-20241231.htm); Sangamo haemophilia A collaboration terminated December 2024 (not read)."
Beqvez / Durveqtix,beqvez,Pfizer,2025-05-15,discontinuation-or-withdrawal,True,EU marketing authorisation for Beqvez (previously Durveqtix) withdrawn at Pfizer's request,European Commission,,AAV systemic,EU,12.6,True,False,"On 15 May 2025, the European Commission withdrew the marketing authorisation for Beqvez (fidanacogene elaparvovec) in the European Union (EU). The withdrawal was requested by the marketing authorisation holder, Pfizer Europe MA EEIG, due to commercial reasons. ... The product had not been marketed in the EU.","EMA EPAR page, Beqvez (previously Durveqtix), 'Withdrawn' status and overview",https://www.ema.europa.eu/en/medicines/human/EPAR/durveqtix,2026-09-05,verified-from-source,True,agent events_by_product.csv,Conditional EU authorisation granted 2024-07-24; withdrawn under 10 months later without any EU sales.
Beqvez / Durveqtix,beqvez,Pfizer,2025-05-15,discontinuation-or-withdrawal,True,EU marketing authorisation withdrawn or expired,,,AAV systemic,EU,12.6,True,False,,EMA EPAR page,https://www.ema.europa.eu/en/medicines/human/EPAR/durveqtix,,verified-from-source,True,product_cohort.csv (F020),
Beqvez,beqvez,,2025,discontinuation-or-withdrawal,True,Pfizer discontinues Beqvez and exits gene therapy,,,AAV systemic,,14.2,True,False,,,,,seeded-from-memory,False,investment_events.csv seed,
Beqvez / Durveqtix,beqvez,,2025,discontinuation-or-withdrawal,True,"Pfizer withdraws Durveqtix (Beqvez) EU marketing authorisation for commercial reasons, 2025-05-15",,,AAV systemic,,14.2,True,False,,EMA EPAR page for Durveqtix; see product_cohort.csv eu_source_url,,2026-09-04,verified-from-source,True,investment_events.csv seed,
Breyanzi,breyanzi,Juno Therapeutics,2018-01-22,acquisition,False,Celgene acquires Juno Therapeutics (liso-cel originator),Celgene,9000,autologous CAR-T,worldwide,-36.5,False,False,"Celgene will pay $87 per share in cash, or a total of approximately $9 billion, net of cash and marketable securities acquired and Juno shares already owned by Celgene (approximately 9.7% of outstanding shares).",Juno Therapeutics 8-K Ex-99.1 joint press release (2018-01-22),https://www.sec.gov/Archives/edgar/data/1594864/000119312518015255/d531432dex991.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Predates first approval (2021-02-05); included because it fixed the sponsor at launch. Closing 8-K dated 2018-03-06 (https://www.sec.gov/Archives/edgar/data/1594864/000119312518071366/d519479d8k.htm, not read)."
Breyanzi,breyanzi,Celgene,2019-01-03,acquisition,False,Bristol-Myers Squibb acquires Celgene,Bristol-Myers Squibb,,autologous CAR-T,worldwide,-25.1,False,False,"each share of Celgene common stock ... will automatically be converted into the right to receive (1) $50.00 in cash, without interest, (2) one share of BMS common stock and (3) one tradeable contingent value right (a 'CVR') representing the right to receive $9.00 in cash if a specified set of milestones is achieved","Celgene Corp Form 8-K (Item 1.01), Agreement and Plan of Merger with Bristol-Myers Squibb dated 2019-01-02 (filed 2019-01-04)",https://www.sec.gov/Archives/edgar/data/816284/000114420419000539/tv510358_8k.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Predates first approval (Abecma 2021-03-26; Breyanzi 2021-02-05); included because it fixed the sponsor at launch. Announced 2019-01-03; closing 2019-11-20 per Celgene 8-K https://www.sec.gov/Archives/edgar/data/816284/000110465919065939/tm1923405d1_8k.htm. Headline value c. USD 74bn per contemporaneous releases (not restated in the 8-K read); amount left blank.
Breyanzi,breyanzi,Bristol Myers Squibb,2024-04-18,shipment-pause-or-restriction,False,FDA requires class-wide boxed warning for T-cell malignancies (BCMA- and CD19-directed autologous CAR-T),FDA,,autologous CAR-T,US,38.4,True,False,"In November 2023, the Food and Drug Administration (FDA) posted a safety communication to provide information about reports of T cell malignancies including chimeric antigen receptor CAR-positive lymphoma in patients who received treatment with BCMA- or CD19-directed autologous CAR T cell immunotherapies. ... FDA concluded that changes to the boxed warning are warranted","FDA CBER safety communication, 'FDA Requires Boxed Warning for T cell Malignancies Following Treatment with BCMA-Directed or CD19-Directed Autologous CAR T cell Immunotherapies' (2024-04-18)",https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Class label change, not a sponsor decision; products listed on the FDA page: Abecma, Breyanzi, Carvykti, Kymriah, Tecartus, Yescarta. Label restriction only; no supply pause. Safety communication first posted November 2023; letters to sponsors January 2024."
Carvykti,carvykti,Janssen / Legend Biotech,2024-04-18,shipment-pause-or-restriction,False,FDA requires class-wide boxed warning for T-cell malignancies (BCMA- and CD19-directed autologous CAR-T),FDA,,autologous CAR-T,US,25.6,True,False,"In November 2023, the Food and Drug Administration (FDA) posted a safety communication to provide information about reports of T cell malignancies including chimeric antigen receptor CAR-positive lymphoma in patients who received treatment with BCMA- or CD19-directed autologous CAR T cell immunotherapies. ... FDA concluded that changes to the boxed warning are warranted","FDA CBER safety communication, 'FDA Requires Boxed Warning for T cell Malignancies Following Treatment with BCMA-Directed or CD19-Directed Autologous CAR T cell Immunotherapies' (2024-04-18)",https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Class label change, not a sponsor decision; products listed on the FDA page: Abecma, Breyanzi, Carvykti, Kymriah, Tecartus, Yescarta. Label restriction only; no supply pause. Safety communication first posted November 2023; letters to sponsors January 2024."
Carvykti,carvykti,Janssen / Legend Biotech,,none-found,False,"No sponsor acquisition, divestiture, withdrawal, pause, restructuring or delisting found 2022-02-28 to 2026-09-05 (other than the class boxed warning above)",,,autologous CAR-T,worldwide,,False,False,,"EDGAR full-text search, Legend Biotech 20-F/6-K/8-K 2022-2026 for 'CARVYKTI' with 'restructuring' (7 hits, all 20-F boilerplate)",https://efts.sec.gov/LATEST/search-index?q=%22CARVYKTI%22%20%22restructuring%22&dateRange=custom&startdt=2022-03-01,2026-09-05,not-found,False,agent events_by_product.csv,"2022-2023 capacity constraints were manufacturing scale-up limits, not a pause; not logged."
Casgevy,casgevy,Vertex / CRISPR Therapeutics,,none-found,False,"No sponsor acquisition, divestiture, withdrawal, pause, restructuring or delisting found 2023-12-08 to 2026-09-05",,,CRISPR ex vivo,worldwide,,False,False,,"EDGAR full-text search, Vertex (CIK 875320) and CRISPR Therapeutics (CIK 1674416) 8-K/10-Q 2024-2026 for 'CASGEVY' with 'workforce' (0 hits)",https://efts.sec.gov/LATEST/search-index?q=%22CASGEVY%22%20%22workforce%22&dateRange=custom&startdt=2024-01-01,2026-09-05,not-found,False,agent events_by_product.csv,Vertex's retreat from AAV programmes is not attributable to Casgevy and is not logged here.
Ebvallo,ebvallo,Atara Biotherapeutics,2021-10-02,asset-sale-or-licence,False,Atara licenses tab-cel (Ebvallo) commercialisation in Europe and other ex-US markets to Pierre Fabre,Pierre Fabre,45,allogeneic cell,EU,-14.5,False,False,Pierre Fabre will pay the Company an upfront cash payment of $45 million for the exclusive license grant. The Company is also entitled to receive an aggregate of up to $318 million in milestone payments upon achieving certain regulatory and commercial milestones relating to the Product.,"Atara 8-K (Item 1.01), Commercialization Agreement with Pierre Fabre Medicament effective 2021-10-02 (filed 2021-10-04)",https://www.sec.gov/Archives/edgar/data/1604464/000119312521290388/d175477d8k.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Predates EU authorisation (2022-12-16) by 14 months; Pierre Fabre is the EU marketing authorisation holder. Manufacturing model: allogeneic EBV-specific T cells (off-the-shelf).
Ebvallo,ebvallo,Atara Biotherapeutics,2023-10-31,asset-sale-or-licence,False,"Atara out-licenses remaining global (incl. US) tab-cel rights, manufacturing and development to Pierre Fabre; associated Atara restructuring",Pierre Fabre,640,allogeneic cell,worldwide,10.5,True,False,"Pierre Fabre Laboratories to License Commercialization Rights to Tab-cel, including Regulatory, Manufacturing and Development Activities, in the United States and All Remaining Markets. Atara to Receive Additional Payments of up to USD 640 Million, Significant Double-digit Tiered Royalties as a Percentage of Net Sales, and Funding of Tab-cel Global Development Costs. Tab-cel Global Partnership and Associated Strategic Restructuring Extends Atara Cash Runway into Q3 2025","Atara 8-K Ex-99.1, 'Atara Biotherapeutics Announces Expanded Global Tab-cel Partnership with Pierre Fabre Laboratories' (2023-11-01)",https://www.sec.gov/Archives/edgar/data/1604464/000095017023057146/atra-ex99_1.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,Amount is the maximum additional consideration. Closing announced 2024-01-08 with 'Focused Operational Activities and Associated Strategic Restructuring' (https://www.sec.gov/Archives/edgar/data/1604464/000119312524003945/d703405dex992.htm).
Ebvallo,ebvallo,Atara Biotherapeutics,2025-03-07,restructuring,True,Atara cuts c.50% of workforce and pauses CAR-T programmes after FDA complete response letter for Ebvallo BLA; strategic review,,,allogeneic cell,US,26.7,True,False,Atara remains focused on delivering on the future financial value of EBVALLO and has paused ATA3219 and ATA3431 CAR-T programs and implemented a workforce reduction of approximately 50% to preserve resources. Strategic review by financial advisor ongoing,"Atara 8-K Ex-99.1, Q4/FY2024 results (2025-03-07)",https://www.sec.gov/Archives/edgar/data/1604464/000095017025035482/atra-ex99_1.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,CRL issued January 2025 on third-party manufacturing GMP observations; BLA resubmitted 2025-07-14 (PDUFA 2026-01-10). Q1 2025: Atara 'expects to reduce its operating expenses year-over-year by approximately 65% in 2025'.
Ebvallo,ebvallo,Atara Biotherapeutics,2025-05-15,asset-sale-or-licence,False,Atara transfers all worldwide tab-cel manufacturing and supply responsibility (and later BLA sponsorship) to Pierre Fabre,Pierre Fabre,,allogeneic cell,worldwide,28.9,True,False,"In March 2025, the Company completed the transfer of all worldwide manufacturing and supply responsibility, including all associated costs, to Pierre Fabre Laboratories, and the Company is in active discussions on accelerating the transfer of all remaining operational activities related to tab-cel to Pierre Fabre, except the BLA sponsorship","Atara 8-K Ex-99.1, Q1 2025 results (2025-05-15)",https://www.sec.gov/Archives/edgar/data/1604464/000119312525120345/d106735dex991.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Q3 2025 release (2025-11-12): 'Atara has completed the transfer of substantially all tab-cel activities, including BLA sponsorship, and associated costs to Pierre Fabre Laboratories' (https://www.sec.gov/Archives/edgar/data/1604464/000119312525276209/d66575dex991.htm). Originator fully exits operations; retains royalties and a USD 40m approval milestone."
Elevidys,elevidys,Sarepta,2025-06-15,shipment-pause-or-restriction,True,Sarepta suspends all US shipments of Elevidys to non-ambulatory patients after second acute liver failure death,,,AAV systemic,US,23.8,True,False,"On June 15, 2025, Sarepta announced a second reported case of ALF resulting in death in a patient following treatment with ELEVIDYS, and that both cases of ALF occurred in non-ambulatory individuals. ... in June 2025, we suspended all shipments of ELEVIDYS to non-ambulatory patients in the U.S.",Sarepta 10-Q for quarter ended 2025-06-30 (filed 2025-08-06) and 10-Q for quarter ended 2025-09-30 (filed 2025-11-06),https://www.sec.gov/Archives/edgar/data/873303/000095017025103971/srpt-20250630.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Community letter 2025-07-19: 'In June, we voluntarily halted shipments of ELEVIDYS for non-ambulatory patients to allow for an expert committee to evaluate the recommendation of an added immunosuppressive regimen' https://www.sarepta.com/community-letter-update-regarding-elevidys. First ALF death announced 2025-03-18."
Elevidys,elevidys,,2025,discontinuation-or-withdrawal,True,Sarepta restructuring after Elevidys safety events,,,AAV systemic,,24.3,True,False,,,,,seeded-from-memory,False,investment_events.csv seed,
Elevidys,elevidys,,2025,discontinuation-or-withdrawal,True,EMA refuses Elevidys marketing authorisation (CHMP negative opinion 2025-07-24; refusal 2025-09-24),,,AAV systemic,,24.3,True,False,,https://www.ema.europa.eu/en/medicines/human/EPAR/elevidys,,2026-09-04,verified-from-source,True,investment_events.csv seed,
Elevidys,elevidys,Sarepta,2025-07-16,restructuring,False,"Sarepta strategic restructuring: 36% workforce reduction (~500 employees), ~USD 400m annual savings; agrees to Elevidys boxed warning",,400,AAV systemic,US,24.8,True,False,"Strategic restructuring includes reduced operating expenses, delivering approximately $400 million in anticipated annual cost savings, and implementing a 36% workforce reduction of approximately 500 employees ... U.S. FDA has requested and Sarepta has agreed to include a black box warning in the ELEVIDYS label","Sarepta 8-K Ex-99.1, 'Sarepta Therapeutics Announces Strategic Restructuring and Pipeline Prioritization Plan' (2025-07-16)",https://www.sec.gov/Archives/edgar/data/873303/000095017025096257/srpt-ex99_1.htm,2026-09-05,verified-from-source,True,agent events_by_product.csv,"Amount is annual savings, not a charge. Same release: expert committee 'aligned on an enhanced immunosuppressive regimen with sirolimus for ELEVIDYS in non-ambulant patients'; pipeline refocused on siRNA assets."
