task,product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
A,Hemgenix,patients_cumulative,2026-07-28,Global,100,"patients (more than), commercial only, since approval","More than 100 people with hemophilia B have now received commercial treatment with HEMGENIX globally since approval, underscoring the continued progress being made in expanding access.",CSL community letter PDF (July 2026) hosted by Hemophilia Federation of America,https://www.hemophiliafed.org/wp-content/uploads/2026/07/CSL-HEMGENIX-Community-Letter_07-2026.pdf,verified-from-source,"Letter PDF text extracted locally (pypdf). PDF carries no date line, is headed 'BUSINESS USE', signed 'Dr. Deborah Long, SVP, Medical Affairs'; text identical to the CSL newsroom page of 24 Jul 2026 and to the copy on the other patient-organisation host."
A,Hemgenix,stockout_event,2026-07-28,Global,,,"In a letter to the hemophilia B community, the company stated that they have 'reestablied limited supply in April 2026,' and that they remain committed to actively managing the existing supply.","NBDF news, 'HEMGENIX Global Supply Update', 28 Jul 2026",https://www.bleeding.org/news/hemgenixr-global-supply-update,verified-from-source,Independent patient-organisation dating of the July letter (28 Jul 2026). Typo 'reestablied' is in the NBDF page. Page links to the letter PDF; it does not link to newsroom.csl.com.
A,Hemgenix,stockout_event,2026-03-17,Global,,,Some individuals in countries where HEMGENIX is commercially available may experience delays in accessing treatment.,"NBDF news, 'HEMGENIX Gene Therapy Facing Temporary Global Supply Disruption', 18 Mar 2026",https://www.bleeding.org/news/hemgenix-gene-therapy-facing-temporary-global-supply-disruption,verified-from-source,"States the CSL announcement date as March 17, 2026 and links to the CSL newsroom statement. Repeats CSL's cause wording ('complexity of manufacturing gene therapies' and 'commitment to adhering to the highest regulatory and quality standards')."
A,Hemgenix,stockout_event,2026-03-17,Global,,,CSL is currently experiencing a temporary global stockout of HEMGENIX® that will result in delays in treatment for some individuals in countries with established commercial access.,"HFA news, 'CSL Behring Provides Update on HEMGENIX Availability', 17 Mar 2026",https://www.hemophiliafed.org/csl-behring-provides-update-on-hemgenix-availability/,verified-from-source,Earlier HFA repost (distinct from the 28 Jul 2026 HFA page already in the raw file). Confirms 17 Mar 2026 as the announcement date.
A,Hemgenix,stockout_event,2026-03,Global,,,"CSL warns of supply shortfall, treatment delays for hemophilia gene therapy Hemgenix","FiercePharma, March 2026 (headline; URL slug reads 'csls-hemgenix-manufacturing-related-temporary-global-stockout-sparking-treatment-delays')",https://www.fiercepharma.com/pharma/csls-hemgenix-manufacturing-related-temporary-global-stockout-sparking-treatment-delays,provisional-from-snippet,Not fetched (site returns HTTP 403). Trade-press characterisation of the cause as 'manufacturing-related' rests on the URL slug and search snippet only.
A,Hemgenix,stockout_event,2026-03,Global,,,CSL Currently Experiencing Temporary Global Stockout Of HEMGENIX,Reuters headline via TradingView (newsml FWN4050QE),"https://www.tradingview.com/news/reuters.com,2026:newsml_FWN4050QE:0-csl-currently-experiencing-temporary-global-stockout-of-hemgenix/",provisional-from-snippet,"Headline only; body paywalled and no date visible. Indicates the stockout was carried by Reuters, but no ASX announcement by CSL was located."
A,Hemgenix,revenue,2026-06-30,Global,118,"USD million, FY2026 (year ended 30 Jun 2026)",Hemgenix Haemophilia 118 25%,"CSL Results Presentation for the full year ended 30 June 2026, 18 Aug 2026, Appendix A 'CSL Behring Key Products' (slide 25)",https://investors.csl.com/pdf/3d18fc4f-6133-41c7-9188-ec992e930ca3/Platform/ListPage/CSL-Results-Presentation-for-FY2026.pdf,verified-from-source,PDF text extracted locally (pypdf). Column headings: 'CSL Behring Therapy Group Sales $m' and 'PCP Change1 %' (superscript-1 footnote text not extracted). Agrees with the FY26 118 figure used in the notes of hemgenix_disclosures.csv. Slide 6 bullet: 'Strong growth in HEMGENIX® up 25%1'; slide 5 bullet: 'Strong uptake of ANDEMBRY® and HEMGENIX®'.
A,Hemgenix,statement,2026-08-18,Global,,FY27 outlook,Consistent HEMGENIX® uptake,"CSL Results Presentation FY2026, slide 21 'FY27 Outlook (at FY26 FX rates)'",https://investors.csl.com/pdf/3d18fc4f-6133-41c7-9188-ec992e930ca3/Platform/ListPage/CSL-Results-Presentation-for-FY2026.pdf,verified-from-source,"Outlook bullet under CSL Behring mid-single-digit revenue growth. Presentation contains no mention of the supply interruption, its cause, patient numbers or treatment-site counts (all 32 pages searched for 'hemgenix', 'gene therap', 'stockout', 'supply')."
A,Hemgenix,statement,2026-08-18,Global,,,,CSL Results Presentation FY2026 (32 pages),https://investors.csl.com/pdf/3d18fc4f-6133-41c7-9188-ec992e930ca3/Platform/ListPage/CSL-Results-Presentation-for-FY2026.pdf,not-disclosed,"Hemgenix patient numbers, number of treatment sites and the reason for the supply interruption are not stated anywhere in the presentation."
A,Hemgenix,revenue,2026-06-30,Global,118,"USD million, FY2026",HEMGENIX growing 25% to $118 million,"Investing.com, 'CSL FY26 slides: reset year with $7.1B impairments, 5% growth ahead', 18 Aug 2026",https://uk.investing.com/news/company-news/csl-fy26-slides-reset-year-with-71b-impairments-5-growth-ahead-93CH-4836061,verified-from-source,Secondary report of the same slide figure; also quotes management guidance of 'consistent HEMGENIX® adoption'.
A,Hemgenix,statement,2026-08-17,Global,,FY2026 results call,HEMGENIX grew by 25%.,"Investing.com transcript, 'Earnings call transcript: CSL shares jump 16.4% after FY 2026 reset year' (Ken Lim, CFO)",https://www.investing.com/news/transcripts/earnings-call-transcript-csl-shares-jump-164-after-fy-2026-reset-year-93CH-4864174,verified-from-source,"Third-party transcript, not CSL-published. Other Hemgenix lines: Gordon Naylor (CEO) 'HEMGENIX continues to grow.' and 'we expect continued strong uptake of ANDEMBRY and consistent uptake of HEMGENIX.'; Diego Sacristan (Chief Commercial Officer) 'We are very pleased with the durability of the Hemophilia B franchise with IDELVION holding leadership in the factor IX replacement and with HEMGENIX coming in.' Call dated 17 Aug 2026 US time (18 Aug 2026 Melbourne). Transcript contains no discussion of the stockout, manufacturing, patient numbers or sites."
A,Hemgenix,statement,2026-07-29,Global,,,"Other expense increased to $8.0 million for the three months ended June 30, 2026 from $2.2 million during the same period in 2025, primarily due to a $6.0 million increase in costs associated with the supply of HEMGENIX® to CSL Behring.","uniQure 8-K Exhibit 99.1, 'uniQure Announces Second Quarter 2026 Financial Results and Provides Company Update', 29 Jul 2026",https://www.sec.gov/Archives/edgar/data/1590560/000110465926087808/qure-20260729xex99d1.htm,verified-from-source,"Only Hemgenix sentence in the release. License revenues Q2 2026 $5.8m vs Q2 2025 $5.3m (royalty component not itemised). No mention of the stockout, patient numbers or CSL net sales."
A,Hemgenix,statement,2026-07-29,Global,,,"In April 2026, the Company entered into an agreement to terminate the commercial supply agreement (the 'Genezen CSA') with Genezen MA, Inc. (together with Genezen Holdings Inc., 'Genezen'). Pursuant to the termination agreement, our obligation to supply HEMGENIX® and any minimum purchase commitments under the Genezen CSA terminate once contractually specified batches have been supplied.","uniQure Form 10-Q for the quarter ended 30 Jun 2026, filed 29 Jul 2026",https://www.sec.gov/Archives/edgar/data/1590560/000110465926087815/qure-20260630x10q.htm,verified-from-source,"License revenues: Q2 2026 $5,841k vs Q2 2025 $5,262k; H1 2026 $9,403k vs H1 2025 $6,829k. Document is 1.9 MB and the fetch tool may have truncated it; no stockout, patient-number or CSL-net-sales sentence was returned. Treat as partially read."
A,Hemgenix,statement,2026-05-05,Global,,,"In April 2026, uniQure, CSL Behring and Genezen entered into agreements under which ... These agreements have no impact on future royalties or milestones to uniQure under the license agreement","uniQure 8-K Exhibit 99.1, 'uniQure Announces First Quarter 2026 Financial Results and Provides Recent Company Updates', 5 May 2026",https://www.sec.gov/Archives/edgar/data/0001590560/000110465926055242/qure-20260505xex99d1.htm,verified-from-source,"Fragments joined with an ellipsis; the release says uniQure's remaining supply obligations end after specified batch deliveries to CSL Behring expected mid-2026, and Genezen becomes CSL Behring's direct CMO. License revenue Q1 2026 $3.562m vs Q1 2025 $1.567m; 'a $0.3 million decrease in costs associated with the supply of Hemgenix® to CSL Behring'. Released seven weeks after the stockout notice but does not mention it."
A,Hemgenix,statement,2026-05-05,Global,,,"As of March 31, 2026, CSL Behring's minimum purchase commitments...amount to $16.4 million, of which $16.2 million relates to such minimum purchase commitments to Genezen.","uniQure Form 10-Q for the quarter ended 31 Mar 2026, filed 5 May 2026",https://www.sec.gov/Archives/edgar/data/0001590560/000110465926055250/qure-20260331x10q.htm,verified-from-source,"Accounts receivable from CSL Behring $3.6m at 31 Mar 2026. Fetch returned a partial document (no narrative Hemgenix passage came back, which is implausible for a full uniQure 10-Q); treat as partially read. No stockout or patient-number statement seen."
A,Hemgenix,statement,2026-09-04,Global,,,,"SEC EDGAR full-text search, 'HEMGENIX', 1 Jan 2026 to 4 Sep 2026",https://efts.sec.gov/LATEST/search-index?q=%22HEMGENIX%22&dateRange=custom&startdt=2026-01-01&enddt=2026-09-04,verified-from-source,"Nine hits, all uniQure N.V. (CIK 1590560): 8-K/EX-99.1 2 Mar 2026 (0001104659-26-021890); 10-K 2 Mar 2026 (0001104659-26-021898); PRE 14A 16 Apr; DEF 14A 27 Apr; ARS 27 Apr (0001104659-26-048979); 8-K/EX-99.1 5 May; 10-Q 5 May; 10-Q 29 Jul; 8-K/EX-99.1 29 Jul. No CSL filing (CSL is not an SEC registrant). The 10-K, ARS and 2 Mar 8-K were not fetched (budget) and predate the 17 Mar 2026 stockout."
A,Hemgenix,statement,2026-09-04,Global,,,,"CSL newsroom, 'News Releases from CSL Behring' listing (l=50)",https://newsroom.csl.com/csl-behring?l=50,not-disclosed,"The listing shows only one 2026 CSL Behring release (31 Aug 2026, US government pricing agreement). The 17 Mar and 24 Jul 2026 community letters are not in the release list; they exist as standalone newsroom.csl.com pages (URLs above), found via search and CSL's URL pattern."
B,Tecartus,list_price,2020-07-24,US,373000,"USD per treatment, list price (WAC) at launch","Gilead will sell the one-time therapy under the brand name Tecartus and at a list price of $373,000.","BioPharma Dive, 'Gilead's second act in cell therapy gets its first approval', Jacob Bell, 24 Jul 2020",https://www.biopharmadive.com/news/gileads-second-act-in-cell-therapy-gets-its-first-approval/582295/,verified-from-source,"STRONGEST AVAILABLE SOURCE for the launch price: contemporaneous, with an attributed Gilead representative explanation of the price-setting. Also: 'Gilead priced Tecartus at $373,000, the same price tag its other cell therapy Yescarta has for a different form of advanced lymphoma.' Agrees with the Healio figure already in tecartus_disclosures.csv. Kite/Gilead's own approval press release states no price."
B,Tecartus,statement,2020-07-24,US,,pricing rationale,"the company looked at third-party market research when deciding on a price for Tecartus. It also considered the therapy's 'clinical attributes,' namely the response rate seen in pivotal testing and the fact that median duration of response ... hadn't been reached after at least six months of follow-up.","BioPharma Dive, 24 Jul 2020, reporting a Gilead representative",https://www.biopharmadive.com/news/gileads-second-act-in-cell-therapy-gets-its-first-approval/582295/,verified-from-source,Reporter's paraphrase of the Gilead representative with the quoted phrase 'clinical attributes'. Spokesperson also cited median survival of six to 10 months for post-BTK-inhibitor MCL patients.
B,Tecartus,list_price,2020-07-27,US,373000,"USD per treatment, list price at launch","Tecartus will launch with a $373,000 list price, around the same as Gilead/Kite's first CAR-T – non-Hodgkin's lymphoma therapy Yescarta (axicabtagene ciloleucel) – which was approved back in 2017.","pharmaphorum, 'Gilead's Kite gains some height after second CAR-T approval in US', Phil Taylor, 27 Jul 2020",https://pharmaphorum.com/news/gileads-kite-gains-some-height-after-second-car-t-approval-in-us,verified-from-source,Corroborating trade press; no separate Gilead statement in the article.
B,Tecartus,list_price,2020-07,US,373000,"USD per treatment, list price at launch","Gilead priced Tecartus at $373,000 ... According to a Gilead statement, the company considered 'the clinical attributes of our product in the context of the existing market'","FiercePharma, 'Gilead's Kite bags second CAR-T okay with Tecartus nod in mantle cell lymphoma', Jul 2020",https://www.fiercepharma.com/pharma/gilead-s-kite-bags-second-car-t-okay-tecartus-nod-mantle-cell-lymphoma,provisional-from-snippet,Search-engine snippet only (FiercePharma returns HTTP 403). Attributes a direct Gilead statement on price-setting. The BioSpace copy of the same story returned an empty page at both URL forms.
B,Tecartus,list_price,2021-10-04,US,373000,"USD per patient, list price (ALL indication)","both Yescarta and Tecartus cost $373,000 per patient. ... The list price of Tecartus is the same in ALL as it is in MCL, a company spokesperson confirmed.","BioPharma Dive, 'Gilead wins approval of CAR-T therapy in adult leukemia', Ned Pagliarulo, 4 Oct 2021",https://www.biopharmadive.com/news/gilead-tecartus-car-t-leukemia-approval-fda/607614/,verified-from-source,Gilead spokesperson attribution. Establishes no list-price change between Jul 2020 and Oct 2021; first increase therefore falls in 2022 (see HMPI rows).
B,Tecartus,list_price,2020-07-24,US,373000,USD wholesale acquisition cost per treatment,"Tecartus | Brexucabtagene autoleucel | 07/24/2020 | WAC (launch (07/24/2020)): $373,000","Pulice TD, Schulman K. 'CAR-T Therapy: Escalating Costs in an Expanding Market', Health Management, Policy and Innovation (HMPI), published 18 Feb 2026 (accepted 25 Oct 2025), Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Table 1 row read from the article page. Article states 2025 WAC came from Micromedex Red Book and earlier values were 'compiled from publicly available pharmaceutical pricing databases, manufacturer disclosures, and peer-reviewed literature'; Tecartus CAGR 4.94%. Tecartus tracks Yescarta exactly through 2024 (373,000 / 399,000 / 424,000 / 462,000); for 2025 the table shows Tecartus unchanged at 462,000 while Yescarta rises to 503,580, so the 2025 Tecartus value may be stale."
B,Tecartus,list_price,2022,US,399000,USD wholesale acquisition cost per treatment,"Tecartus | Brexucabtagene autoleucel | 07/24/2020 | WAC (2022): $399,000","Pulice TD, Schulman K. 'CAR-T Therapy: Escalating Costs in an Expanding Market', Health Management, Policy and Innovation (HMPI), published 18 Feb 2026 (accepted 25 Oct 2025), Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Table 1 row read from the article page. Article states 2025 WAC came from Micromedex Red Book and earlier values were 'compiled from publicly available pharmaceutical pricing databases, manufacturer disclosures, and peer-reviewed literature'; Tecartus CAGR 4.94%. Tecartus tracks Yescarta exactly through 2024 (373,000 / 399,000 / 424,000 / 462,000); for 2025 the table shows Tecartus unchanged at 462,000 while Yescarta rises to 503,580, so the 2025 Tecartus value may be stale."
B,Tecartus,list_price,2023,US,424000,USD wholesale acquisition cost per treatment,"Tecartus | Brexucabtagene autoleucel | 07/24/2020 | WAC (2023): $424,000","Pulice TD, Schulman K. 'CAR-T Therapy: Escalating Costs in an Expanding Market', Health Management, Policy and Innovation (HMPI), published 18 Feb 2026 (accepted 25 Oct 2025), Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Table 1 row read from the article page. Article states 2025 WAC came from Micromedex Red Book and earlier values were 'compiled from publicly available pharmaceutical pricing databases, manufacturer disclosures, and peer-reviewed literature'; Tecartus CAGR 4.94%. Tecartus tracks Yescarta exactly through 2024 (373,000 / 399,000 / 424,000 / 462,000); for 2025 the table shows Tecartus unchanged at 462,000 while Yescarta rises to 503,580, so the 2025 Tecartus value may be stale."
B,Tecartus,list_price,2024,US,462000,USD wholesale acquisition cost per treatment,"Tecartus | Brexucabtagene autoleucel | 07/24/2020 | WAC (2024): $462,000","Pulice TD, Schulman K. 'CAR-T Therapy: Escalating Costs in an Expanding Market', Health Management, Policy and Innovation (HMPI), published 18 Feb 2026 (accepted 25 Oct 2025), Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Table 1 row read from the article page. Article states 2025 WAC came from Micromedex Red Book and earlier values were 'compiled from publicly available pharmaceutical pricing databases, manufacturer disclosures, and peer-reviewed literature'; Tecartus CAGR 4.94%. Tecartus tracks Yescarta exactly through 2024 (373,000 / 399,000 / 424,000 / 462,000); for 2025 the table shows Tecartus unchanged at 462,000 while Yescarta rises to 503,580, so the 2025 Tecartus value may be stale."
B,Tecartus,list_price,2025,US,462000,USD wholesale acquisition cost per treatment,"Tecartus | Brexucabtagene autoleucel | 07/24/2020 | WAC (2025): $462,000","Pulice TD, Schulman K. 'CAR-T Therapy: Escalating Costs in an Expanding Market', Health Management, Policy and Innovation (HMPI), published 18 Feb 2026 (accepted 25 Oct 2025), Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Table 1 row read from the article page. Article states 2025 WAC came from Micromedex Red Book and earlier values were 'compiled from publicly available pharmaceutical pricing databases, manufacturer disclosures, and peer-reviewed literature'; Tecartus CAGR 4.94%. Tecartus tracks Yescarta exactly through 2024 (373,000 / 399,000 / 424,000 / 462,000); for 2025 the table shows Tecartus unchanged at 462,000 while Yescarta rises to 503,580, so the 2025 Tecartus value may be stale."
B,Tecartus,list_price,2025-10-01,US,489304.608,"USD Medicare Part B payment limit per therapeutic dose, HCPCS Q2053 (ASP-based)",Q2053 Brexucabtagene car pos t UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS 489304.608,"CMS October 2025 ASP Pricing File (copy hosted by West Virginia Bureau for Medical Services), page 24",https://bms.wv.gov/media/40007/download?inline=,verified-from-source,PDF text extracted locally (pypdf); columns 'HCPCS Code | Short Description | HCPCS Code Dosage | Payment Limit'. The PDF has no title page; the quarter (October 2025) is from the WV site's document title in search results. CMS original zip at https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files not fetched. buyandbill.com Q2053 history page returned HTTP 403.
B,Tecartus,list_price,2025-10-01,US,461608,USD implied ASP per dose,,Derived from the Q2053 payment limit row above,https://bms.wv.gov/media/40007/download?inline=,derived,"489304.608 / 1.06 = 461,608 assuming the standard ASP+6% Part B payment formula (no sequestration adjustment). Sits within 0.1% of the HMPI 2024/2025 WAC of 462,000, which supports a ~462,000 list price still applying in late 2025."
B,Tecartus,list_price,2021-02-24,UK,,"GBP per infusion, list price",,"NICE TA677, chapter 2 'Information about autologous anti-CD19-transduced CD3+ cells', published 24 Feb 2021",https://www.nice.org.uk/guidance/ta677/chapter/2-Information-about-autologous-anti-CD19-transduced-CD3-cells,gap,"nice.org.uk returns HTTP 403; web.archive.org is not reachable from this tool; the AWTTC and NHS Medicines Awareness Service mirrors carry no price. Search summaries say the price was 'submitted as commercial in confidence' and that a simple-discount PAS plus a managed access commercial agreement apply (details via UKpricing@gilead.com), but no GBP figure was seen."
B,Tecartus,list_price,2023-02,UK,316118,"GBP per infusion, list price excluding VAT","the list price for a single infusion of brexucabtagene autoleucel is £316,118 (excluding VAT, as of February 2023)","NICE TA893, 'Brexucabtagene autoleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 26 years and over', section 2",https://www.nice.org.uk/guidance/ta893/resources/brexucabtagene-autoleucel-for-treating-relapsed-or-refractory-bcell-acute-lymphoblastic-leukaemia-in-people-26-years-and-over-pdf-82613792404933,provisional-from-snippet,"Search-engine summary only; the NICE PDF returned HTTP 403. Wording is the search tool's paraphrase, not confirmed verbatim. Figure independently confirmed by SMC2548 (next row). Company has a confidential commercial arrangement, so NHS net price is lower."
B,Tecartus,list_price,2023-06-02,UK,316118,"GBP cost per course, list price (dm+d)","Table 9.1 List price of medicine under review ... Costs from dmd+d online on 02 June 2023. Costs do not take any patient access schemes into ... £316,118","Scottish Medicines Consortium, SMC2548 brexucabtagene autoleucel (Tecartus) detailed advice, September 2023 (r/r B-ALL, adults 26 and over), page 13",https://scottishmedicines.org.uk/media/7869/brexucabtagene-autoleucel-tecartus-final-sept-2023-for-website.pdf,verified-from-source,"PDF text extracted locally (pypdf); table cells joined with ellipses. A Patient Access Scheme applies in NHSScotland so the net price is confidential. Matches the TA893 figure and is the earliest UK GBP list price verified here. At 2023 rates roughly USD 0.39-0.40m, i.e. below the US 2023 WAC of 424,000."
B,Tecartus,list_price,2023-04,Canada,533500,"CAD per infusion, submitted price","Treatment with Tecartus is expected to cost approximately $533,500 per infusion.","CADTH Reimbursement Recommendation, Brexucabtagene Autoleucel (Tecartus) for r/r B-cell precursor ALL, April 2023 (NCBI Bookshelf NBK596615)",https://www.ncbi.nlm.nih.gov/books/NBK596615/,verified-from-source,"Canadian submitted price, CAD. CADTH states a price reduction would be required in all reanalyses to reach CAD 50,000 per QALY. No ICER (US) review of Tecartus exists: the 'ICER Tecartus' search returns only CADTH and Canadian cost-effectiveness papers; ICER's CAR-T review (2018) predates Tecartus."
B,Tecartus,statement,2020-10-28,US,,,"In cell therapy, we're now the only company with two FDA approved therapies, Yescarta and Tecartus from Kite.","Gilead Q3 2020 earnings call, 28 Oct 2020 (Daniel O'Day), Motley Fool transcript",https://www.fool.com/earnings/call-transcripts/2020/10/29/gilead-sciences-gild-q3-2020-earnings-call-transcr,not-disclosed,"Only Tecartus mention on the call; no price, WAC, sales, patient or treatment-centre figure for Tecartus is given."
