product,geography,event_date,event_type,indication_key,indication_text,pathway,source_doc,source_url,fetched_date,status,notes
Breyanzi,US,2024-03-14,extension,CLL,"BREYANZI is indicated for the treatment of adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) who have received at least 2 prior lines of therapy including, a Bruton tyrosine kinase (BTK) inhibitor and a B-cell lymphoma 2 (BCL-2) inhibitor.",accelerated,FDA replacement supplement approval letter STN BL 125714/205 dated 21 Mar 2024 (effective approval date remains 14 Mar 2024); wording from current USPI 1.2 (revised 2/2026),https://www.fda.gov/media/177113/download,2026-09-05,verified-from-source,"Letter: 'a new indication in relapsed/refractory chronic lymphocytic leukemia or small lymphocytic lymphoma in patients who have received at least two prior lines of therapy including a Bruton's tyrosine kinase (BTK) inhibitor and a B-cell lymphoma-2 (BCL-2) inhibitor, according to the regulations for accelerated approval'. TRANSCEND CLL 004. USPI: https://www.fda.gov/media/145711/download"
Breyanzi,US,2024-05-15,extension,FL_3L,BREYANZI is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) who have received 2 or more prior lines of systemic therapy.,accelerated,"FDA supplement accelerated approval letter STN BL 125714/225, 15 May 2024; wording from current USPI 1.3",https://www.fda.gov/media/178659/download,2026-09-05,verified-from-source,TRANSCEND FL. Converted from accelerated to traditional approval by supplement STN BL 125714/703 on 20 Feb 2026 (https://www.fda.gov/media/191255/download); population unchanged.
Breyanzi,US,2024-05-30,extension,MCL,"BREYANZI is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) who have received at least 2 prior lines of systemic therapy, including a Bruton tyrosine kinase (BTK) inhibitor.",standard,"FDA supplement approval letter STN BL 125714/227, 30 May 2024; wording from current USPI 1.4",https://www.fda.gov/media/178992/download,2026-09-05,verified-from-source,TRANSCEND NHL 001 MCL cohort. Letter wording matches USPI.
Breyanzi,US,2025-12-04,extension,MZL_3L,BREYANZI is indicated for the treatment of adult patients with relapsed or refractory marginal zone lymphoma (MZL) who have received at least 2 prior lines of systemic therapy.,standard,"FDA supplement approval letter STN BL 125714/644, 4 Dec 2025; wording from current USPI 1.5",https://www.fda.gov/media/190001/download,2026-09-05,verified-from-source,"Coined key MZL_3L (new disease, not in vocabulary). Letter header is SUPPLEMENT APPROVAL with no accelerated-approval section."
Elevidys,US,2023-06-22,initial,DMD_4to5_amb,ELEVIDYS is an adeno-associated virus vector-based gene therapy indicated for the treatment of ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene.,accelerated,FDA Summary Basis for Regulatory Action STN 125781/0 (21 Jun 2023) and FDA press release 22 Jun 2023,https://www.fda.gov/media/169746/download,2026-09-05,verified-from-source,Approval letter for STN BL 125781/0 is not linked on the FDA product page; date from FDA press release https://www.fda.gov/news-events/press-announcements/fda-approves-first-gene-therapy-treatment-certain-patients-duchenne-muscular-dystrophy ('pediatric patients 4 through 5 years of age with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene'). Sarepta Therapeutics.
Elevidys,US,2024-06-20,extension,DMD_4plus_amb,to expand the approved indication to individuals at least 4 years of age for the treatment of Duchenne muscular dystrophy (DMD) in patients who are ambulatory and have a confirmed mutation in the DMD gene.,standard,"FDA supplement approval letter STN BL 125781/34, 20 Jun 2024 (first supplement in letter; traditional approval)",https://www.fda.gov/media/179484/download,2026-09-05,verified-from-source,Coined key DMD_4plus_amb; together with the non-ambulatory supplement this is the DMD_4plus label. EMBARK basis. Same letter also grants the non-ambulatory accelerated approval (separate row).
Elevidys,US,2024-06-20,extension,DMD_4plus_nonamb,"to expand the approved indication to individuals at least 4 years of age for the treatment of DMD in patients who are non-ambulatory and have a confirmed mutation in the DMD gene, according to the regulations for accelerated approval, 21 CFR 601.41. The DMD indication in non-ambulatory patients is approved under accelerated approval based on expression of ELEVIDYS micro-dystrophin.",accelerated,"FDA supplement accelerated approval letter STN BL 125781/34, 20 Jun 2024 (second supplement in letter)",https://www.fda.gov/media/179484/download,2026-09-05,verified-from-source,Coined key DMD_4plus_nonamb. Removed by restriction on 14 Nov 2025 (see restriction row).
Elevidys,US,2025-11-14,restriction,DMD_4plus_nonamb,The revised Indications and Usage limits the indication to ambulatory patients with Duchenne Muscular Dystrophy (DMD) at least 4 years of age who have a confirmed mutation of the DMD gene; use in the non-ambulatory population will no longer be licensed under the BLA.,standard,"FDA supplement approval letter STN BL 125781/189, 14 Nov 2025 (505(o)(4) safety labeling change)",https://www.fda.gov/media/189632/download,2026-09-05,verified-from-source,"Key = population removed (non-ambulatory, 4+). Resulting USPI Section 1: 'ELEVIDYS is an adeno-associated virus vector-based gene therapy indicated for the treatment of patients 4 years of age and older with Duchenne muscular dystrophy (DMD) who are ambulatory and have a confirmed mutation in the DMD gene.' = DMD_4plus_amb_2025. Triggered by FDA Safety Labeling Change Notification of 20 Jun 2025 (acute liver failure deaths); Sarepta had already suspended non-ambulatory shipments (Sarepta 8-K 3 Nov 2025, https://www.sec.gov/Archives/edgar/data/873303/000119312525262591/srpt-ex99_1.htm). USPI: https://www.fda.gov/media/184855/download"
Casgevy,US,2023-12-08,initial,SCD_VOC_12plus,exagamglogene autotemcel which is indicated for treatment of sickle cell disease (SCD) in patients 12 years of age or older with recurrent vaso-occlusive crises (VOCs).,standard,"FDA BLA approval letter STN BL 125787/0, 8 Dec 2023",https://www.fda.gov/media/174618/download,2026-09-05,verified-from-source,Vertex Pharmaceuticals; CLIMB SCD-121. US label has no HSCT-eligibility or donor criterion (unlike EU).
Casgevy,US,2024-01-16,extension,TDT_12plus,Exagamglogene autotemcel is indicated for the treatment of patients aged 12 years and older with transfusion-dependent ß-thalassemia (TDT).,standard,"FDA BLA approval letter STN BL 125785/0, 16 Jan 2024",https://www.fda.gov/media/175482/download,2026-09-05,verified-from-source,Approved as a separate BLA (STN 125785) for TDT; letter states STN 125785 administratively closed and merged under STN 125787. Recorded as extension of the Casgevy eligible population. CLIMB THAL-111.
Casgevy,US,2026-07-01,extension,SCD_VOC_2to11,to expand the current indication to include treatment of sickle cell disease (SCD) with recurrent vaso-occlusive crises and transfusion-dependent thalassemia (TDT) in patients ages 2 to <12 years.,standard,"FDA supplement approval letter STN BL 125787/457, 1 Jul 2026; USPI revised 07/2026 Section 1",https://www.fda.gov/media/193444/download,2026-09-05,verified-from-source,"Coined key SCD_VOC_2to11. One supplement covers SCD and TDT (see TDT_2to11 row). Resulting USPI 1: 'CASGEVY is indicated for the treatment of patients aged 2 years and older with: sickle cell disease (SCD) with recurrent vaso-occlusive crises; transfusion-dependent β-thalassemia (TDT)'. Supplement received 24 Apr 2026 (NCT05356195, NCT05329649). Vertex 8-K 3 Aug 2026: 'approximately 5,500 patients with SCD or TDT may be eligible for treatment with CASGEVY for the first time' https://www.sec.gov/Archives/edgar/data/875320/000087532026000256/ex-991_q22026.htm"
Casgevy,US,2026-07-01,extension,TDT_2to11,to expand the current indication to include treatment of sickle cell disease (SCD) with recurrent vaso-occlusive crises and transfusion-dependent thalassemia (TDT) in patients ages 2 to <12 years.,standard,"FDA supplement approval letter STN BL 125787/457, 1 Jul 2026; USPI revised 07/2026 Section 1",https://www.fda.gov/media/193444/download,2026-09-05,verified-from-source,"Coined key TDT_2to11. Same supplement as SCD_VOC_2to11 row; 5,500 newly eligible figure in Vertex 8-K is SCD+TDT combined. USPI: https://www.fda.gov/media/174615/download"
Kymriah,US,2017-08-30,initial,ALL_ped,Tisagenlecleucel is a CD19-directed genetically modified autologous T cell immunotherapy indicated for the treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse.,standard,"FDA BLA approval letter STN BL 125646/0, 30 Aug 2017",https://www.fda.gov/media/106989/download,2026-09-05,verified-from-source,Novartis; ELIANA basis. First FDA-approved CAR-T.
Kymriah,US,2018-05-01,extension,LBCL_3L,"to add a new indication for the treatment of adult patients with relapsed or refractory (r/r) large B-cell lymphoma after two or more lines of systemic therapy including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, high grade B-cell lymphoma and DLBCL arising from follicular lymphoma.",standard,"FDA supplement approval letter STN BL 125646/76, 1 May 2018",https://www.fda.gov/media/112803/download,2026-09-05,verified-from-source,JULIET basis. USPI adds Limitation of Use: not indicated for primary CNS lymphoma.
Kymriah,US,2022-05-27,extension,FL_3L,to add a new indication for the treatment of adult patients with relapsed or refractory (r/r) follicular lymphoma (FL) after two or more lines of systemic therapy,accelerated,"FDA supplement approval letter STN BL 125646/663, 27 May 2022",https://www.fda.gov/media/158835/download,2026-09-05,verified-from-source,ELARA basis. Still accelerated approval in USPI revised 6/2025.
Tecartus,US,2020-07-24,initial,MCL,Brexucabtagene autoleucel is indicated for the treatment of adult patients with relapsed/refractory mantle cell lymphoma (MCL).,accelerated,"FDA BLA approval letter STN BL 125703/0, 24 Jul 2020",https://www.fda.gov/media/140415/download,2026-09-05,verified-from-source,Kite; ZUMA-2. Converted to traditional approval by supplement STN BL 125703/464 on 1 Apr 2026 (https://www.fda.gov/media/191807/download); population unchanged. US label has no BTK-inhibitor requirement (EU does).
Tecartus,US,2021-10-01,extension,ALL_adult,to add a new indication for adult patients with relapsed or refractory (r/r) B-cell precursor acute lymphoblastic leukemia (ALL).,standard,"FDA supplement approval letter STN BL 125703/91, 1 Oct 2021",https://www.fda.gov/media/152696/download,2026-09-05,verified-from-source,ZUMA-3. USPI 1.2: 'TECARTUS is indicated for the treatment of adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).' US has no 26+ age floor (EU does).
Carvykti,EU,2022-05-25,initial,MM_4L,"CARVYKTI is indicated for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor and an anti-CD38 antibody, and have demonstrated disease progression on the last therapy.",conditional,"CHMP summary of positive opinion (24 Mar 2022, EMA/CHMP/168651/2022); EC decision date from EPAR page",https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-carvykti_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2022-03-24; Commission decision 2022-05-25 (EPAR 'Marketing authorisation issued'). Conditional MA; Janssen-Cilag International NV. EPAR: https://www.ema.europa.eu/en/medicines/human/EPAR/carvykti
Carvykti,EU,2024-04-19,extension,MM_2L,"CARVYKTI is indicated for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least one prior therapy, including an immunomodulatory agent and a proteasome inhibitor, have demonstrated disease progression on the last therapy, and are refractory to lenalidomide.",conditional,"EMA procedural steps (variation II/0021, opinion 22/02/2024, Commission Decision 19/04/2024); wording from current SmPC 4.1",https://www.ema.europa.eu/en/documents/procedural-steps-after/carvykti-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2024-02-22; CD 2024-04-19. CARTITUDE-4 (MMY3002) fulfilled specific obligation SOB/006. Replaces the 3+ prior therapies wording. Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-positive-opinion-carvykti-ii-21_en.pdf
Abecma,EU,2021-08-18,initial,MM_4L,"Abecma is indicated for the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor and an anti-CD38 antibody and have demonstrated disease progression on the last therapy.",conditional,CHMP summary of positive opinion (24 Jun 2021); EC decision date from EPAR page,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-abecma_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2021-06-24; Commission decision 2021-08-18. Conditional MA (procedural steps record renewals of the conditional MA 2022 and 2023). Bristol-Myers Squibb Pharma EEIG. EPAR: https://www.ema.europa.eu/en/medicines/human/EPAR/abecma
Abecma,EU,2024-03-19,extension,MM_3L,"Abecma is indicated for the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least two prior therapies, including an immunomodulatory agent, a proteasome inhibitor and an anti-CD38 antibody and have demonstrated disease progression on the last therapy.",conditional,"EMA procedural steps (variation II/0031, opinion 25/01/2024, Commission Decision 19/03/2024); wording from current SmPC 4.1",https://www.ema.europa.eu/en/documents/procedural-steps-after/abecma-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2024-01-25; CD 2024-03-19. KarMMa-3 (MM-003). Replaces the 3+ prior therapies wording. Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-positive-opinion-abecma-ii-31_en.pdf
Yescarta,EU,2018-08-23,initial,LBCL_3L,"Yescarta is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) and primary mediastinal large B-cell lymphoma (PMBCL), after two or more lines of systemic therapy.",standard,CHMP summary of positive opinion (28 Jun 2018); EC decision date from EPAR page,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-yescarta_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2018-06-28; Commission decision 2018-08-23. Standard MA (renewed with unlimited validity 2023). Kite Pharma EU B.V. EPAR: https://www.ema.europa.eu/en/medicines/human/EPAR/yescarta
Yescarta,EU,2022-06-21,extension,FL_3L,Yescarta is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) after three or more lines of systemic therapy.,standard,"EMA procedural steps (variation II/0042, opinion 22/04/2022, Commission Decision 21/06/2022); CHMP summary of opinion",https://www.ema.europa.eu/en/documents/procedural-steps-after/yescarta-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2022-04-22; CD 2022-06-21. NOTE EU wording is 'three or more lines' (4th line onward) whereas US Yescarta FL is 'two or more lines'; repo vocabulary uses FL_3L for both (yescarta FL_3L label cites NICE TA894 '3 or more'). Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-opinion-yescarta-ii-42_en.pdf
Yescarta,EU,2022-10-14,extension,LBCL_2L,"Yescarta is indicated for the treatment of adult patients with diffuse large B-cell lymphoma (DLBCL) and high-grade B-cell lymphoma (HGBL) that relapses within 12 months from completion of, or is refractory to, first-line chemoimmunotherapy.",standard,"EMA procedural steps (variation II/0046, opinion 15/09/2022, Commission Decision 14/10/2022); CHMP summary of opinion",https://www.ema.europa.eu/en/documents/procedural-steps-after/yescarta-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2022-09-15; CD 2022-10-14. ZUMA-7. Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-positive-opinion-yescarta-ii-46_en.pdf
Breyanzi,EU,2022-04-04,initial,LBCL_3L,"Breyanzi is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), primary mediastinal large B-cell lymphoma (PMBCL) and follicular lymphoma grade 3B (FL3B), after two or more lines of systemic therapy.",standard,CHMP summary of opinion (27 Jan 2022); EC decision date from EPAR page,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-opinion-breyanzi_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2022-01-27; Commission decision 2022-04-04. Standard MA. Bristol-Myers Squibb Pharma EEIG. EPAR: https://www.ema.europa.eu/en/medicines/human/EPAR/breyanzi
Breyanzi,EU,2023-04-28,extension,LBCL_2L,"Breyanzi is indicated for the treatment of adult patients with diffuse large B-cell lymphoma (DLBCL), high grade B cell lymphoma (HGBCL), primary mediastinal large B-cell lymphoma (PMBCL) and follicular lymphoma grade 3B (FL3B), who relapsed within 12 months from completion of, or are refractory to, first-line chemoimmunotherapy.",standard,"EMA procedural steps (variation II/0005, opinion 30/03/2023, Commission Decision 28/04/2023); CHMP summary of opinion",https://www.ema.europa.eu/en/documents/procedural-steps-after/breyanzi-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2023-03-30; CD 2023-04-28. TRANSFORM (transplant-intended 2L); EU did not adopt the US transplant-ineligible PILOT population. Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-positive-opinion-breyanzi-ii-05_en.pdf
Breyanzi,EU,2025-03-12,extension,FL_3L,Breyanzi is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) after two or more lines of systemic therapy.,standard,"EMA procedural steps (variation II/0043/G, opinion 30/01/2025, Commission Decision 12/03/2025); CHMP summary of opinion",https://www.ema.europa.eu/en/documents/procedural-steps-after/breyanzi-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2025-01-30; CD 2025-03-12. TRANSCEND FL (JCAR017-FOL-001). Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-positive-opinion-breyanzi-ii-43-g_en.pdf
Breyanzi,EU,2025-11-21,extension,MCL,Breyanzi is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after at least two lines of systemic therapy including a Bruton’s tyrosine kinase (BTK) inhibitor.,standard,"EMA procedural steps (variation EMA/VR/0000265024, opinion 16/10/2025, Commission Decision 21/11/2025); CHMP summary of opinion",https://www.ema.europa.eu/en/documents/procedural-steps-after/breyanzi-epar-procedural-steps-taken-scientific-information-after-authorisation_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2025-10-16; CD 2025-11-21. Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-positive-opinion-breyanzi-ii-emavr0000265024_en.pdf
Casgevy,EU,2024-02-09,initial,TDT_12plus,Casgevy is indicated for the treatment of transfusion-dependent β-thalassemia (TDT) in patients 12 years of age and older for whom haematopoietic stem cell (HSC) transplantation is appropriate and a human leukocyte antigen (HLA)-matched related HSC donor is not available.,conditional,CHMP summary of positive opinion (14 Dec 2023); EC decision date from EPAR page,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-casgevy_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2023-12-14; Commission decision 2024-02-09. Conditional MA (renewed Feb 2025 and 10 Feb 2026). Vertex Pharmaceuticals (Ireland) Ltd. Both TDT and SCD indications granted in the same decision. EPAR: https://www.ema.europa.eu/en/medicines/human/EPAR/casgevy
Casgevy,EU,2024-02-09,initial,SCD_VOC_12plus,Casgevy is indicated for the treatment of severe sickle cell disease (SCD) in patients 12 years of age and older with recurrent vaso-occlusive crises (VOCs) for whom haematopoietic stem cell (HSC) transplantation is appropriate and a human leukocyte antigen (HLA)-matched related HSC donor is not available.,conditional,CHMP summary of positive opinion (14 Dec 2023); EC decision date from EPAR page,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-casgevy_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2023-12-14; Commission decision 2024-02-09. No EU paediatric (2-11) extension recorded in procedural steps as of last entry (09/02/2026); EU SmPC 4.1 still '12 years of age and older'.
Elevidys,EU,2025-09-24,refusal,DMD_3to7_amb,Elevidys is indicated for the treatment of Duchenne muscular dystrophy (DMD) in ambulatory patients aged 3 to 7 years old without elevated antibodies to adeno associated virus serotype rh74 (AAVrh74).,conditional (applied for; refused),EMA refusal public assessment report EMA/CHMP/CAT/213364/2025 (24 Jul 2025) and EMA Q&A on refusal EMA/237523/2025 (25 Jul 2025); EC refusal date from EPAR page,https://www.ema.europa.eu/en/medicines/human/EPAR/elevidys,2026-09-05,verified-from-source,"Coined key DMD_3to7_amb = population applied for (never authorised). CHMP/CAT negative opinion 2025-07-24; EPAR page 'Refusal of marketing authorisation 24/09/2025' (Commission decision). Applicant Roche Registration GmbH (procedure EMEA/H/C/005293). Reason: EMBARK failed primary NSAA endpoint (difference 0.65 points, not significant). Q&A: https://www.ema.europa.eu/en/documents/medicine-qa/questions-answers-refusal-marketing-authorisation-elevidys-delandistrogene-moxeparvovec_en.pdf"
Kymriah,EU,2018-08-23,initial,ALL_ped,"Kymriah is indicated for the treatment of: Paediatric and young adult patients up to 25 years of age with B-cell acute lymphoblastic leukaemia (ALL) that is refractory, in relapse post-transplant or in second or later relapse.",standard,CHMP summary of positive opinion (28 Jun 2018); EC decision date from EPAR page,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-kymriah_en.pdf,2026-09-05,verified-from-source,CHMP opinion 2018-06-28 (EPAR page lists 27/06/2018); Commission decision 2018-08-23. Standard MA. Novartis Europharm Ltd. Same decision also authorised the DLBCL indication (separate row). EPAR: https://www.ema.europa.eu/en/medicines/human/EPAR/kymriah
Kymriah,EU,2018-08-23,initial,LBCL_3L,Adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy.,standard,CHMP summary of positive opinion (28 Jun 2018); EC decision date from EPAR page,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-kymriah_en.pdf,2026-09-05,verified-from-source,Second bullet of the initial 4.1 ('Kymriah is indicated for the treatment of: ...'). CHMP opinion 2018-06-28; CD 2018-08-23.
Kymriah,EU,2021-03-04,extension,ALL_ped,"Paediatric and young adult patients up to and including 25 years of age with B-cell acute lymphoblastic leukaemia (ALL) that is refractory, in relapse post-transplant or in second or later relapse.",standard,"EMA procedural steps (grouped variation II/0013/G, opinion 27/02/2020, Commission Decision 04/03/2021)",https://www.ema.europa.eu/en/documents/procedural-steps-after/kymriah-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,2026-09-05,verified-from-source,Minor widening: MAH 'took the opportunity to clarify the wording of the indication to include patients over 25 years of age' - procedural steps summary states the variation 'clarifies that the indication also covers patients aged 25 years inclusive'. CHMP opinion 2020-02-27; CD 2021-03-04. Wording from current SmPC 4.1. Treat as clarification rather than a material population change.
