id,section,claim,rests_on,verdict,a_reader_would_object,reader_interest,fix
C15,2.3,"AAV gene transfer is the earliest therapeutic modality in scope to reach the clinic and pivotal trials, and 18 of its 25 halted trials cite business against 2 citing science.","All components verified against the master table: 316 trials, first trial 1999, first Phase 3 2003, 67.4% industry, and the 18/25/2 split on the declared 817 basis. The parenthetical conceding that 'most mature' cannot be uniquely assigned (four platforms tie at stage 5) is exactly the right correction and is honestly made.",solid,The section heading still says 'The most mature modality is the most commercially fragile' while the body retracts 'most mature'. A reader scanning headings gets the retracted claim.,this is why they are reading,Retitle the section 'The earliest modality to reach pivotal trials is the most commercially fragile' so the heading and the body agree.
C16,2.3,CAR-T reproduces the pattern at scale (104 business vs 20 scientific across 251 halts) and CRISPR nuclease editing sits at 10 versus 1.,"Exact on the 817 basis (CAR-T 251 halts, 104/20; CRISPR 21 halts, 10/1). Mass-spec and pharmacogenomics both at 17.9% also verify.",solid,"CAR-T alone is 30% of the halted set, and Limitation 3 says the CAR-T-excluded sensitivity analysis is 'the appropriate check' - but the only such test in thesis_tests.csv is on the pooled comparison the paper has since superseded. I ran it on the interaction: it survives (modality among industry OR 4.60, p = 7e-5; sponsor class within therapeutics OR 6.12, p = 5e-5; non-industry modality OR 0.93, p = 0.64).",useful,Report the CAR-T-excluded interaction. It is a clean strengthening result the paper currently claims to have and does not.
C17,2.4,"Delivery matured roughly a decade before precision: AAV entered the clinic in 1999 and Phase 3 in 2003, while CRISPR entered in 2016 and reached Phase 3 in 2018 - a two-year transit, the fastest among the gene-transfer modalities and tied with in vivo LNP.","All milestone years verified from the master table. The two-year transit and the LNP tie (2011 to 2013) are correct among AAV (4), lentiviral (4) and CAR-T (6). But N-of-1 individualized genetic therapy shows first interventional 2000 and first Phase 3 2000 - a zero-year transit - and is a therapeutic gene-directed modality.",defensible with stated caveat,"The 'fastest' superlative depends on excluding N-of-1, which the sentence does not do explicitly. Separately, N-of-1 being credited with 31 raw Phase 3+ trials and a same-year Phase 3 is itself a signal of query contamination that a referee will read as a taxonomy problem, not a finding.",useful,"Say 'fastest among the vector-based gene-transfer modalities (AAV, lentiviral, CAR-T, LNP, CRISPR)' and name the exclusion. Separately, audit the N-of-1 Phase 3+ trials by hand - 31 is not credible for that modality and it also inflates the 4.5 table."
C18,2.4 / 3.5,"For base, prime and epigenome editing the binding constraint is still biology, and no payer has yet been asked to buy anything.","Verified: base editing 28 trials and no Phase 3, prime editing 2 trials from 2024, epigenome editing 2 with first interventional 2025. The scope limit is correctly drawn and is the paper's most defensible piece of self-restraint.",solid,Minor: the master table gives epigenome editing first_year 2020 and first interventional 2025; 'first registered in 2025' should specify interventional.,this is why they are reading,Add 'first interventional trial registered in 2025'.
C19,2.5,Newness of activity carries no information about clinical maturity: rho = -0.08 (p = 0.74) across 21 subfamilies.,"Reproduced exactly (-0.077, p = 0.740). Excluding the AI-originated-candidate probe row - which is a curated 33-molecule probe, not a registry query, yet is staged on the same five-step ladder - gives rho = -0.19, p = 0.43. The conclusion is robust to that choice.",solid,"A referee will ask why a hand-curated probe is included in a correlation over registry-derived subfamilies. The answer is that it does not matter, but the paper should say so.",useful,"Add 'excluding the AI-candidate probe, rho = -0.19, p = 0.43' in a parenthesis."
C20,2.5 / 4.5,Pharmacogenomics has 232 Phase 3 or later trials and the lowest momentum in the dataset (16.8% since 2021).,"16.8% verified. But 232 is the raw n_ph3plus, while the Section 4.5 lookup table gives pharmacogenomics Ph3+ = 107, and Figure S3's caption repeats 232. The Ph3+ column in platform_lookup.csv mixes definitions: raw counts for therapeutic platforms (AAV 32, CAR-T 54, N-of-1 31) and assay-guided counts for diagnostics (pharmacogenomics 107, liquid biopsy 23, mass-spec 11).",overreach - fixable by rewording,"The same platform carries two different Phase 3+ counts in three places with no explanation, and the 4.5 caption defines every column except that one. A reader cross-checking the table against the text finds a 232-versus-107 contradiction and stops trusting the lookup - which is the paper's most useful artefact.",useful,"Define Ph3+ in the 4.5 caption ('assay-guided Phase 3+ for diagnostic platforms, all Phase 3+ trials for therapeutic platforms'), and use 107 in Section 2.5 and Figure S3 with the raw count in parentheses. Better: publish both columns and label them."
C21,2.6,"Post-approval, gene therapies have been withdrawn from markets over reimbursement rather than safety - the only direct evidence of the payment mechanism in this study.","Six rows in commercial_retreat_cases.csv. Three are dated market withdrawals (Zynteglo, Skysona, Beqvez), one is a returned-rights event with no approval (giroctocogene), and two are neither: Roctavian ('access limited to 3 reimbursed markets', sourced to an analyst comment) and Hemgenix ('rollout slower than expected', sourced to a stock newsletter). The evidence that actually carries the mechanism is n = 3, possibly 4.",defensible with stated caveat,"Figure 6 is titled 'Commercial retreats' and its subtitle asserts the therapies 'have left markets', but Hemgenix has not left any market and Roctavian is restricted, not withdrawn. Two of six rows are not the phenomenon, and they are the two with the weakest sources. A journal referee will reject an analyst comment and a stock newsletter as the evidentiary base for the paper's central mechanism. Separately, the Figure 6 subtitle asserts as fact ('treated no commercial patient in 10 months') what the text hedges as reporting, on the paper's most quotable data point.",this is why they are reading,"Split Figure 6 into 'market withdrawals' (n = 3, dated, with intervals) and 'constrained launches' (n = 2-3) with different markers and a caption that says the mechanism claim rests on the first group. Retitle to 'Post-approval commercial withdrawal and constrained launch'. Then say n = 3 in the abstract, not six. And make the figure annotations match the text's hedging on Beqvez ('no commercial patients reported') and on Skysona's '3 months in the EU', which compresses approval-to-announced-exit into a duration claim."
C22,2.6,"bluebird bio, holder of three FDA-approved gene therapies, was sold to private equity for a fraction of its depressed market value; it is listed in the case table with its source but not plotted in Figure 6.","False as to the table. commercial_retreat_cases.csv contains exactly six rows - Zynteglo, Skysona, Beqvez, giroctocogene, Roctavian, Hemgenix - and no bluebird corporate event. The claim has no source anywhere in the published materials.",not defensible,"The paper tells the reader where to verify a claim and the claim is not there. For a reader who has been promised that every number traces to a published column, one failed pointer is worth more damage than the claim is worth.",useful,"Either add the row to the case table with its source and retrieval date, or delete the sentence. Then re-audit every other 'it is in the supplementary table' pointer in the manuscript - this one was wrong."
C23,2.7,"Two forms of attrition are invisible in a trial count: 2,821 records (20.1%) are status-unknown and only 18.2% of 2,517 due interventional trials have posted results; with 71.2% of gene-therapy trials single-arm at median enrollment 20, the evidence base is far thinner than the activity implies.","All verified: 2,821/14,061 = 20.1% with family range 18.05-21.80%; (2,821 + 817)/14,061 = 25.9% with the sets disjoint by status; 2,517 due trials with 458 posted = 18.2%, and all four family rates to one decimal (infrastructure 31.5, gene editing 15.3, proteomics 11.1, clinical AI 10.6); single-arm 0.7118 vs 0.2855 for clinical AI, median enrollment 20. Publishing the per-trial `due` flag so the denominator is checkable is the right call and I used it.",solid,"One internal inconsistency: the text says infrastructure is 'best at 31.5%' (unique-registration basis) while evidence_quality_by_family.csv, the source for Figure 7, gives 30.95% (row basis) - so Figure 7 and the text disagree. And a hostile reader notes single-arm design is the regulatory norm for ultra-rare indications, so calling it a 'weak foundation' is a value judgment presented as a finding.",useful,"Recompute Figure 7's table on the unique basis so it matches the text, or quote 31.0%. Add one clause naming the counter-position on design: single-arm trials are accepted by regulators for ultra-rare indications, but they leave HTA bodies without a comparator - which is the decision Section 2.6 shows is binding."
C24,2.7,The missing fraction is not random: null and terminated trials are the least likely to be written up.,"Contradicted by the paper's own data. Among the 2,517 due trials, those that halted post results at 23.5% (78/332) versus 17.4% for those that did not. Terminated trials in this dataset are more likely to have posted, not less.",not defensible,"This is an uncited generalisation from the reporting-bias literature that is false in the author's own table, in a section whose whole point is that the visible evidence base is thinner than it looks. A referee who checks it - and this one is easy to check - has found the paper asserting the opposite of its data.",useful,"Cut the sentence, or replace it with what the data show: 'Posting is not lower among halted trials (23.5% vs 17.4%), so the shortfall is general rather than concentrated in failures.' The 'null' half is untestable here and should not be asserted."
C25,2.8,"The technologies most likely to be deployed as population-level predictive tools are developed in the least representative populations; CAR-T includes a non-high-income-country site in 59.2% of trials, driven by Chinese activity, while affinity proteomics (10.8%), N-of-1 (11.0%) and polygenic risk scores (11.1%) are almost entirely high-income research.","Every number verified against access_equity_by_subfamily.csv, including AAV 63.4% US, CAR-T 55.9% China and AAV 31.4% non-high-income. The caveat that a middle-income trial site does not imply affordability there is correct and well placed.",solid,"The ancestry argument for polygenic risk scores is stated without citation, and 'high-income-country-only' is inferred from trial site geography, not from discovery-cohort ancestry - two different things. The conclusion is right; the evidence in this dataset is one step removed from it.",useful,"Say 'trial-site geography is a proxy for, not a measure of, discovery-cohort ancestry' and cite the portability literature."
C26,3.1,"Maturity stage does not predict business-attributed halt share (rho = 0.00, p = 1.00), and this test has almost no power because the ten measurable platforms take only two stage values.","Reproduced exactly (rho = 0.000, p = 1.000; six at stage 5, four at stage 4). Refusing to read the null as a result ('that would be reading a null as a result') is the correct handling.",solid,,useful,
C27,3.2,"Precision is not measurably narrowing the addressable population: neither trials-per-indication (rho = -0.38, p = 0.35) nor median enrollment (rho = -0.04, p = 0.93) trends with generation; enrollment is uniformly small (medians 10-40).","The enrollment correlation reproduces exactly (-0.036, p = 0.933) and the 10-40 median range holds across all eight subfamilies. Trials-per-indication is not a published column, so that one I could not check.",defensible with stated caveat,"The reframing - 'the payment mismatch was structural from the first trial' - is a stronger claim derived from a null at n = 8. It is more defensible than the failed original, but it is still an interpretation of a non-result.",useful,"Publish the trials-per-indication column. And mark the reframed claim as interpretation: 'consistent with, rather than demonstrated by, these data.'"
C28,3.3,"An independent behavioural instrument - sponsor exit - does not corroborate the stated-reason finding (rho = -0.50, p = 0.14, n = 10), if anything in the wrong direction.","The n = 10 figure reproduces exactly (-0.503, p = 0.138), but only because it includes in vivo LNP, whose business-cited share rests on 4 halted trials - below the 8-halt threshold the paper applies in Figure 1b and the 5-halt threshold in Section 4.5. Applying the paper's own inclusion rule gives n = 9, rho = -0.700, p = 0.036. Under its own threshold the instrument does not fail to corroborate; it significantly disagrees.",overreach - needs new evidence,"The paper's most important negative result is softer than the data support, and the softening comes from silently relaxing an inclusion threshold used everywhere else. A referee who reconstructs the correlation from constraint_map_data.csv and sponsor_exit_rates.csv - the two published tables - gets p = 0.036 in the wrong direction, and will conclude the paper understated a disconfirmation.",this is why they are reading,"Report both: 'rho = -0.50 (p = 0.14) across the 10 platforms with 8 or more industry sponsors; restricting to platforms with 8 or more halted trials as elsewhere in this paper, rho = -0.70 (p = 0.036).' Then change the language from 'does not corroborate' to 'disagrees'. Also note the correlation is unweighted, so AI/ML with 355 sponsors counts the same as LNP with 13 - a sponsor-weighted version is the obvious robustness check."
C29,3.3,"Until the disagreement is resolved, Section 2.1 should be read as a finding about how sponsors describe stopping, which is weaker than a finding about whether sponsors leave.","This is the paper's most important sentence and it is correct. The three candidate readings offered (one-trial academic-adjacent sponsors, a too-recent 2022 cutoff, or a genuine failure of the main measure) are the right three, and the paper does not pretend to distinguish them.",solid,"A hostile reader will ask why, if this is true, the title and abstract assert a claim about what stops programs rather than about what sponsors say. The paper's own retraction in 3.3 is stronger than the framing it retracts.",this is why they are reading,Promote this sentence to the abstract. It is the difference between a paper a skeptic respects and one they dismiss - and right now it is buried in Section 3.
C30,3.4,"The claim is falsifiable: it predicts elevated business-attributed halting among industry-sponsored programs of any modality, and would have been refuted had industry-sponsored diagnostics shown the elevated rate.","The stated prediction is not what the data show. Industry diagnostics sit at 25.9%, indistinguishable from the non-industry cells - so on the paper's own falsification criterion ('industry-sponsored programs of any modality') the claim is refuted, not confirmed. What the data support is a joint condition: industry sponsorship AND therapeutic modality.",not defensible,"This is a logical slip in the section specifically written to pre-empt the charge of unfalsifiability. As written, the falsification test is failed by the paper's own numbers and then reported as passed in the next clause.",this is why they are reading,"Rewrite the prediction to match the result: 'the finding predicts elevated business-attributed halting where industry sponsorship and therapeutic modality coincide, and predicts no elevation where either is absent. It would have been refuted had industry-sponsored therapeutics matched the other cells, or had either single factor produced the elevation on its own.' Then add the two out-of-sample tests that would actually discriminate it - a matched non-molecular comparator (Limitation 3c) and the sponsor-collapsed analysis (C5)."
C31,4.1,"For diagnostics the remedy is evidentiary, and liquid biopsy is the template: 278 trials naming the assay as the intervention and 23 at Phase 3+, against affinity proteomics with 41 records, one such trial and none at Phase 3.","All four numbers verified against platform_lookup.csv and the master table, including the 35% annual publication growth for affinity proteomics (pub_cagr 0.349). This is the most useful comparison in the paper: it converts 'generate better evidence' into a countable target.",solid,"'and is reimbursed' is asserted without a source - no coverage or reimbursement data appears anywhere in this study, which is the paper's own stated gap. The comparison works without it.",this is why they are reading,"Either cite the coverage decisions or drop 'and is reimbursed' and let the trial counts carry the argument. Also state that liquid biopsy's 278 includes trials across many assays and sponsors, so it is a field-level target, not a single product's path."
C32,4.2 / 4.4,"Regulatory capacity has become a variable: roughly 20,000 staff reductions across FDA, CDC and NIH, and the One Big Beautiful Bill Act mandates NIH funding of about $27.5 billion for 2026, roughly an $18 billion cut.","Nothing in this study bears on either claim, and the manuscript contains no reference list - these specific quantitative assertions about federal staffing and appropriations are uncited, as is 'industry commentary in early 2026' and the 'registry-wide termination analyses' invoked in Limitation 3c.",overreach - needs new evidence,"A peer-reviewed journal will not accept a paper with zero citations, and least of all one whose policy section makes dated, specific, contested claims about appropriations and agency staffing without a single source. A policy reader will also note that congressional appropriations, not the reconciliation bill, set the final NIH figure - which the paper half-acknowledges and then quotes the mandated number anyway.",useful,"Add a reference list. Every external claim in 4.2, 4.4 and Limitation 3c needs a source with a retrieval date, in the same style as commercial_retreat_cases.csv. Where the figure is contested (NIH 2026), give the range and the status rather than the point estimate."
C33,4.4,"In vivo LNP genetic medicine grew 5.8-fold from 6 to 35 trials - the largest increase among gene-transfer platforms, though not the largest in the dataset (the AI-candidate probe grew 12.5-fold).","5.83-fold verified. But the parenthetical implies the AI probe is the only larger growth: spatial omics grew 9.0-fold (4 to 36) and base editing went from 0 to 21 (undefined fold, larger in absolute terms). The superlative was checked against gene-transfer platforms but the 'not the largest in the dataset' clause was not checked against the full table.",overreach - fixable by rewording,"Exactly the class of error a reader checks first, because the master table makes it a ten-second test.",useful,"Write 'the largest fold increase among the vector-based gene-transfer platforms; spatial omics (9.0-fold) and the AI-candidate probe (12.5-fold) are larger in the dataset, and base editing went from zero to 21.'"
C34,4.4,"Two independent methods converge: industry commentary reaching its conclusion from deal flow, and this dataset reaching it from sponsor-stated halt reasons.","The convergence argument is asserted against an uncited trade source, and it sits three pages after Section 3.3 reported that the study's own independent instrument does not converge. The paper claims corroboration from a source it does not cite while reporting disconfirmation from one it does.",overreach - fixable by rewording,"A referee will read this as selecting the agreeing instrument. It also is not independent: trade commentary and registry halt reasons both derive from company disclosure, so they share the disclosure incentive the paper flags in Limitation 2.",useful,"Cite the source, drop 'independent' (both are sponsor disclosure), and cross-reference 3.3 in the same paragraph: 'a behavioural instrument constructed here does not converge (Section 3.3).' Reporting both makes the paragraph credible; reporting one makes it advocacy."
C35,4.5,"The per-platform lookup table is the actionable form of the paper: read your row, and the binding constraint differs across rows.","The table reproduces platform_lookup.csv exactly, row for row, and the suppression rules (dominant blocker below 5 halts, results posting below 10 due trials) are applied consistently. Recommendation 1 (read your row, not the headline) and recommendation 2 (the liquid-biopsy-to-affinity-proteomics gap as a countable target) are genuinely actionable and specific to this dataset. Recommendation 3 is flagged by the author as argued not measured, and correctly notes it cuts against their own category assignment. Recommendation 4 is a restatement of Section 2.7.",defensible with stated caveat,"Two of the four are actionable and two are close to generic: 'delivery and manufacturing are underpriced' is the field's consensus position and is admitted to be unmeasured here, and 'treat evidence visibility as part of the work' is advice any reader already accepts. Also, CAR-T is staged 4 while in vivo LNP is staged 5 because CAR-T's industry share is 29.4% against a 30% threshold - the most-registered therapeutic platform in the dataset scores less mature than one with 68 trials, and a reader will see that as the ladder failing rather than as a finding.",this is why they are reading,"Keep 1 and 2 as the recommendations. Fold 4 into Section 2.7 and reduce 3 to one sentence in 4.1, since you concede it is unmeasured. Add a footnote to the Stage column naming the CAR-T/LNP inversion and its cause - Limitation 6 covers the principle but the reader needs it at the table."
C36,5. Limitations,"Trials are not independent: CAR-T contributes 233 of 784 halts, and multiple trials from one sponsor are not independent observations, so p-values are anticonservative.","Honest and correctly signed, but understated in one direction and overstated in the other. Sponsor concentration in the key cell is low - 88 distinct sponsors across its 144 trials, top sponsor 6.2%, top five 17.4% - so clustering is a milder threat than implied. Conversely the CAR-T check the limitation names as 'appropriate' was never run on the current headline, and the sponsor-collapsed analysis flips one of the two null cells (C5).",defensible with stated caveat,"A referee will ask why a limitation names the right two checks and runs neither, when both take minutes with the published tables.",this is why they are reading,Run both and move them out of Limitations into Section 2.1. Report the sponsor concentration figures - they are in your favour.
C37,5. Limitations / 3c,"No external baseline is established, so part of what is measured may be a registry-wide property rather than a property of molecular medicine.","This is the correct first-order objection to the whole paper and the author raises it themselves. It is also the one limitation that cannot be answered by rewriting: without a matched non-molecular comparator, the reader cannot know whether 30.9% business-cited halts is high, average or low for ClinicalTrials.gov.",defensible with stated caveat,"A hostile reader will say the paper should not have been written without the comparator, since every headline is a bare rate with no reference class. The counter is that the interaction is a within-dataset contrast and needs no external baseline - but the title and abstract lead with the bare rate, not the interaction.",this is why they are reading,"Run the comparator. The same classification on a matched sample of non-molecular trials (same phase and year distribution) is a few hundred reason strings and would convert the paper's weakest structural gap into its strongest claim. Until then, lead with the interaction, which is baseline-free."
