id,section,sentence,num,superlative,causal
C21,1. Introduction,"Across 21 technology subfamilies spanning gene editing and gene therapy, AI-driven drug discovery, proteomic and multi-omic diagnostics, and precision-medicine infrastructure, we classify 673 distinct sponsor statements and ask a simple question — when these programs stop, what stops them?",True,False,False
C22,1. Introduction,"The answer reframes what the field's central problem is, and therefore what work is worth doing.",False,False,True
C23,1. Introduction,** This is an analysis of registered clinical activity and its stated failure causes.,False,False,True
C24,1. Introduction,The absence of a financing layer is the single largest gap in this work and is discussed in Section 8.,True,True,False
C25,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics **Figure 1.,True,False,False
C26,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,*(b)* Per-platform position between the two dominant causes.,False,False,True
C27,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,Platforms with fewer than 8 halted trials are omitted.,True,False,False
C28,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"Of 851 halted records (terminated, withdrawn or suspended), 788 (93%) carry a stated reason.",True,False,False
C29,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"We exclude 34 whose text describes participants transferring into a long-term follow-up or extension study — administrative transfers, not failures — and deduplicate 33 registrations that matched two subfamily queries, leaving **784 unique halted trials**.",True,True,False
C30,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"Across these, 242 cite a funding, business or strategic decision and 40 cite a safety or efficacy failure.",True,False,False
C31,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"That 6-to-1 contrast is real but is not evenly distributed, and the distribution is the finding.",True,False,False
C32,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,Cross-tabulating by modality and sponsor class produces one outlying cell: | | Industry-sponsored | Non-industry | |---|---|---| | **Therapeutic** | **66.,True,False,False
C33,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,4% (43/184) | | **Diagnostic / analytic** | 25.,True,False,False
C34,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,1% (83/375) | Three of the four cells sit within four percentage points of each other.,True,False,False
C35,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,Formally: among non-industry sponsors there is **no modality effect at all** (OR 1.,True,True,False
C36,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"41, n = 559), whereas among industry sponsors it is large (OR 5.",True,False,False
C37,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"54, p = 6 × 10⁻⁹, n = 225); and within therapeutic programs, sponsor class is the stronger exposure (66.",True,False,False
C38,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,The pooled therapeutic-versus-diagnostic comparison — 42.,True,False,False
C39,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"46, p = 7 × 10⁻⁹ — is therefore a composition artefact of that interaction and should not be read as a modality mechanism.",True,False,True
C40,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,** Diagnostic programs remain distinguished by their dominant *alternative* cause: 36.,True,False,True
C41,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,5% of halted diagnostic trials cite recruitment or feasibility against 17.,True,False,False
C42,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"69, p = 2 × 10⁻⁹), and that contrast does not depend on sponsor class.",True,False,False
C43,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,Figure 1b shows the per-platform consequence.,True,False,True
C44,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"AAV gene transfer sits at the extreme (75% business, 0% recruitment); the academic-dominated diagnostic platforms cluster in the recruitment corner.",True,False,False
C45,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,N-of-1 individualized therapy is the instructive case: a therapeutic modality at 4.,True,False,False
C46,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"8% industry sponsorship, it sits with the diagnostics, which is what the interaction predicts.",True,False,False
C47,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,** They are stated here rather than deferred because each bounds the interpretation directly.,False,False,True
C48,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"* We searched all 784 verbatim reason strings for any mention of a payer, price, reimbursement decision, coverage, formulary or health technology assessment.",True,True,False
C49,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"We therefore use the term *sponsor-attributed business discontinuation* throughout, and reserve claims about pricing and payment for Section 2.",True,False,True
C50,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,Restricting the category to strings that name any financial cause at all reduces it from 242 to 159.,True,True,True
C51,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"Among concluded Phase 2+ interventional trials in this dataset, 534 completed and 235 halted: the reason field observes only **30.",True,True,False
C52,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"6%** of concluded programs, and it is precisely the subset where science is least likely to be named.",True,True,False
C53,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,Counting manufacturing and regulatory holds as technical rather than commercial causes gives 2.,True,False,True
C54,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,4 to 1; restricting the business category to strings naming a financial cause gives 4.,True,False,True
C55,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"The direction is robust across all four; the magnitude is not, and we report the range rather than the point estimate.",False,True,False
C56,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,Note also that the manufacturing assignment is in tension with Section 4.,True,False,False
C57,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,"5, which argues manufacturing is a technical bottleneck.",True,False,False
C58,2.1 Business-attributed discontinuation concentrates in industry-sponsored therapeutics,2 The pattern holds in every technology family **Figure 2.,True,True,False
C59,2.2 The pattern holds in every technology family,Bold labels mark the largest blocker in each family.,False,True,False
C60,2.2 The pattern holds in every technology family,Funding and business decisions outnumber safety and efficacy failures in all four registry-derived families.,False,True,False
C61,2.2 The pattern holds in every technology family,Counts in Figure 2 are on the pre-deduplication basis (817 rows) and differ slightly from the 784-trial analysis set used in Section 2.,True,False,False
C62,2.2 The pattern holds in every technology family,"Recruitment failure is nonetheless the single largest blocker in three of the four families, leading in proteomics (77/182), precision medicine (51/156) and clinical AI (48/139); only in gene editing and gene therapy does funding lead outright.",True,True,False
C63,2.2 The pattern holds in every technology family,The two categories are separated here because sponsors describe them separately.,False,False,True
C64,2.2 The pattern holds in every technology family,"The scientific categories are small throughout: 18 halted trials across the entire dataset cite safety, and 25 cite efficacy failure.",True,False,False
C65,2.2 The pattern holds in every technology family,3 The most mature modality is the most commercially fragile **Figure 3.,True,True,False
C66,2.2 The pattern holds in every technology family,"Funding versus scientific causes of trial halt, by platform.",False,False,True
C67,2.3 The most mature modality is the most commercially fragile,"It is the earliest therapeutic modality in scope to reach the clinic and pivotal trials — 316 trials, first registered trial in 1999, first Phase 3 in 2003, 32 Phase 3 or later programs, 67.",True,True,False
C68,2.3 The most mature modality is the most commercially fragile,4% industry-sponsored — and **18 of its 25 halted trials cite business or strategic reasons against 2 citing safety or efficacy**.,True,False,False
C69,2.3 The most mature modality is the most commercially fragile,"(Four therapeutic platforms tie at the top stage of the maturity ladder, so ""most mature"" is not a property we can assign uniquely; ""earliest to pivotal trials"" is, and is the property the argument uses.",False,True,False
C70,2.3 The most mature modality is the most commercially fragile,") Among trials that halted, this is not a technology stopped by its biology — though Section 2.",True,False,False
C71,2.3 The most mature modality is the most commercially fragile,1's censoring limit means we cannot speak to programs that completed and missed.,True,False,False
C72,2.3 The most mature modality is the most commercially fragile,CAR-T reproduces the pattern at scale (104 business versus 20 scientific across 251 halts) and CRISPR nuclease editing sits at 10 versus 1.,True,False,False
C73,2.3 The most mature modality is the most commercially fragile,The diagnostic and infrastructure platforms are less lopsided — mass-spectrometry proteomics and pharmacogenomics both at 17.,True,False,False
C74,2.3 The most mature modality is the most commercially fragile,"9% — because their trials are predominantly academic and smaller, and fail earlier, through recruitment.",True,False,True
C75,2.3 The most mature modality is the most commercially fragile,"4 How maturity was measured, and what it shows **Figure 4.",True,False,True
C76,2.3 The most mature modality is the most commercially fragile,"** For each subfamily: the year publication volume first reached 10% of its maximum (literature take-off), the first registered interventional trial, and the first Phase 3.",True,True,False
C77,2.3 The most mature modality is the most commercially fragile,Crosses mark platforms with no Phase 3 to date.,True,False,False
C78,2.3 The most mature modality is the most commercially fragile,"The PubMed window is 2012–2025; six subfamilies (AAV, in vivo LNP, lentiviral, CAR-T, mass-spec proteomics, pharmacogenomics) already exceeded the 10% threshold in 2012, so their take-off year is a **lower bound** — the flag is published as `literature_predates_2012_window`.",True,False,False
C79,"2.4 How maturity was measured, and what it shows",** AAV gene transfer registered its first trial in 1999 and its first Phase 3 in 2003; lentiviral ex vivo therapy followed in 2006.,True,True,False
C80,"2.4 How maturity was measured, and what it shows","CRISPR nuclease editing entered the clinic in 2016 and reached Phase 3 in 2018 — a two-year transit, the fastest among the gene-transfer modalities and tied with in vivo LNP, plausibly because it inherited a de-risked delivery and manufacturing stack rather than building one.",True,True,True
C81,"2.4 How maturity was measured, and what it shows","Base editing has 28 registered trials and no Phase 3; prime editing has 2 trials, first registered in 2024; epigenome editing has 2, first registered in 2025.",True,True,False
C82,"2.4 How maturity was measured, and what it shows","This bounds our thesis, and Section 4 states the bound explicitly.",True,False,False
C83,"2.4 How maturity was measured, and what it shows",5 Research momentum does not track clinical maturity **Figure 5.,True,False,False
C84,"2.4 How maturity was measured, and what it shows","** Share of each platform's registered trials that started in 2021 or later, ranked, with a five-step trial-stage maturity meter and total trial count.",True,False,False
C85,"2.4 How maturity was measured, and what it shows",Stage values are generated mechanically from the rules in Section 7 with no manual overrides.,True,False,False
C86,"2.4 How maturity was measured, and what it shows","Newness of activity carries no information about clinical maturity: across the 21 subfamilies, the rank correlation between share-of-trials-since-2021 and maturity stage is **ρ = −0.",True,False,False
C87,2.5 Research momentum does not track clinical maturity,"Four of the seven highest-momentum platforms have not reached pivotal evidence; three of the seven lowest-momentum platforms are at Phase 3+ *scale* (stage 5 of the maturity ladder), and five have reached at least one Phase 3.",True,True,False
C88,2.5 Research momentum does not track clinical maturity,Spatial omics has the steepest literature growth in the dataset (publication volume doubling annually since 2020) and three interventional trials naming the assay as the intervention.,True,True,False
C89,2.5 Research momentum does not track clinical maturity,Pharmacogenomics has 232 Phase 3 or later trials and the lowest momentum in the map (16.,True,True,False
C90,2.5 Research momentum does not track clinical maturity,"For a reader allocating attention or capital, this is the practical consequence: activity volume and readiness are separate quantities, and the field's most visible platforms are not its most deployable ones.",False,True,False
C91,2.5 Research momentum does not track clinical maturity,6 The failure mode survives regulatory approval **Figure 6.,True,False,False
C92,2.5 Research momentum does not track clinical maturity,** Three of six rows have a dated approval and therefore an interval; one (giroctocogene fitelparvovec) was never approved and is a returned-rights event.,False,True,True
C93,2.5 Research momentum does not track clinical maturity,"This evidence is curated and small (n = 6), and we flag that.",True,False,False
C94,2.5 Research momentum does not track clinical maturity,But it is not weaker evidence for the payment mechanism — it is the **only** direct evidence of it in this study.,False,True,False
C95,2.6 The failure mode survives regulatory approval,1 measures the scale of sponsor-attributed discontinuation without observing a single price or payer; this section observes prices and payer decisions without a denominator.,True,False,False
C96,2.6 The failure mode survives regulatory approval,"The two are complementary, and the honest ordering is: the registry establishes that commercial sponsors withdraw at scale, and these cases establish that reimbursement is one reason they do.",False,False,True
C97,2.6 The failure mode survives regulatory approval,Neither alone supports the claim that reimbursement explains the registry pattern.,False,False,True
C98,2.6 The failure mode survives regulatory approval,"Pfizer discontinued Beqvez, its haemophilia B gene therapy, less than a year after FDA approval, citing limited interest from patients and physicians, at a list price of $3.",True,False,False
C99,2.6 The failure mode survives regulatory approval,5 million; contemporaneous reporting indicated no patients received the therapy commercially in that window.,True,False,False
C100,2.6 The failure mode survives regulatory approval,"Pfizer returned rights to a haemophilia A gene therapy developed with Sangamo despite a successful Phase 3, having concluded that launch costs would exceed anticipated sales.",True,False,False
C101,2.6 The failure mode survives regulatory approval,"bluebird bio, holder of three FDA-approved gene therapies, was ultimately sold to private equity for a fraction of its already-depressed market value (a company-level event rather than a product withdrawal; it is listed in the case table with its source but is not plotted in Figure 6).",True,False,False
C102,2.6 The failure mode survives regulatory approval,"They are the same failure mode as the 18 halted AAV trials, observed one stage later: the technology clears the scientific bar and fails the payment bar.",True,False,False
C103,2.6 The failure mode survives regulatory approval,7 The visible evidence base is thinner than the trial counts imply **Figure 7.,True,False,False
C104,2.6 The failure mode survives regulatory approval,** Results-posting rate among interventional trials whose primary completion date has passed; single-arm share of interventional trials; share of all records with unverified registry status; median enrollment.,False,True,False
C105,2.6 The failure mode survives regulatory approval,"1%) carry registry status ""unknown""** — the sponsor has not verified the record within the expected window.",True,False,False
C106,2.6 The failure mode survives regulatory approval,The rate is near-uniform across families (18.,True,False,False
C107,2.6 The failure mode survives regulatory approval,"8%), which points to a structural reporting failure rather than a technology-specific one.",True,False,False
C108,2.6 The failure mode survives regulatory approval,"Adding these to the 817 formally halted trials, roughly a quarter of all registered activity in these fields has stopped or gone dark.",True,True,False
C109,2.7 The visible evidence base is thinner than the trial counts imply,"**Of 2,517 unique interventional trials whose parsed primary completion date is on or before 31 December 2023, only 18.",True,True,False
C110,2.7 The visible evidence base is thinner than the trial counts imply,** Precision-medicine infrastructure is the best at 31.,True,False,False
C111,2.7 The visible evidence base is thinner than the trial counts imply,5% and still leaves seven in ten unreported; gene editing and gene therapy posts at 15.,True,False,False
C112,2.7 The visible evidence base is thinner than the trial counts imply,The missing fraction is not random: null and terminated trials are the least likely to be written up.,False,True,False
C113,2.7 The visible evidence base is thinner than the trial counts imply,"2% of interventional gene-editing and gene-therapy trials are single-arm, against 28.",True,False,False
C114,2.7 The visible evidence base is thinner than the trial counts imply,"6% for clinical AI, and median enrollment in that family is 20 participants.",True,False,False
C115,2.7 The visible evidence base is thinner than the trial counts imply,"The therapeutic evidence in the most commercially advanced family therefore consists largely of small uncontrolled studies — appropriate for a first-in-human safety question, but a weak foundation for the reimbursement decisions that Section 2.",True,True,True
C116,2.7 The visible evidence base is thinner than the trial counts imply,6 shows are determining these products' fate.,True,False,True
C117,2.7 The visible evidence base is thinner than the trial counts imply,"8 Access is structurally uneven, in a specific direction **Figure 8.",True,False,False
C118,2.7 The visible evidence base is thinner than the trial counts imply,** Left: share of each platform's sited trials with at least one site outside a high-income country.,False,True,False
C119,2.7 The visible evidence base is thinner than the trial counts imply,Right: share with a site in the single most-represented country.,False,True,False
C120,2.7 The visible evidence base is thinner than the trial counts imply,Platforms with fewer than 20 sited trials are excluded.,True,False,False
C121,2.7 The visible evidence base is thinner than the trial counts imply,CAR-T includes a site outside a high-income country in 59.,True,False,False
C122,2.7 The visible evidence base is thinner than the trial counts imply,"6%, driven by the volume of Chinese clinical activity rather than by access programmes in low-income settings.",True,False,False
C123,2.7 The visible evidence base is thinner than the trial counts imply,"At the other extreme, affinity proteomics (10.",True,False,False
C124,2.7 The visible evidence base is thinner than the trial counts imply,1%) are almost entirely high-income-country research.,True,True,False
C125,2.7 The visible evidence base is thinner than the trial counts imply,The technologies most likely to be deployed as population-level predictive or screening tools are those developed in the least representative populations — precisely the configuration that produces performance gaps on deployment.,False,True,False
C126,"2.8 Access is structurally uneven, in a specific direction",Meanwhile no platform is genuinely globally distributed: AAV gene transfer runs 63.,True,False,False
C127,"2.8 Access is structurally uneven, in a specific direction","A caveat against over-reading the left panel: a site in a middle-income country indicates where research happens, not that the product will be affordable there.",False,False,True
C128,"2.8 Access is structurally uneven, in a specific direction",What the evidence does not support Four extensions and corroborations of our thesis were tested because each would have strengthened it.,False,False,True
C129,"2.8 Access is structurally uneven, in a specific direction","We report them because they pre-empt the objections a careful reader would raise, because two rule out attractive but wrong policy conclusions, and because one — the sponsor-exit test in 3.",True,False,True
C130,"2.8 Access is structurally uneven, in a specific direction",3 — is a direct challenge to the paper's own instrument.,True,False,False
C131,"2.8 Access is structurally uneven, in a specific direction",1 Maturity does not predict commercial failure.,True,False,False
C132,"2.8 Access is structurally uneven, in a specific direction","Across the ten platforms with enough halted trials to measure, the rank correlation between maturity stage and business-attributed halt share is **ρ = 0.",True,False,False
C133,"2.8 Access is structurally uneven, in a specific direction","This test is weak in a way worth stating: those ten platforms take only two distinct stage values (four at stage 4, six at stage 5), so the design cannot address stage-dependence across the pipeline at all.",True,True,False
C134,3. What the evidence does not support,2 Precision is not measurably narrowing the addressable population.,True,False,False
C135,3. What the evidence does not support,"Across the eight gene-editing and gene-transfer subfamilies ordered by year of clinical entry (AAV 1999 through epigenome editing 2025), neither trials-per-indication (**ρ = −0.",True,False,False
C136,3. What the evidence does not support,"What the data shows instead is that enrollment is uniformly small across every generation, with medians between 10 and 40 participants throughout.",True,True,True
C137,3. What the evidence does not support,"The small-market character is a constant property of the modality rather than a worsening trajectory — which supports a different and more defensible claim: the payment mismatch was structural from the first trial, which is why three decades of delivery maturation did not resolve it.",False,True,False
C138,3. What the evidence does not support,"We note that n = 8 subfamilies gives this test little power; it is reported as a failure to detect, not as evidence of absence.",True,False,False
C139,3. What the evidence does not support,3 An independent behavioural instrument does not corroborate the stated-reason finding.,True,False,False
C140,3. What the evidence does not support,"We therefore constructed an instrument that does not depend on sponsors describing anything: for each platform with at least 8 distinct industry sponsors, the share of those sponsors whose most recent trial start was 2022 or earlier — a behavioural signal of exit.",True,True,True
C141,3. What the evidence does not support,"If business-attributed halting tracks real commercial withdrawal, exit rates should be highest where business-cited halts are highest.",False,True,False
C142,3. What the evidence does not support,"** Across the ten platforms, the rank correlation between sponsor-exit rate and business-cited halt share is **ρ = −0.",True,False,False
C143,3. What the evidence does not support,14)** — if anything in the wrong direction — and therapeutic platforms have a *lower* median exit rate (0.,True,False,False
C144,3. What the evidence does not support,"Pharmacogenomics, near the bottom on business-cited halts, has the highest sponsor exit rate in the dataset (0.",True,True,False
C145,3. What the evidence does not support,We report this because it is the result the study most needed to go the other way.,False,True,True
C146,3. What the evidence does not support,"Three readings are available and we cannot distinguish them here: the exit measure may be dominated by small academic-adjacent sponsors running one trial and never returning, which is not commercial withdrawal; a 2022 cutoff may be too recent given trial-planning cycles; or the stated-reason finding may not reflect genuine commercial exit.",True,True,True
C147,3. What the evidence does not support,"1 should be read as a finding about *how sponsors describe stopping*, which is weaker than a finding about *whether sponsors leave*.",True,False,False
C148,3. What the evidence does not support,"1's exceptions are explained by absence of a commercial sponsor, and absence of a commercial sponsor is itself part of the argument, the claim risks being unfalsifiable.",True,False,False
C149,3. What the evidence does not support,It would have been refuted had industry-sponsored diagnostics shown the elevated rate too — they do not (25.,True,False,False
C150,3. What the evidence does not support,"9%, indistinguishable from the non-industry cells) — or had industry-sponsored therapeutics matched the other cells.",True,False,False
C151,3. What the evidence does not support,"5 Biology is not solved, and the thesis applies unevenly.",True,False,False
C152,3. What the evidence does not support,** Prime editing has 2 registered trials; epigenome editing has 2; base editing has 28 and no Phase 3.,True,False,False
C153,3. What the evidence does not support,"Our thesis is therefore an **observation** for modalities that have crossed the scientific threshold (AAV, lentiviral, CAR-T, pharmacogenomics, liquid biopsy) and a **prediction** for those that have not.",False,False,True
C154,3. What the evidence does not support,1 Two failure modes require two remedies The central practical implication of Section 2.,True,False,False
C155,3. What the evidence does not support,1 is that discontinuation has two distinct shapes that are usually discussed as one.,True,False,False
C156,3. What the evidence does not support,"Where a commercial sponsor carries a therapeutic program, stopping is recorded as a sponsor decision — 66% of halts in that cell.",True,False,False
C157,3. What the evidence does not support,We can say that with confidence because it is what the data show.,False,False,True
C158,3. What the evidence does not support,What the registry does **not** license is the further step that the sponsor decisions are payer decisions: no stated reason names a payer or a price (Section 2.,True,False,False
C159,3. What the evidence does not support,"6's six documented cases and on the trade record, and should be argued from there rather than from the registry counts.",True,False,False
C160,3. What the evidence does not support,"For therapeutics, the candidate remedies are financial and regulatory: outcomes-based instalment payment, annuity and reinsurance structures, and — the highest-leverage item — platform qualification that lets a delivery vehicle be reused across indications under an abbreviated pathway.",False,True,False
C161,4.1 Two failure modes require two remedies,"Every editing program currently carries the full cost of a bespoke delivery and manufacturing package, which is why per-program economics resemble bespoke biologics rather than a platform.",False,True,False
C162,4.1 Two failure modes require two remedies,"Liquid biopsy has 278 interventional trials in which the assay is named as the intervention, 23 of them at Phase 3 or beyond; it took roughly a decade.",True,False,False
C163,4.1 Two failure modes require two remedies,"Affinity proteomics, by contrast, has 41 records, **one** such trial and none at Phase 3, alongside publication growth of 35% annually.",True,True,False
C164,4.1 Two failure modes require two remedies,"2 Governance, clearance and regulatory capacity Regulatory structure determines which scientific bets can pay off, and three features of the current environment bear directly on the constraint measured here.",True,False,False
C165,4.1 Two failure modes require two remedies,"** Reporting through 2025 describes approximately 20,000 staff reductions across FDA, CDC and NIH, with senior turnover specifically in the FDA unit regulating gene therapies and a described effect of slower and less predictable review.",True,False,False
C166,4.1 Two failure modes require two remedies,"For a modality whose commercial viability already depends on reaching market before capital is exhausted, review-timeline variance is not an administrative detail; it feeds directly into the failure mode of Section 2.",True,False,False
C167,4.1 Two failure modes require two remedies,** Whether a multi-analyte proteomic panel is commercialised as a laboratory-developed test or must clear premarket approval determines whether the evidence burden in Section 4.,True,False,False
C168,"4.2 Governance, clearance and regulatory capacity","8% industry sponsorship: real clinical activity exists with no mechanism that prices a single-patient product, so it persists as academic medicine by default rather than by design.",True,False,False
C169,"4.2 Governance, clearance and regulatory capacity","And somatic editing creates follow-up obligations measured in decades, held by companies whose median program lifetime is far shorter — Section 2.",True,False,False
C170,"4.2 Governance, clearance and regulatory capacity",6 demonstrates that such commitments are breakable.,True,False,True
C171,"4.2 Governance, clearance and regulatory capacity","Germline modification lies outside legitimate practice and is not what any trial in this dataset is doing; we state this explicitly because public discussion routinely conflates the two, and the conflation drives policy that constrains somatic work.",False,False,True
C172,"4.2 Governance, clearance and regulatory capacity",3 Ethical considerations at the point of implementation Four issues follow from the measurements rather than from general principle.,True,False,False
C173,"4.2 Governance, clearance and regulatory capacity","Continued access after a program is shelved for portfolio reasons is rarely guaranteed, and Section 2.",True,False,False
C174,"4.2 Governance, clearance and regulatory capacity","4% of AAV trials include a site outside a high-income country, while the reimbursement structures capable of sustaining a $3.",True,False,False
C175,"4.2 Governance, clearance and regulatory capacity",5 million therapy exist in almost none of them.,True,True,False
C176,"4.2 Governance, clearance and regulatory capacity","9% high-income-country-only in this dataset; performance degrades outside the ancestry composition of discovery cohorts, so population-scale deployment risks distributing benefit along ancestry lines.",True,True,False
C177,4.3 Ethical considerations at the point of implementation,4 Demand is not constant Two contemporaneous events illustrate the demand side in both directions.,True,False,False
C178,4.3 Ethical considerations at the point of implementation,"** The One Big Beautiful Bill Act, signed in July 2025, mandates a reduction in NIH funding to approximately $27.",True,False,False
C179,4.3 Ethical considerations at the point of implementation,"5 billion for 2026 — roughly an $18 billion cut, with about $9.",True,False,False
C180,4.3 Ethical considerations at the point of implementation,"5 billion already cut by June 2025 — while congressional top-line proposals remained closer to prior budgets, leaving the final allocation contested.",True,False,False
C181,4.3 Ethical considerations at the point of implementation,Because the registry-derived portion of this dataset is overwhelmingly investigator-initiated outside gene editing (industry sponsorship: proteomics 7.,True,False,True
C182,4.3 Ethical considerations at the point of implementation,"7%), a public-funding contraction falls hardest on precisely the platforms whose missing decision-change evidence constitutes the diagnostic failure mode.",True,False,False
C183,4.3 Ethical considerations at the point of implementation,"8-fold between 2016–2020 and 2021–2025, from 6 trials to 35 — the largest increase among the gene-transfer platforms, though not the largest in the dataset (the AI-originated candidate probe grew 12.",True,True,False
C184,4.4 Demand is not constant,** Industry commentary in early 2026 reports that companies are withdrawing from conventional AAV and that investors have rotated toward second-generation approaches.,True,False,False
C185,4.4 Demand is not constant,"Two independent methods converging matters here, because the registry finding alone invites the objection that sponsors mislabel their reasons.",False,False,True
C186,4.4 Demand is not constant,"5 What follows for a scientist choosing a direction The table below is the actionable form of this paper: find your platform, read across.",True,False,False
C187,4.4 Demand is not constant,`Dominant blocker` is the most-cited halt reason among that platform's halted trials (suppressed below 5 halts).,True,True,False
C188,4.4 Demand is not constant,`Results posted` is the share of due trials reporting (suppressed below 10 due trials).,True,False,False
C189,4.5 What follows for a scientist choosing a direction,"If your platform is industry-carried and therapeutic, Section 2.",True,False,False
C190,4.5 What follows for a scientist choosing a direction,"** Liquid biopsy converted 1,368 registrations into 278 trials naming the assay as the intervention and 23 at Phase 3+, over roughly a decade, and is reimbursed.",True,False,False
C191,4.5 What follows for a scientist choosing a direction,"Affinity proteomics has 41 registrations, **one** such trial and none at Phase 3, with publication volume growing 35% annually.",True,True,False
C192,4.5 What follows for a scientist choosing a direction,"** Every editing program currently carries a bespoke delivery and manufacturing package, and platform qualification that permitted reuse across indications would change per-program economics more than any efficacy increment.",False,True,False
