id,date,topic,statement,evidence,source,status,confidence,used_in,notes
F018,2026-09-04,07_companion_methods_paper,"manuscript.md header reads ""Draft v3 - 3 September 2026"" while README, MANIFEST and the referee pitch call it v7. Content matches what the pitch reviewed.",manuscript/manuscript.md line 5,bundle,verified-from-data,high,housekeeping; closed 2026-09-05,"Fixed 2026-09-05: header now reads v7, 5 September 2026; a v7 revision note records the two defect fixes (see F038)."
F019,2026-09-04,01_clinical_stage,"Product cohort dated from regulator pages: 43 in-scope products (32 genetic products with an FDA approval, 5 non-genetic FDA comparators, 5 EU-only historical products), 41 fully verified. Imlygic (FDA 2015-10-27) and Provenge (FDA 2010-04-29) rest on an fda.gov search snippet and an archived FDA page because the live pages no longer show a first-approval date. Seven products absent from the seed years are now dated: Waskyra 2025-12-09, Itvisma 2025-11-24, Kresladi 2026-03-26, Otarmeni 2026-04-23, Tregzi 2026-07-01, Tudriqev 2026-08-06, Genglycos 2026-08-19. No seed year disagreed with its sourced date.",research/findings/verify_cohort_dates_2026-09-04.py on data/cohort/product_cohort.csv; per-row URLs in fda_source_url and eu_source_url,S22; S28,verified-from-source,high; medium for Imlygic and Provenge,all layers; topic 01 task 2,Trap: FDA product pages surface the latest supplement letter first (e.g. Elevidys page omits the 2023 letter; Abecma page leads with 2025-12-01). First approval must be read from the earliest approval letter.
F020,2026-09-04,04_investment,"Post-approval withdrawals are now systematic. EU authorisations withdrawn or expired: Glybera (2012-10-25 to 2017-10-28, expired), Provenge (2013-09-06 to 2015-05-06), Zalmoxis (2016-08-18 to 2019-10-09), Skysona (2021-07-16 to 2021-11-18), Zynteglo (2019-05-29 to 2022-03-24), Alofisel (2018-03-23 to 2024-12-13), Beqvez/Durveqtix (2024-07-24 to 2025-05-15). Roctavian withdrawn worldwide by BioMarin, announced 2026-02-23, supply to end May 2026. Elevidys refused by EMA 2025-09-24 after a CHMP negative opinion 2025-07-24. Beqvez US licence still listed as active by FDA despite the global discontinuation.","data/cohort/product_cohort.csv columns eu_withdrawn_date, fda_post_approval_event, fda_event_source_url",S28; https://www.biomarin.com/news/company-statements/biomarin-voluntarily-withdraws-roctavian-from-the-market/,verified-from-source,high,topic 03 withdrawal rate; topic 04 retreat events; replaces the six-case table as the denominator,"Zynteglo EU withdrawal seed said 2021 (the Germany exit); the EMA record is 2022-03-24. Alofisel withdrawal followed a failed confirmatory trial (efficacy), the rest are commercial. Roctavian and Elevidys need rows in investment_events.csv and commercial_retreat_cases.csv."
F021,2026-09-04,02_access_stage,"Of 32 genetic FDA-approved products, 22 hold or held an EU authorisation; 5 were EU-first (Zynteglo, Skysona, Roctavian, Libmeldy, Upstaza, by 10 to 39 months). Among the 17 US-first products the median FDA-to-EU authorisation lag is 7.2 months (range 1.0 to 41.4; Adstiladrin the outlier at 41.4). 11 of the 22 EU authorisations were conditional at grant; Abecma, Carvykti and Zolgensma later converted to standard. 9 of the 32 FDA approvals were accelerated.",data/cohort/product_cohort.csv; arithmetic in LOG 2026-09-04 entry,S22; S28,derived,high,topic 01 and 02 stage durations,"EU authorisation type for Imlygic, Itvisma, Kymriah, Luxturna, Libmeldy, Skysona and Strimvelis is inferred from the absence of a conditional or exceptional banner on the EMA page, not from an explicit label."
F022,2026-09-04,01_clinical_stage,"FDA approvals of genetic products in the cohort by year: 2015 1, 2017 3, 2019 1, 2020 1, 2021 2, 2022 5, 2023 5, 2024 5, 2025 5, 2026 4 through August. The cadence has been flat at five per year since 2022.",data/cohort/product_cohort.csv fda_approval_date,S22,verified-from-source,high,topic 05 forecast-against-record,Compare against the S16 2021 projection of US approvals per year once extracted.
F023,2026-09-04,03_uptake_stage,"Quarterly product revenue is public and complete for the pilot products: Zolgensma 29 quarters 2019Q2 to 2026Q2 (Novartis 6-K top-20 table, worldwide only), Yescarta 35 and Tecartus 24 quarters (Gilead earnings releases, US/Europe/Other/Total), Casgevy 11 quarters 2023Q4 to 2026Q2 (Vertex 8-K, worldwide only, recognised at infusion), Luxturna 2018 to 2019Q3 quarterly from Spark 10-Q then Roche half-years from 2022 in CHF with 2020 to 2022 undisclosed. Hemgenix is broken out by CSL only from FY2025 (to June 2025); FY2024 and half-years are back-calculated from stated constant-currency growth.",data/uptake/pilot_revenue.csv (374 of 387 rows verified-from-source); research/findings/calibrate_revenue_to_patients_2026-09-04.py,S29; S30; S31; S32; S33,verified-from-source,high; medium for Hemgenix pre-FY2025 and Luxturna 2020 to 2022,topic 03 task 1; method revenue_to_patients,"No US versus ex-US split for Zolgensma, Casgevy or Hemgenix. Novartis reports Zolgensma Group including Itvisma from 2025Q4. Roche reports Luxturna as 100 percent US."
F024,2026-09-04,03_uptake_stage,"Revenue-to-patients calibration on 17 dated disclosure points across five products: cumulative revenue divided by US list price recovers 63 to 86 percent of the disclosed patient count. Per-product medians: Casgevy 0.83 (infusion counts, revenue recognised at infusion), Luxturna 0.85 (75 vials in 2018 against Spark net sales), Yescarta plus Tecartus 0.80 (Kite commercial milestones), Hemgenix 0.72, Zolgensma 0.67 (worldwide counts that include trial and free managed-access doses). At list price 11 of 17 points fall within 30 percent of the disclosed count. Applying one class-level net-to-list factor of 0.76 (the median) brings all 17 within 30 percent and 15 within 15 percent.",data/uptake/pilot_calibration.csv; research/findings/calibrate_revenue_to_patients_2026-09-04.py ../../data/uptake/raw,S29 to S33; disclosure rows in data/uptake/pilot_disclosures.csv,verified-from-data,"high for direction and order of magnitude; medium for the factor, because most disclosed counts are floors (""more than X"") and Zolgensma counts include non-revenue doses",month 1 gate; method revenue_to_patients step 4,"The month-1 gate in translation_timeline_plan.md section 10 passes. The shortfall combines gross-to-net rebates, lower ex-US prices, outcomes-based rebates and non-revenue doses; Casgevy and Luxturna, which are mostly US and count paid doses, put gross-to-net alone near 15 to 17 percent. Floors bias implied/disclosed upward, so true ratios are if anything lower."
F025,2026-09-04,03_uptake_stage,"Disclosed patient counts exist for calibration but are heterogeneous: Novartis gives worldwide Zolgensma counts including trials and managed access, rounded to 500 (>1,000 in March 2021 to >5,500 in July 2026); Kite gives commercial counts pooled across Yescarta and Tecartus (about 2,500 Yescarta-only end-2019; >11,000 December 2022; >17,700 January 2024; >25,000 January 2025; >31,000 about August 2025, provisional); Vertex gives cumulative Casgevy infusions (29 at June 2025, 39 at September 2025, 64 during 2025) but switched to funnel metrics (initiations) in 2026 and no longer reports infusions; CSL reports >100 commercial Hemgenix patients worldwide at July 2026 with 52 US patients at March 2026 (secondary); Spark disclosed vials only in 2018 and no counts since.",data/uptake/pilot_disclosures.csv,S29 to S33,verified-from-source,high,calibration targets; eligible-population denominators,Vertex ATC count series: 16 (Q4 2023) to >75 (June 2025). Casgevy revenue per infusion is stable at USD 1.7 to 1.9 million.
F026,2026-09-04,03_uptake_stage,"Hemgenix had a global stockout announced 17 March 2026; limited supply resumed April 2026, after which 22 patients were treated (commercial and trial) to July 2026. A supply constraint, not demand, bounds Hemgenix uptake in the first half of 2026.","CSL update relayed by the Hemophilia Federation of America, 28 July 2026, in data/uptake/pilot_disclosures.csv",https://www.hemophiliafed.org/csl-provides-update-on-hemgenix-supply-and-patient-access/,verified-from-source,"medium: CSL letter reproduced by a patient organisation, not a CSL filing",topic 03 covariates; policy_events,Trace to a CSL primary statement before use in a figure.
F027,2026-09-04,01_clinical_stage,"Phares, Phillip and Trusheim (Nat Rev Drug Discov 2025; NEWDIGS PAM dataset of ClinicalTrials.gov trials 1988 to 2023): likelihood of approval from phase 1 is 18.5% for rare-disease gene therapy (195 programmes; phase transitions 55.0%, 49.2%, 68.4%, 100%) and 7.6% for haematological CAR-T and TCR therapy (402 programmes; 26.3%, 38.7%, 75.0%, 100%), against 7.9% for all therapeutic areas (BIO 2011 to 2020) and 7.3% (IQVIA 2010 to 2023). No phase durations are reported.","data/cohort/raw/s06_success_rates.csv (95 rows, 90 verified)",S06; S39,verified-from-source,high,figure 1 benchmark; projection success probabilities (projection_model.md),"Rates are given only for the two groups, not by modality subtype. The 2023 NEWDIGS brief (1988 to 2020 cut) put CAR-T at 17.2%, so press quotes of three times the oncology average refer to the older cut. The rare-disease phase 3 count in the outcomes table (14/20) does not match the stated 68.4% (13/19); the stated figure enters the LOA."
F028,2026-09-05,03_uptake_stage,"CSL primary statements found for Hemgenix: CSL newsroom 17 March 2026 announced a temporary global stockout attributed to the complexity of manufacturing and explicitly not to safety or effectiveness; CSL newsroom 24 July 2026 stated more than 100 people treated commercially worldwide since approval and 22 people (commercial and trial) since limited supply resumed in April 2026. CSL FY2026 results (18 August 2026): Hemgenix USD 118m, up 25%, consistent uptake; no patient, site or stockout detail in the results materials. uniQure's Q2 2026 filings record termination of the Genezen commercial supply agreement in April 2026.","data/uptake/raw/verification_hemgenix_tecartus.csv, task A rows",S34; S32,verified-from-source,high,topic 03 covariates; policy_events.csv row of 2026-03; upgrades F026 to high confidence,CSL's own page is dated 24 July 2026; the Hemophilia Federation of America repost used in F026 is dated 28 July. Numbers agree.
F029,2026-09-05,03_uptake_stage,"Tecartus US list price USD 373,000 at the July 2020 launch is confirmed by Gilead statements quoted with attribution (BioPharma Dive, 24 July 2020; a company spokesperson confirmed the same price for the B-ALL indication on 4 October 2021). Later wholesale acquisition cost per the HMPI compilation: 399,000 (2022), 424,000 (2023), 462,000 (2024 and 2025). UK list GBP 316,118 per infusion (SMC 2023); Canada CAD 533,500 (CADTH 2023). No Gilead or Kite document states a price.","data/uptake/raw/verification_hemgenix_tecartus.csv, task B rows",S37; trade press with company attribution,verified-from-source,high for the launch price; medium for later years (secondary compilation),F024 calibration input; F030,The raw tecartus_disclosures.csv note that no later price changes were located is superseded.
F030,2026-09-05,03_uptake_stage,"Medicare Part B ASP payment limits exist for 12 cohort products (Kymriah, Yescarta, Tecartus, Breyanzi, Abecma and Carvykti from the 2023Q2 to 2023Q4 files; Tecelra, Ryoncil, Provenge, Adstiladrin, Imlygic, Vyjuvek) and for none of 18 coded gene and cell therapies (Luxturna, Zolgensma, Hemgenix, Roctavian, Elevidys, Beqvez, Casgevy, Zynteglo, Lyfgenia, Skysona, Lenmeldy, Waskyra, Aucatzyl, Encelto, Zevaskyn, Papzimeos, Itvisma, Omisirge), which contractors price by invoice or WAC. For Yescarta and Tecartus the implied ASP (payment limit / 1.06) equals the WAC in force two quarters earlier: median ratio 1.00, range 0.92 to 1.06 over 14 quarterly files each. US CAR-T net price is list price. July 2026 payment limits: Kymriah 611,693; Carvykti 587,978; Breyanzi 579,571; Abecma 567,978; Yescarta 562,501; Tecartus 510,104; Tecelra 813,967; the six CAR-T limits rose 14 to 28% from first listing.",data/uptake/raw/cms_asp_payment_limits.csv (185 rows from 33 quarterly files); research/findings/net_price_asp_2026-09-05.py -> data/uptake/net_price_asp.csv,S35; S37,verified-from-data,high,method revenue_to_patients (D011); topic 03 open question on net versus list price,"Implication for F024: the Kite recovery ratio of 0.80 at launch list price reflects list-price increases (373,000 to 503,580 for Yescarta) and lower ex-US prices, not US rebates. ASP files lag sales by two quarters. Codes confirmed or corrected in data/uptake/raw/cms_asp_codes.csv (Skysona J3387, Lenmeldy J3391, Encelto J3403, Papzimeos J3404, Itvisma J3405, Omisirge J3406, Zevaskyn J3389, Aucatzyl Q2058, Tecelra Q2057, Ryoncil J3402); no product code for Amtagvi, Kebilidi, Lantidra or the 2026 approvals."
F031,2026-09-05,06_diagnostics,"The CMS Part B National Summary Data File gives annual allowed services by HCPCS code from 2000 (2023 never published; 2024 released August 2025). 2024 allowed services: 0037U 13,780; 0239U 7,181; 0242U 20,208; 0340U 25,755; 81418 12,333; 81519 24,810; 81225 9,034; 81226 13,829; 81227 3,556; 81230 13; 81231 107; 81355 (VKORC1) 11; 81425 131; 81426 28; 81415 and 81416 suppressed. Two seed codes were wrong: 81228 and 81229 are constitutional cytogenomic microarray codes, and VKORC1 is 81355; data/cohort/diagnostic_codes.csv corrected. The data.cms.gov API returned 403 from this environment.",data/diagnostics/raw/medicare_partb_volumes_check.csv; data/diagnostics/raw/medicare_code_check.csv,S36; S25,verified-from-source,high,topic 06 tasks 1 and 2; figure 5 series,URL patterns for 2000 to 2022 files are in the notes column; the by-geography-and-service dataset on data.cms.gov avoids the under-11 suppression once reachable.
F032,2026-09-05,01_clinical_stage,"First-in-human to first approval (FDA or EMA, whichever first) for all 43 in-scope products, from the start date of the earliest registered interventional trial of the construct (D009): median 8.2 years (IQR 5.7 to 10.6). Autologous CAR-T median 6.4 years (n=7, 4.7 to 8.7); AAV systemic 6.2 (n=6, 4.4 to 8.4); lentiviral ex vivo 9.2 (n=6, 6.0 to 15.6). Longest: Ebvallo 27.8 (MSK EBV-specific T cells from 1995), Encelto 21.8, Ryoncil 19.6, Lantidra 18.6; shortest: Otarmeni 2.8, Papzimeos and Hemgenix 4.4.",research/findings/first_in_human_2026-09-04.py -> data/cohort/first_in_human.csv; data/cohort/raw/fih_candidates.csv (every matched trial),S40,verified-from-data,high for the registry dates; medium as first-in-human for the 14 flagged products whose earliest registered trial is phase 2 or 3 or whose origin predates registration,figure 1 clinical stage; H1 left-hand side; milestones.csv,"Kymriah and Yescarta date from the Penn (2010) and NCI (2009) academic trials of the same constructs. Kebilidi's registered start (2014) postdates the published 2010 compassionate treatment. Pre-2000 trials are unregistered (Provenge, Ebvallo origin flagged)."
F033,2026-09-05,05_projection,"The NEWDIGS 2020 projection of cumulative US durable CGT approvals (pipeline at 31 December 2019) tracks the record: projected 13.0 (2022), 17.9 (2023), 31.9 (2025) against realised first FDA approvals of genetic products 13, 18, 28 (ratios 1.00, 1.01, 0.88), or 14, 21, 33 including non-genetic durable cell therapies (1.08, 1.17, 1.03). The patients projection is where the record falls short: the Tufts 2023 pipeline projection of US patients treated (7,820 in 2023, 10,659 in 2024) compares with CIBMTR-reported US CAR-T patients of 4,903 and 5,266 (80% and 76% of the projected oncology component alone) plus about 600 to 1,500 US non-CAR-T patients per year from the revenue series. France (S17, pipeline December 2022) projected 3, 5 and 5 launches and 1,653, 3,463 and 6,768 newly treated patients in 2023 to 2025; the French record is not yet assembled.",research/findings/forecast_vs_record_2026-09-05.py -> data/projection/forecast_vs_record.csv; data/cohort/raw/projections_S16_S17.csv (327 rows),S16; S17; S20; S38; S24,derived,medium: the projection counts product-indication approvals and the record counts first product approvals; the realised patients side is CAR-T only; S20 values were read from a figure image,figure 6 forecast against record,"S16 full text remains paywalled; its abstract gives 63.5 (54 to 74) cumulative product-indication approvals by 2030, 93,000 patients treated in 2030 and USD 24.4bn revenue in 2030."
F034,2026-09-05,03_uptake_stage,"Eligible-population ranges built for 41 products from 481 source rows (231 usable counts after 51 documented overrides; 123 annual, 91 prevalent, 16 kept as all-severity disease prevalence): 40 products have a US range from verified or derived rows, 21 a Germany range, 16 England, 8 France; Japan, Italy and Spain are sparse. US ranges for the pilot products: Yescarta 5,400 to 9,678 LBCL patients per year; Kymriah 6,302 to 6,522 per year across ALL and LBCL; Zolgensma 490 to 1,000 prevalent under-2 pool plus 215 to 500 births per year; Luxturna 1,000 to 3,000 prevalent; Hemgenix 860 prevalent eligible adults (ICER); Casgevy 20,000 to 25,000 severe SCD (US) and 37,000 SCD plus TDT (Europe); Roctavian 2,500 to 11,000.","research/findings/build_eligible_ranges_2026-09-05.py -> data/uptake/eligible_population.csv, eligible_population_rows.csv, eligible_overrides.csv; raw data/uptake/raw/eligible_E1a.csv to eligible_E4.csv",S41; S42; company filings and epidemiology per row,verified-from-data,"medium: derived rows can rest on snippet inputs; label populations are held at the launch label although Carvykti, Abecma, Yescarta and Elevidys labels have since widened",penetration and milestones (F037); figure 2 denominators,"Ranges sum distinct diseases and span lines of therapy within a disease (D010). Multi-region statements (for example Vertex's 35,000 US plus Europe) stay in the rows file but not in single-geography ranges. No NICE eligible count exists for BCMA CAR-T (appraisals terminated); HAS documents were mostly unreachable."
F035,2026-09-05,03_uptake_stage,"Quarterly revenue series now cover 27 products (from 6): Kymriah (35 quarters), Breyanzi (22, US and international), Abecma (22, folded into other products from 2026Q1), Carvykti (17, US and international), Elevidys (12, US), Roctavian (15), Zynteglo, Skysona and Lyfgenia (bluebird until the Q1 2025 10-Q, then private), Vyjuvek (12), Amtagvi (10), Aucatzyl (7), Lenmeldy (19, Orchard then Kyowa Kirin in JPY), Ryoncil (6), Zevaskyn (5), Tecelra (4, to the 2025 asset sale), Papzimeos (3), Omisirge (4), Provenge (26, 2010 to 2016). Not broken out: Imlygic (Amgen other products), Kebilidi (PTC), Beqvez (Pfizer; no commercial patients disclosed). Median time from first approval anywhere to the end of the first quarter with revenue is 4.7 months (IQR 3.4 to 9.8, n=25): every CAR-T within 5 months; Zynteglo 49 months (EU-first, withdrawn, US relaunch), Skysona 20.5, Lenmeldy 15.4, Roctavian 13.2, Hemgenix 10.2, Casgevy and Lyfgenia 9.8. bluebird disclosed patient starts (Zynteglo 77, Skysona 12, Lyfgenia 32 by 25 March 2025); Sarepta almost 1,000 Elevidys patients including trials (July 2025); BioMarin never disclosed a cumulative Roctavian count.","data/uptake/raw/<product>_revenue.csv and _disclosures.csv; research/findings/build_uptake_series_2026-09-04.py -> data/uptake/patients_quarterly.csv (677 rows: Total, US and Europe series) and uptake_summary.csv",S43; S29 to S33,verified-from-source for the series (status per row); derived for the lags and patient counts,high for series; medium for launch list prices taken from the HMPI compilation and for the fallback prices flagged in uptake_summary.csv,figure 2; milestones (F037); topic 03 task 4,"bluebird and Sarepta report US-only businesses, so their US series is the total. Vyjuvek counts are patient-years at the annual cost; Ryoncil and Provenge are courses. Half-year and annual figures are allocated evenly across quarters and flagged."
F036,2026-09-05,03_uptake_stage,"CAR-T patients by country and year are published: EBMT activity surveys give Europe totals 301 (2018), 1,134 (2019), 1,875 (2020), 2,524 (2021), 3,205 (2022), 4,888 (2023), 6,082 (2024); CIBMTR gives US totals 63 (2016), 137 (2017), 910 (2018), 1,525 (2019), 1,690 (2020), 2,312 (2021), 3,761 (2022), 4,903 (2023), 5,266 (2024); national sources give Germany 437 (2021) to 1,820 (2025, DRST), Spain 159 (2019) to 746 (2024), Italy 49 (2019) to 756 (2024), UK 565 (2024, BSBMTCT), France (DESCAR-T, 2021 to 2024), Japan (JDCHCT, 2019 to 2024), Australia and New Zealand (2024).","data/uptake/raw/cart_registry_counts.csv (162 rows, 141 verified)",S44; S11; S12; S24,verified-from-source,"high for the Europe and US totals; medium for country series (patients versus infusions, registry coverage differ)",cross-country design (topic 03 task 2 done; month 3 table); F033,EBMT per-country tables sit partly in supplementary files not yet opened; the gap rows name them.
F037,2026-09-05,03_uptake_stage,"First reading of H1 on 22 products with revenue and an eligible range: half of the eligible pool is reached at both ends of the range only by Zolgensma (16 months from first approval; worldwide count over a US prevalent plus US-and-EU inflow pool, flagged as overstated). Yescarta and Kymriah have not reached half of the US eligible flow after 8.7 years, longer than their clinical stages of 8.7 and 7.5 years, so for the two oldest CAR-Ts the post-approval stage is already the longer one. Every other product is not yet decidable because follow-up is shorter than its clinical stage. Cumulative penetration at 30 June 2026 (low to high): Yescarta 14 to 34% of US LBCL eligible-years (run-rate 15 to 34%); Kymriah 13 to 17%; Carvykti 7 to 89% (run-rate 13 to 169%: the label moved to second line in 2024 and the low end of the range is the fifth-line flow); Abecma 3 to 29%; Elevidys 24 to 48% of the 4-to-5-year ambulatory pool; Luxturna 8 to 32% of the US prevalent RPE65 pool after 8.5 years; Hemgenix 8 to 11% of ICER's 860 eligible adults; Zynteglo 2.5 to 5% of US TDT; Casgevy 0.2 to 0.3% of severe SCD plus TDT in the US and Europe; Roctavian 0.3 to 1.5%; Lyfgenia under 0.1%; Vyjuvek 23 to 97% of US DEB patients on therapy (run-rate patient-years).",research/findings/build_milestones_2026-09-05.py -> data/uptake/milestones.csv,F032; F034; F035,derived,medium: worldwide revenue over US or US-plus-EU denominators where no regional split exists (flagged per row); eligible ranges held at the launch label; class factor 0.76,H1 (month-2 gate); figures 1 and 2 drafts,"F014's consultancy claim that Luxturna treated nearly all of its eligible population is not supported by the sales record: 245 to 323 US patients against a 1,000 to 3,000 prevalent pool. Superseded for Carvykti, Abecma, Yescarta, Kymriah, Breyanzi, Tecartus, Elevidys and Casgevy by the label-dated pools in F039 (D012); the static ranges there mixed lines of therapy."
