product,sponsor_at_event,event_date,event_type,event_title,counterparty,amount_usd_m,manufacturing_model,geography,stated_reason_verbatim,source_doc,source_url,fetched_date,status,notes
Beqvez / Durveqtix,Pfizer,2025-02-21,discontinuation-or-withdrawal,Pfizer terminates development and commercialisation of Beqvez worldwide and terminates the Spark licence,Spark Therapeutics (Roche),,AAV systemic,worldwide,"In February 2025, Pfizer decided to terminate development and commercialization of Beqvez (fidanacogene elaparvovec) and elected to terminate the license agreement between Pfizer and Spark Therapeutics, Inc. effective as of August 6, 2025.","Pfizer Form 10-K for fiscal year 2024 (filed 2025-02-27), Item 1 product developments",https://www.sec.gov/Archives/edgar/data/78003/000007800325000054/pfe-20241231.htm,2026-09-05,verified-from-source,"Announcement date 2025-02-21 per BioPharma Dive https://www.biopharmadive.com/news/pfizer-beqvez-hemophilia-halt-sales-gene-therapy/740590/, which quotes Pfizer citing 'the limited interest patients and their doctors have demonstrated in hemophilia gene therapies to date'; the 10-K gives only 'February 2025' and no reason. Less than 10 months after FDA approval (2024-04-25). Licence termination effective 2025-08-06 returns rights to Spark/Roche."
Beqvez / Durveqtix,Pfizer,2025-05-15,discontinuation-or-withdrawal,EU marketing authorisation for Beqvez (previously Durveqtix) withdrawn at Pfizer's request,European Commission,,AAV systemic,EU,"On 15 May 2025, the European Commission withdrew the marketing authorisation for Beqvez (fidanacogene elaparvovec) in the European Union (EU). The withdrawal was requested by the marketing authorisation holder, Pfizer Europe MA EEIG, due to commercial reasons. ... The product had not been marketed in the EU.","EMA EPAR page, Beqvez (previously Durveqtix), 'Withdrawn' status and overview",https://www.ema.europa.eu/en/medicines/human/EPAR/durveqtix,2026-09-05,verified-from-source,Conditional EU authorisation granted 2024-07-24; withdrawn under 10 months later without any EU sales.
Beqvez / Durveqtix,Pfizer,2025-02-21,sponsor-exit-from-modality,Pfizer left with no marketed or clinical-stage gene therapy after dropping Beqvez,,,AAV systemic,worldwide,"(trade press characterisation) With the dropping of Beqvez, Pfizer currently has no gene therapy products on the market or in development.","Fierce Pharma, 'Pfizer discontinues hemophilia treatment Beqvez, emptying its gene therapy portfolio' (February 2025); CGTlive, 'Pfizer Jettisons FDA-Approved Hemophilia B Gene Therapy Beqvez'",https://www.fiercepharma.com/pharma/pfizer-empties-gene-therapy-portfolio-discontinues-hemophilia-treatment-beqvez,2026-09-05,provisional-from-snippet,"Fierce URL returned HTTP 403; characterisation taken from search snippets. Primary corroboration in Pfizer 10-K FY2024: 'On September 19, 2023, we completed an agreement with Alexion, under which Alexion purchased and licensed the assets of our early-stage rare disease gene therapy portfolio ... total consideration of up to $1 billion, consisting of an upfront payment of $300 million' (https://www.sec.gov/Archives/edgar/data/78003/000007800325000054/pfe-20241231.htm); Sangamo haemophilia A collaboration terminated December 2024 (not read)."
Breyanzi,Juno Therapeutics,2018-01-22,acquisition,Celgene acquires Juno Therapeutics (liso-cel originator),Celgene,9000,autologous CAR-T,worldwide,"Celgene will pay $87 per share in cash, or a total of approximately $9 billion, net of cash and marketable securities acquired and Juno shares already owned by Celgene (approximately 9.7% of outstanding shares).",Juno Therapeutics 8-K Ex-99.1 joint press release (2018-01-22),https://www.sec.gov/Archives/edgar/data/1594864/000119312518015255/d531432dex991.htm,2026-09-05,verified-from-source,"Predates first approval (2021-02-05); included because it fixed the sponsor at launch. Closing 8-K dated 2018-03-06 (https://www.sec.gov/Archives/edgar/data/1594864/000119312518071366/d519479d8k.htm, not read)."
Breyanzi,Celgene,2019-01-03,acquisition,Bristol-Myers Squibb acquires Celgene,Bristol-Myers Squibb,,autologous CAR-T,worldwide,"each share of Celgene common stock ... will automatically be converted into the right to receive (1) $50.00 in cash, without interest, (2) one share of BMS common stock and (3) one tradeable contingent value right (a 'CVR') representing the right to receive $9.00 in cash if a specified set of milestones is achieved","Celgene Corp Form 8-K (Item 1.01), Agreement and Plan of Merger with Bristol-Myers Squibb dated 2019-01-02 (filed 2019-01-04)",https://www.sec.gov/Archives/edgar/data/816284/000114420419000539/tv510358_8k.htm,2026-09-05,verified-from-source,Predates first approval (Abecma 2021-03-26; Breyanzi 2021-02-05); included because it fixed the sponsor at launch. Announced 2019-01-03; closing 2019-11-20 per Celgene 8-K https://www.sec.gov/Archives/edgar/data/816284/000110465919065939/tm1923405d1_8k.htm. Headline value c. USD 74bn per contemporaneous releases (not restated in the 8-K read); amount left blank.
Breyanzi,Bristol Myers Squibb,2024-04-18,shipment-pause-or-restriction,FDA requires class-wide boxed warning for T-cell malignancies (BCMA- and CD19-directed autologous CAR-T),FDA,,autologous CAR-T,US,"In November 2023, the Food and Drug Administration (FDA) posted a safety communication to provide information about reports of T cell malignancies including chimeric antigen receptor CAR-positive lymphoma in patients who received treatment with BCMA- or CD19-directed autologous CAR T cell immunotherapies. ... FDA concluded that changes to the boxed warning are warranted","FDA CBER safety communication, 'FDA Requires Boxed Warning for T cell Malignancies Following Treatment with BCMA-Directed or CD19-Directed Autologous CAR T cell Immunotherapies' (2024-04-18)",https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2026-09-05,verified-from-source,"Class label change, not a sponsor decision; products listed on the FDA page: Abecma, Breyanzi, Carvykti, Kymriah, Tecartus, Yescarta. Label restriction only; no supply pause. Safety communication first posted November 2023; letters to sponsors January 2024."
Carvykti,Janssen / Legend Biotech,2024-04-18,shipment-pause-or-restriction,FDA requires class-wide boxed warning for T-cell malignancies (BCMA- and CD19-directed autologous CAR-T),FDA,,autologous CAR-T,US,"In November 2023, the Food and Drug Administration (FDA) posted a safety communication to provide information about reports of T cell malignancies including chimeric antigen receptor CAR-positive lymphoma in patients who received treatment with BCMA- or CD19-directed autologous CAR T cell immunotherapies. ... FDA concluded that changes to the boxed warning are warranted","FDA CBER safety communication, 'FDA Requires Boxed Warning for T cell Malignancies Following Treatment with BCMA-Directed or CD19-Directed Autologous CAR T cell Immunotherapies' (2024-04-18)",https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2026-09-05,verified-from-source,"Class label change, not a sponsor decision; products listed on the FDA page: Abecma, Breyanzi, Carvykti, Kymriah, Tecartus, Yescarta. Label restriction only; no supply pause. Safety communication first posted November 2023; letters to sponsors January 2024."
Carvykti,Janssen / Legend Biotech,,none-found,"No sponsor acquisition, divestiture, withdrawal, pause, restructuring or delisting found 2022-02-28 to 2026-09-05 (other than the class boxed warning above)",,,autologous CAR-T,worldwide,,"EDGAR full-text search, Legend Biotech 20-F/6-K/8-K 2022-2026 for 'CARVYKTI' with 'restructuring' (7 hits, all 20-F boilerplate)",https://efts.sec.gov/LATEST/search-index?q=%22CARVYKTI%22%20%22restructuring%22&dateRange=custom&startdt=2022-03-01,2026-09-05,not-found,"2022-2023 capacity constraints were manufacturing scale-up limits, not a pause; not logged."
Casgevy,Vertex / CRISPR Therapeutics,,none-found,"No sponsor acquisition, divestiture, withdrawal, pause, restructuring or delisting found 2023-12-08 to 2026-09-05",,,CRISPR ex vivo,worldwide,,"EDGAR full-text search, Vertex (CIK 875320) and CRISPR Therapeutics (CIK 1674416) 8-K/10-Q 2024-2026 for 'CASGEVY' with 'workforce' (0 hits)",https://efts.sec.gov/LATEST/search-index?q=%22CASGEVY%22%20%22workforce%22&dateRange=custom&startdt=2024-01-01,2026-09-05,not-found,Vertex's retreat from AAV programmes is not attributable to Casgevy and is not logged here.
Elevidys,Sarepta,2025-06-15,shipment-pause-or-restriction,Sarepta suspends all US shipments of Elevidys to non-ambulatory patients after second acute liver failure death,,,AAV systemic,US,"On June 15, 2025, Sarepta announced a second reported case of ALF resulting in death in a patient following treatment with ELEVIDYS, and that both cases of ALF occurred in non-ambulatory individuals. ... in June 2025, we suspended all shipments of ELEVIDYS to non-ambulatory patients in the U.S.",Sarepta 10-Q for quarter ended 2025-06-30 (filed 2025-08-06) and 10-Q for quarter ended 2025-09-30 (filed 2025-11-06),https://www.sec.gov/Archives/edgar/data/873303/000095017025103971/srpt-20250630.htm,2026-09-05,verified-from-source,"Community letter 2025-07-19: 'In June, we voluntarily halted shipments of ELEVIDYS for non-ambulatory patients to allow for an expert committee to evaluate the recommendation of an added immunosuppressive regimen' https://www.sarepta.com/community-letter-update-regarding-elevidys. First ALF death announced 2025-03-18."
Elevidys,Sarepta,2025-07-16,restructuring,"Sarepta strategic restructuring: 36% workforce reduction (~500 employees), ~USD 400m annual savings; agrees to Elevidys boxed warning",,400,AAV systemic,US,"Strategic restructuring includes reduced operating expenses, delivering approximately $400 million in anticipated annual cost savings, and implementing a 36% workforce reduction of approximately 500 employees ... U.S. FDA has requested and Sarepta has agreed to include a black box warning in the ELEVIDYS label","Sarepta 8-K Ex-99.1, 'Sarepta Therapeutics Announces Strategic Restructuring and Pipeline Prioritization Plan' (2025-07-16)",https://www.sec.gov/Archives/edgar/data/873303/000095017025096257/srpt-ex99_1.htm,2026-09-05,verified-from-source,"Amount is annual savings, not a charge. Same release: expert committee 'aligned on an enhanced immunosuppressive regimen with sirolimus for ELEVIDYS in non-ambulant patients'; pipeline refocused on siRNA assets."
Elevidys,Sarepta,2025-07-22,shipment-pause-or-restriction,Sarepta suspends all US Elevidys shipments at FDA's request; ambulatory shipments resume 2025-07-31,FDA,,AAV systemic,US,"In response to a request from the FDA that we voluntarily stop all shipments of ELEVIDYS in the U.S., we temporarily suspended all shipments of ELEVIDYS in the U.S., effective July 22, 2025, to allow us the necessary time to respond to FDA's requests for information and complete a labeling supplement process (the 'ELEVIDYS Suspension'). On July 28, 2025, the FDA informed us that it recommended the removal of the voluntary hold for ambulatory patients. On July 31, 2025, we resumed shipments of ELEVIDYS for ambulatory patients in the U.S.",Sarepta 10-Q for quarter ended 2025-09-30 (filed 2025-11-06),https://www.sec.gov/Archives/edgar/data/873303/000119312525269436/srpt-20250930.htm,2026-09-05,verified-from-source,"FDA informal request made 2025-07-18; Sarepta initially declined ('we declined FDA's request to voluntarily stop shipping ELEVIDYS to ambulatory patients', community letter 2025-07-19) then complied. Roche paused ex-US shipments in the same period (not verified from a primary document)."
Elevidys,Sarepta,2025-07-24,discontinuation-or-withdrawal,EMA CHMP recommends refusal of conditional EU marketing authorisation for Elevidys (Roche as applicant),EMA / Roche,,AAV systemic,EU,The European Medicines Agency has recommended the refusal of the marketing authorisation for Elevidys ... The Agency issued its opinion on 24 July 2025. ... The study failed to show that Elevidys had an effect on movement abilities after 12 months.,"EMA EPAR page, Elevidys, 'Refused' status and overview",https://www.ema.europa.eu/en/medicines/human/EPAR/elevidys,2026-09-05,verified-from-source,"Regulatory refusal, not a sponsor decision; logged because it closes the EU market. European Commission refusal decision 2025-09-24 per project cohort table (not re-verified here). EMA page: 'Currently, all clinical trials with Elevidys are temporarily paused'."
Elevidys,Sarepta,2025-11-03,shipment-pause-or-restriction,Label restriction: boxed warning for acute liver injury/failure and removal of non-ambulatory indication,FDA,,AAV systemic,US,Discussions between FDA and Sarepta in the safety labeling process are expected to be finalized in the near-term with an outcome that includes a box warning and the removal of non-ambulatory indication from the Indication and Usages section.,"Sarepta 8-K Ex-99.1, Q3 2025 financial results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/873303/000119312525262591/srpt-ex99_1.htm,2026-09-05,verified-from-source,Revised label with boxed warning attached to Sarepta 8-K of 2026-01-12 https://www.sec.gov/Archives/edgar/data/873303/000119312526010116/srpt-ex99_1.htm. FY2025 release: revenue decrease 'primarily reflects $273.8 million less in net product revenue of ELEVIDYS as a result of lower volume following our decision to suspend shipments of ELEVIDYS to non-ambulatory patients in the U.S. in June 2025'.
Encelto,Neurotech,,none-found,No sponsor event found 2025-03-05 to 2026-09-05,,,other,US,,"Neurotech is privately held; no SEC filings. No press-release or EDGAR hit for an acquisition, restructuring or withdrawal.",,2026-09-05,not-found,Encapsulated cell therapy (implant).
Genglycos,Ultragenyx,,none-found,No sponsor event found 2026-08-19 to 2026-09-05,,,AAV systemic,US,,Approved 2026-08-19; observation window under one month.,,2026-09-05,not-found,
Hemgenix,CSL Behring,2026-03-17,shipment-pause-or-restriction,CSL Behring announces temporary global stockout of Hemgenix,,,AAV systemic,worldwide,"CSL is currently experiencing a temporary global stockout of HEMGENIX that will result in delays in treatment for some individuals in countries with established commercial access. We want to be very clear that this situation is not related to the safety or effectiveness of HEMGENIX. Rather, it reflects the complexity of manufacturing gene therapies, and our commitment to adhering to the highest regulatory and quality standards.","CSL newsroom, 'Our Commitment to the Hemophilia B Community: An Update on HEMGENIX Availability' (2026-03-17)",https://newsroom.csl.com/2026-03-17-Our-Commitment-to-the-Hemophilia-B-Community-An-Update-on-HEMGENIX-R-etranacogene-dezaparvovec-drlb-Availability,2026-09-05,verified-from-source,No restoration date given in the statement. Manufacturing had been transferred from uniQure's Lexington MA plant to Genezen (plant sold 2024).
Hemgenix,CSL Behring / uniQure,2026-05-05,restructuring,uniQure exits Hemgenix supply; CSL Behring contracts directly with Genezen,Genezen,,AAV systemic,worldwide,"In April 2026, uniQure, CSL Behring and Genezen entered into agreements under which uniQure's remaining HEMGENIX supply and any minimum purchase commitments will terminate after delivery of contractually specified batches to CSL Behring, which uniQure expects to occur in mid-2026. Concurrently, CSL Behring entered into a direct relationship with Genezen as the supplier of HEMGENIX. These agreements have no impact on future royalties or milestones to uniQure under the license agreement with CSL Behring.","uniQure 8-K Ex-99.1, Q1 2026 financial results (2026-05-05)",https://www.sec.gov/Archives/edgar/data/1590560/000110465926055242/qure-20260505xex99d1.htm,2026-09-05,verified-from-source,"Change of manufacturing/supply model (originator exits supply chain), not a withdrawal. Event month April 2026; row dated by disclosure."
Imlygic,BioVex,2011-01-24,acquisition,"Amgen acquires BioVex (OncoVEX GM-CSF, later Imlygic)",Amgen,1000,oncolytic virus,worldwide,"Under terms of the agreement, Amgen will pay up to $1 billion: $425 million in cash at closing and up to $575 million in additional payments upon the achievement of certain regulatory and sales milestones.",Amgen 8-K Ex-99.1 press release (2011-01-25),https://www.sec.gov/Archives/edgar/data/318154/000119312511013248/dex991.htm,2026-09-05,verified-from-source,"Predates first approval (2015-10-27) by nearly five years; included because it fixed the sponsor at launch. Amount is headline maximum (USD 425m upfront). No post-approval discontinuation, withdrawal or Imlygic-attributed restructuring found: EDGAR full-text search Amgen 10-K/8-K 2018-2026 for 'IMLYGIC' with 'discontinu' returned 0 hits; EMA EPAR page shows Imlygic still authorised."
Itvisma,Novartis Gene Therapies,,none-found,No sponsor event found 2025-11-24 to 2026-09-05,,,AAV local,US,,"Novartis 20-F filings and press releases; no Itvisma-specific event. Sponsor-level events (AveXis acquisition 2018, Longmont closure 2021) are logged under Zolgensma.",,2026-09-05,not-found,Intrathecal onasemnogene abeparvovec; EU authorised 2026-06-30.
Kebilidi / Upstaza,PTC Therapeutics,2024-11-27,asset-sale-or-licence,PTC sells the Rare Pediatric Disease Priority Review Voucher granted with Kebilidi's approval for USD 150m,undisclosed buyer,150,AAV local,US,"PTC Therapeutics, Inc. announced today that it has entered into an agreement to sell its Rare Pediatric Priority Review Voucher (PRV) for $150 million upon the closing of the transaction. PTC was granted the PRV on November 13, 2024 along with the U.S. Food and Drug Administration (FDA) approval of KEBILIDI",PTC Therapeutics 8-K Ex-99.1 (2024-11-27),https://www.sec.gov/Archives/edgar/data/1070081/000107008124000026/tmb-20241126xex99d1.htm,2026-09-05,verified-from-source,"Voucher monetisation, not a sale of product rights; proceeds received per PTC JPM release 2025-01-13. No sale or out-licence of Kebilidi/Upstaza itself found in PTC 8-Ks 2024-11 to 2026-08 (13 hits for 'Kebilidi', all commercial updates or forward-looking boilerplate)."
Kresladi,Rocket Pharmaceuticals,2026-06-12,asset-sale-or-licence,Rocket sells the Rare Pediatric Disease Priority Review Voucher obtained with Kresladi's approval for USD 180m,undisclosed buyer,180,lentiviral ex vivo,US,"On June 12, 2026, Rocket announced the closing of the sale of its Rare Pediatric Disease Priority Review Voucher (PRV) for gross proceeds of $180 million","Rocket Pharmaceuticals 8-K Ex-99.1, Second Quarter 2026 Financial Results (2026-08)",https://www.sec.gov/Archives/edgar/data/1281895/000114036126032028/ef20079821_ex99-1.htm,2026-09-05,verified-from-source,"Voucher monetisation, not a sale of product rights. Pre-approval context: Rocket 8-K 2025-07-24 announced 'a reduction in workforce of approximately 30%' tied to a pivot to its AAV pipeline while resubmitting the Kresladi CRL responses (https://www.sec.gov/Archives/edgar/data/1281895/000114036125027032/ef20052552_ex99-1.htm); outside the post-approval window (approval 2026-03-26)."
Kymriah,Novartis,2024-04-18,shipment-pause-or-restriction,FDA requires class-wide boxed warning for T-cell malignancies (BCMA- and CD19-directed autologous CAR-T),FDA,,autologous CAR-T,US,"In November 2023, the Food and Drug Administration (FDA) posted a safety communication to provide information about reports of T cell malignancies including chimeric antigen receptor CAR-positive lymphoma in patients who received treatment with BCMA- or CD19-directed autologous CAR T cell immunotherapies. ... FDA concluded that changes to the boxed warning are warranted","FDA CBER safety communication, 'FDA Requires Boxed Warning for T cell Malignancies Following Treatment with BCMA-Directed or CD19-Directed Autologous CAR T cell Immunotherapies' (2024-04-18)",https://www.fda.gov/vaccines-blood-biologics/safety-availability-biologics/fda-requires-boxed-warning-t-cell-malignancies-following-treatment-bcma-directed-or-cd19-directed,2026-09-05,verified-from-source,"Class label change, not a sponsor decision; products listed on the FDA page: Abecma, Breyanzi, Carvykti, Kymriah, Tecartus, Yescarta. Label restriction only; no supply pause. Safety communication first posted November 2023; letters to sponsors January 2024."
Kymriah,Novartis,,none-found,"No sponsor acquisition, divestiture, withdrawal, pause or Kymriah-attributed restructuring found 2017-08-30 to 2026-09-05 (other than the class boxed warning above)",,,autologous CAR-T,worldwide,,"EDGAR full-text search, Novartis 20-F 2022-2025 for 'Kymriah' with 'restructuring' (6 hits, none Kymriah-specific on reading the 2022 and 2023 20-F)",https://efts.sec.gov/LATEST/search-index?q=%22Kymriah%22%20%22restructuring%22&dateRange=custom&startdt=2022-01-01&forms=20-F,2026-09-05,not-found,
Lantidra,CellTrans,,none-found,No sponsor event found 2023-06-28 to 2026-09-05,,,allogeneic cell,US,,CellTrans is privately held; no SEC filings; no press release found.,,2026-09-05,not-found,
Lenmeldy / Libmeldy,Orchard Therapeutics,2022-03-30,restructuring,Orchard refocuses on neurometabolic programmes; c.30% workforce reduction; exits primary immunodeficiency programmes incl. Strimvelis,,,lentiviral ex vivo,worldwide,Refined portfolio and 30% proposed workforce reduction extend cash runway into 2024 ... Orchard intends to discontinue its investment in and seek alternatives for its programs in rare primary immune deficiencies. These include OTL-103 ... OTL-102 ... and Strimvelis,"Orchard Therapeutics 8-K Ex-99.1, strategic update and FY2021 results (2022-03-30)",https://www.sec.gov/Archives/edgar/data/1748907/000156459022012316/ortx-ex991_7.htm,2026-09-05,verified-from-source,Libmeldy retained as lead commercial product; the retreat is from other ex vivo programmes.
Lenmeldy / Libmeldy,Orchard Therapeutics,2023-10-05,acquisition,Kyowa Kirin acquires Orchard Therapeutics,Kyowa Kirin,477.6,lentiviral ex vivo,worldwide,"Acquisition price of $16.00 per ADS in cash plus an additional contingent value right of $1.00 per ADS, representing a total maximum equity value of approximately $477.6 million ... helps resource the ongoing and future launches of Libmeldy (atidarsagene autotemcel)","Orchard Therapeutics 8-K Ex-99.1, joint Kyowa Kirin/Orchard press release (2023-10-05)",https://www.sec.gov/Archives/edgar/data/1748907/000119312523251143/d537538dex991.htm,2026-09-05,verified-from-source,Closing 2024-01-24 by UK scheme of arrangement per Orchard 8-K https://www.sec.gov/Archives/edgar/data/1748907/000119312524014239/d74405d8k.htm. Kyowa Kirin removed Orchard Therapeutics Limited from its consolidation scope in H1 2026 (entity restructuring; product reporting continues).
