product_key,geography,event_date,action,indication_key,replaces,event_type_raw,pathway,source_url,status,notes
breyanzi,US,2024-03-14,add,CLL,,extension,accelerated,https://www.fda.gov/media/177113/download,verified-from-source,Letter: 'a new indication in relapsed/refractory chronic lymphocytic leukemia or small lymphocytic lymphoma in patients who have received at least two prior lin
breyanzi,US,2024-05-15,add,FL_3L,,extension,accelerated,https://www.fda.gov/media/178659/download,verified-from-source,TRANSCEND FL. Converted from accelerated to traditional approval by supplement STN BL 125714/703 on 20 Feb 2026 (https://www.fda.gov/media/191255/download); pop
breyanzi,US,2024-05-30,add,MCL,,extension,standard,https://www.fda.gov/media/178992/download,verified-from-source,TRANSCEND NHL 001 MCL cohort. Letter wording matches USPI.
breyanzi,US,2025-12-04,add,MZL_3L,,extension,standard,https://www.fda.gov/media/190001/download,verified-from-source,"Coined key MZL_3L (new disease, not in vocabulary). Letter header is SUPPLEMENT APPROVAL with no accelerated-approval section."
carvykti,EU,2022-05-25,add,MM_4L,MM_5L,initial,conditional,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-carvykti_en.pdf,verified-from-source,CHMP opinion 2022-03-24; Commission decision 2022-05-25 (EPAR 'Marketing authorisation issued'). Conditional MA; Janssen-Cilag International NV. EPAR: https://w
carvykti,EU,2024-04-19,add,MM_2L,MM_3L;MM_4L;MM_5L,extension,conditional,https://www.ema.europa.eu/en/documents/procedural-steps-after/carvykti-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,verified-from-source,CHMP opinion 2024-02-22; CD 2024-04-19. CARTITUDE-4 (MMY3002) fulfilled specific obligation SOB/006. Replaces the 3+ prior therapies wording. Summary of opinion
carvykti,US,2022-02-28,add,MM_5L,,initial,standard,https://www.fda.gov/media/156572/download,verified-from-source,Janssen Biotech; CARTITUDE-1 basis. Letter quoted verbatim.
carvykti,US,2024-04-05,add,MM_2L,MM_3L;MM_4L;MM_5L,extension,standard,https://www.fda.gov/media/177564/download,verified-from-source,Letter text: 'to extend the indication based on the results of the CARTITUDE-4 clinical trial (NCT04181827)'. Single-indication label replaces the 4+ prior line
casgevy,EU,2024-02-09,add,TDT_12plus,,initial,conditional,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-casgevy_en.pdf,verified-from-source,CHMP opinion 2023-12-14; Commission decision 2024-02-09. Conditional MA (renewed Feb 2025 and 10 Feb 2026). Vertex Pharmaceuticals (Ireland) Ltd. Both TDT and S
casgevy,EU,2024-02-09,add,SCD_VOC_12plus,,initial,conditional,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-casgevy_en.pdf,verified-from-source,CHMP opinion 2023-12-14; Commission decision 2024-02-09. No EU paediatric (2-11) extension recorded in procedural steps as of last entry (09/02/2026); EU SmPC 4
casgevy,US,2023-12-08,add,SCD_VOC_12plus,,initial,standard,https://www.fda.gov/media/174618/download,verified-from-source,Vertex Pharmaceuticals; CLIMB SCD-121. US label has no HSCT-eligibility or donor criterion (unlike EU).
casgevy,US,2024-01-16,add,TDT_12plus,,extension,standard,https://www.fda.gov/media/175482/download,verified-from-source,Approved as a separate BLA (STN 125785) for TDT; letter states STN 125785 administratively closed and merged under STN 125787. Recorded as extension of the Casg
casgevy,US,2026-07-01,add,SCD_TDT_2to11,,extension,standard,https://www.fda.gov/media/193444/download,verified-from-source,raw key SCD_VOC_2to11; Coined key SCD_VOC_2to11. One supplement covers SCD and TDT (see TDT_2to11 row). Resulting USPI 1: 'CASGEVY is indicated for the treatment of patients aged 2 ye
elevidys,US,2023-06-22,add,DMD_4to5_amb;DMD_4plus,,initial,accelerated,https://www.fda.gov/media/169746/download,verified-from-source,raw key DMD_4to5_amb; Approval letter for STN BL 125781/0 is not linked on the FDA product page; date from FDA press release https://www.fda.gov/news-events/press-announcements/fda-a
elevidys,US,2024-06-20,add,DMD_4plus_amb;DMD_4plus,DMD_4to5_amb,extension,standard,https://www.fda.gov/media/179484/download,verified-from-source,raw key DMD_4plus_amb; Coined key DMD_4plus_amb; together with the non-ambulatory supplement this is the DMD_4plus label. EMBARK basis. Same letter also grants the non-ambulatory acce
elevidys,US,2024-06-20,add,DMD_4plus_nonamb,,extension,accelerated,https://www.fda.gov/media/179484/download,verified-from-source,Coined key DMD_4plus_nonamb. Removed by restriction on 14 Nov 2025 (see restriction row).
elevidys,US,2025-11-14,remove,DMD_4plus_nonamb,,restriction,standard,https://www.fda.gov/media/189632/download,verified-from-source,"Key = population removed (non-ambulatory, 4+). Resulting USPI Section 1: 'ELEVIDYS is an adeno-associated virus vector-based gene therapy indicated for the trea"
kymriah,EU,2018-08-23,add,ALL_ped,,initial,standard,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-kymriah_en.pdf,verified-from-source,CHMP opinion 2018-06-28 (EPAR page lists 27/06/2018); Commission decision 2018-08-23. Standard MA. Novartis Europharm Ltd. Same decision also authorised the DLB
kymriah,EU,2018-08-23,add,LBCL_3L,,initial,standard,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-kymriah_en.pdf,verified-from-source,Second bullet of the initial 4.1 ('Kymriah is indicated for the treatment of: ...'). CHMP opinion 2018-06-28; CD 2018-08-23.
kymriah,EU,2022-04-29,add,FL_3L,,extension,standard,https://www.ema.europa.eu/en/documents/procedural-steps-after/kymriah-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,verified-from-source,CHMP opinion 2022-03-24; CD 2022-04-29. ELARA. Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-opinion-kymriah-i
kymriah,US,2017-08-30,add,ALL_ped,,initial,standard,https://www.fda.gov/media/106989/download,verified-from-source,Novartis; ELIANA basis. First FDA-approved CAR-T.
kymriah,US,2018-05-01,add,LBCL_3L,,extension,standard,https://www.fda.gov/media/112803/download,verified-from-source,JULIET basis. USPI adds Limitation of Use: not indicated for primary CNS lymphoma.
kymriah,US,2022-05-27,add,FL_3L,,extension,accelerated,https://www.fda.gov/media/158835/download,verified-from-source,ELARA basis. Still accelerated approval in USPI revised 6/2025.
tecartus,EU,2020-12-14,add,MCL,,initial,conditional,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-tecartus_en.pdf,verified-from-source,CHMP opinion 2020-10-15; Commission decision 2020-12-14. Conditional MA (renewals 2021-2025). Kite Pharma EU B.V. EU requires prior BTK inhibitor (US label does
tecartus,EU,2022-09-02,add,ALL_adult,,extension,conditional,https://www.ema.europa.eu/en/documents/procedural-steps-after/tecartus-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,verified-from-source,CHMP opinion 2022-07-21; CD 2022-09-02. ZUMA-3. EU adds age floor of 26 years (US: all adults). Summary of opinion: https://www.ema.europa.eu/en/documents/smop/
tecartus,US,2020-07-24,add,MCL,,initial,accelerated,https://www.fda.gov/media/140415/download,verified-from-source,Kite; ZUMA-2. Converted to traditional approval by supplement STN BL 125703/464 on 1 Apr 2026 (https://www.fda.gov/media/191807/download); population unchanged.
tecartus,US,2021-10-01,add,ALL_adult,,extension,standard,https://www.fda.gov/media/152696/download,verified-from-source,ZUMA-3. USPI 1.2: 'TECARTUS is indicated for the treatment of adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).' U
yescarta,EU,2018-08-23,add,LBCL_3L,,initial,standard,https://www.ema.europa.eu/en/documents/smop-initial/chmp-summary-positive-opinion-yescarta_en.pdf,verified-from-source,CHMP opinion 2018-06-28; Commission decision 2018-08-23. Standard MA (renewed with unlimited validity 2023). Kite Pharma EU B.V. EPAR: https://www.ema.europa.eu
yescarta,EU,2022-06-21,add,FL_3L,,extension,standard,https://www.ema.europa.eu/en/documents/procedural-steps-after/yescarta-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,verified-from-source,CHMP opinion 2022-04-22; CD 2022-06-21. NOTE EU wording is 'three or more lines' (4th line onward) whereas US Yescarta FL is 'two or more lines'; repo vocabular
yescarta,EU,2022-10-14,add,LBCL_2L,LBCL_3L,extension,standard,https://www.ema.europa.eu/en/documents/procedural-steps-after/yescarta-epar-procedural-steps-taken-scientific-information-after-authorisation-archive_en.pdf,verified-from-source,CHMP opinion 2022-09-15; CD 2022-10-14. ZUMA-7. Summary of opinion: https://www.ema.europa.eu/en/documents/smop/chmp-post-authorisation-summary-positive-opinion
yescarta,US,2017-10-18,add,LBCL_3L,,initial,standard,https://www.fda.gov/media/108458/download,verified-from-source,Kite Pharma; ZUMA-1 basis.
yescarta,US,2021-03-05,add,FL_3L,,extension,accelerated,https://www.fda.gov/media/148510/download,verified-from-source,Original 5 Mar 2021 letter not posted separately; the 2 Apr 2021 replacement letter is the FDA source. Current USPI 1.2: 'YESCARTA is indicated for the treatmen
yescarta,US,2022-04-01,add,LBCL_2L,LBCL_3L,extension,standard,https://www.fda.gov/media/157539/download,verified-from-source,ZUMA-7 basis. USPI 1.1 bullet: 'Adult patients with large B-cell lymphoma that is refractory to first-line chemoimmunotherapy or that relapses within 12 months 
