product_key,geography,family,n_estimates,n_verified_or_derived,low,high,low_incl_provisional,high_incl_provisional,by_disease,n_diseases,estimate_years,measure_types,indications,sources
elevidys,US,prevalent,5,5,728.0,15000.0,728.0,15000.0,DMD:728-15000,1,"2023,2024,2026",prevalent_eligible,"DMD_4plus_all,DMD_4plus_amb,DMD_4plus_nonamb,DMD_4to5_amb","Derived from Romitti 2015 (MD STARnet) prevalence and US Cen | Derived from Romitti 2015 x Census 2024 (this file), PPMD ~1 | Derived from annual DMD births | Parent Project Muscular Dystrophy, About Duchenne (web page,"
encelto,US,prevalent,2,2,5560.0,165000.0,5560.0,165000.0,MACTEL2:5560-165000,1,"2020,2025",prevalent_eligible,MacTel2,"Claritas Rx blog, 'A Breakthrough in Vision Care: The FDA Ap | Derived here from Beaver Dam (0.1%) and Melbourne (0.004%) r"
genglycos,US,annual,1,1,29.0,29.0,29.0,29.0,GSD1A:29-29,1,2023,annual_incident_eligible,GSD1a,Derived here: 3.6 million US live births per year (CDC 2023:
genglycos,US,prevalent,1,1,1500.0,2500.0,1500.0,2500.0,GSD1A:1500-2500,1,2026,company_addressable,GSD1a,"Ultragenyx press release, 19 Aug 2026 (GlobeNewswire)"
genglycos,global,prevalent,1,1,6000.0,8000.0,6000.0,8000.0,GSD1A:6000-8000,1,2026,company_addressable,GSD1a,"Ultragenyx press release, 19 Aug 2026 (GlobeNewswire)"
glybera,EU,prevalent,1,1,930.0,930.0,930.0,930.0,LPLD:930-930,1,2004,prevalent_eligible,LPLD,"EMA, orphan designation EU/3/04/194, alipogene tiparvovec fo"
glybera,France,prevalent,1,1,136.0,136.0,136.0,136.0,LPLD:136-136,1,2023,prevalent_eligible,LPLD,Derived here: 2 per million x French population about 68.1 m
glybera,Germany,prevalent,1,1,166.0,166.0,166.0,166.0,LPLD:166-166,1,2022,prevalent_eligible,LPLD,Derived here: CHMP/G-BA prevalence 2 per million x German po
hemgenix,Australia,prevalent,1,1,568.0,568.0,568.0,568.0,HEMB:568-568,1,2022,prevalent_eligible,HemB_adult,"WFH, Report on the Annual Global Survey 2022 (published Octo"
hemgenix,Canada,prevalent,2,2,58.0,742.0,58.0,742.0,HEMB:58-742,1,"2022,2024","gatekeeper_eligible,prevalent_eligible",HemB_adult,"CDA-AMC (CADTH) Pharmacoeconomic Review, Etranacogene Dezapa | WFH, Report on the Annual Global Survey 2022 (published Octo"
hemgenix,England,prevalent,2,2,250.0,300.0,250.0,300.0,HEMB:250-300,1,2024,gatekeeper_eligible,HemB_adult,"NICE TA989 Etranacogene dezaparvovec for treating moderately | Progress Educational Trust (PET) news, NHS funding approved "
hemgenix,France,annual,1,0,,,304.0,304.0,HEMB:304-304,1,2023,gatekeeper_eligible,HemB_adult,"HAS, HEMGENIX (etranacogene dezaparvovec) - Hemophilie B, av"
hemgenix,France,prevalent,1,1,1909.0,1909.0,1909.0,1909.0,HEMB:1909-1909,1,2022,prevalent_eligible,HemB_adult,"WFH, Report on the Annual Global Survey 2022 (published Octo"
hemgenix,Germany,prevalent,2,2,340.0,842.0,340.0,842.0,HEMB:340-842,1,"2022,2023","gatekeeper_eligible,prevalent_eligible",HemB_adult,"G-BA Beschluss Anlage XII Etranacogen Dezaparvovec (Haemophi | WFH, Report on the Annual Global Survey 2022 (published Octo"
hemgenix,Gulf,prevalent,1,1,262.0,262.0,262.0,262.0,HEMB:262-262,1,2022,prevalent_eligible,HemB_adult,"WFH, Report on the Annual Global Survey 2022 (published Octo"
hemgenix,Italy,prevalent,1,1,707.0,707.0,707.0,707.0,HEMB:707-707,1,2022,prevalent_eligible,HemB_adult,"WFH, Report on the Annual Global Survey 2022 (published Octo"
hemgenix,Japan,prevalent,1,1,1294.0,1294.0,1294.0,1294.0,HEMB:1294-1294,1,2022,prevalent_eligible,HemB_adult,"WFH, Report on the Annual Global Survey 2022 (published Octo"
hemgenix,Spain,prevalent,1,1,286.0,286.0,286.0,286.0,HEMB:286-286,1,2022,prevalent_eligible,HemB_adult,"WFH, Report on the Annual Global Survey 2022 (published Octo"
hemgenix,UK,prevalent,2,2,1721.0,2000.0,1721.0,2000.0,HEMB:1721-2000,1,"2022,2024",prevalent_eligible,HemB_adult,"Progress Educational Trust (PET) news, NHS funding approved  | WFH, Report on the Annual Global Survey 2022 (published Octo"
hemgenix,US,prevalent,1,1,860.0,860.0,860.0,860.0,HEMB:860-860,1,2022,gatekeeper_eligible,HemB_adult,"ICER, Gene Therapy for Hemophilia B and An Update on Gene Th"
imlygic,Germany,annual,4,4,35.0,670.0,35.0,670.0,MEL:35-670,1,2016,gatekeeper_eligible,MEL_unresectable,"G-BA Beschluss AM-RL Anlage XII: Talimogen laherparepvec, 15 | G-BA Beschluss AM-RL Anlage XII: Talimogen laherparepvec, Be | Sum of the three subgroup ranges in the G-BA Beschluss Talim"
itvisma,US,annual,1,1,244.0,359.0,244.0,359.0,SMA:244-359,1,2023,annual_incident_eligible,SMA_2plus,Derived from US SMA birth prevalence
itvisma,US,prevalent,2,2,8000.0,9000.0,8000.0,9000.0,SMA:8000-9000,1,2025,"company_addressable,prevalent_eligible",SMA_2plus,"Derived from Novartis 9,000 and under-2 pool | Novartis press release, FDA approval of Itvisma, 24 Nov 2025"
kebilidi,EU,annual,1,1,24.0,71.0,24.0,71.0,AADC:24-71,1,2024,annual_incident_eligible,AADC,"Derived from Eurostat 2024 births, SMC/PTC incidence and SMC"
kebilidi,England,annual,1,1,4.0,11.0,4.0,11.0,AADC:4-11,1,2023,annual_incident_eligible,AADC,"Derived from ONS 2023 births, SMC/PTC incidence and SMC seve"
kebilidi,Germany,annual,1,1,4.0,30.0,4.0,30.0,AADC:4-30,1,2023,gatekeeper_eligible,AADC,"G-BA Beschluss Eladocagene Exuparvovec, 2 Feb 2023, section "
kebilidi,UK,prevalent,1,1,8.0,12.0,8.0,12.0,AADC:8-12,1,2023,prevalent_eligible,AADC,"SMC, eladocagene exuparvovec (Upstaza), Aug/Sep 2023, p.2"
kebilidi,US,annual,1,1,30.0,108.0,30.0,108.0,AADC:30-108,1,2023,annual_incident_eligible,AADC,Derived from CDC 2023 births and incidence range
kebilidi,global,prevalent,1,1,5000.0,5000.0,5000.0,5000.0,AADC:5000-5000,1,2024,company_addressable,AADC,PTC Therapeutics Form 10-K for FY2024
kresladi,US,annual,1,1,4.0,4.0,4.0,4.0,LAD1:4-4,1,,annual_incident_eligible,LAD1,"MedlinePlus Genetics (NIH/NLM), condition page (accessed 202"
kymriah,Australia,annual,1,0,,,200.0,250.0,LBCL:200-250,1,2020,gatekeeper_eligible,LBCL_3L,"Australian Government Department of Health, media release of"
kymriah,Germany,annual,4,4,1140.0,1475.0,1140.0,1475.0,ALL:50-65; FL:650-690; LBCL:440-720,3,"2018,2020,2022",gatekeeper_eligible,"ALL_ped,FL_3L,LBCL_3L","G-BA Beschluss / Zusammenfassende Dokumentation, Tisagenlecl | G-BA Beschluss, Tisagenlecleucel (DLBCL), D-375, Beschluss v | G-BA Beschluss, Tisagenlecleucel (DLBCL, Neubewertung nach F | G-BA Beschluss, Tisagenlecleucel (neues Anwendungsgebiet: fo"
kymriah,US,annual,4,4,6302.0,6522.0,6302.0,6522.0,ALL:400-620; LBCL:5902-5902,2,"2016,2017","company_addressable,gatekeeper_eligible","ALL_ped,LBCL_3L","ICER, Chimeric Antigen Receptor T-Cell Therapy for B-Cell Ca | The Motley Fool, 'Novartis' $475,000 Price Tag Sets the Stag"
lenmeldy,EU,annual,1,1,7.0,34.0,7.0,34.0,MLD:7-34,1,2024,annual_incident_eligible,MLD_early,"Derived from Eurostat 2024 births, incidence range and ICER "
lenmeldy,England,annual,1,1,1.0,5.0,1.0,5.0,MLD:1-5,1,2023,annual_incident_eligible,MLD_early,"Derived from ONS 2023 births, incidence range and ICER eligi"
lenmeldy,Germany,annual,1,1,1.0,3.0,1.0,3.0,MLD:1-3,1,2021,gatekeeper_eligible,MLD_early,G-BA Beschluss AM-RL Anlage XII Atidarsagen autotemcel (Meta
lenmeldy,UK,annual,2,2,4.0,17.0,4.0,17.0,MLD:4-17,1,2022,"annual_incident_eligible,prevalent_eligible",MLD_early,"Horgan C, et al. JIMD Reports 2023;64(5):346-352"
lenmeldy,US,annual,5,5,7.0,90.0,7.0,90.0,MLD:7-90,1,"2021,2023","annual_incident_eligible,gatekeeper_eligible",MLD_early,"Derived from CDC 2023 births and incidence range | Derived from birth range and ICER eligibility fraction | ICER MLD Evidence Report, 14 Sep 2023, section 7 | ICER MLD Evidence Report, 14 Sep 2023, section 7 (p.38-39) | ICER MLD Evidence Report, 14 Sep 2023, section 7 - per-year "
luxturna,England,prevalent,2,0,,,86.0,86.0,RPE65:86-86,1,2019,gatekeeper_eligible,RPE65,"NICE HST11 / press coverage of the NICE recommendation | NICE HST11, final evaluation determination / committee paper"
luxturna,Germany,prevalent,3,3,100.0,655.0,100.0,655.0,RPE65:100-655,1,"2019,2022","gatekeeper_eligible,prevalent_eligible",RPE65,"G-BA, Tragende Gruende zum Beschluss (Neubewertung nach Fris | G-BA, Tragende Gruende zum Beschluss ueber die Nutzenbewertu"
luxturna,US,prevalent,4,4,1000.0,3000.0,1000.0,3000.0,RPE65:1000-3000,1,"2017,2018","company_addressable,gatekeeper_eligible,prevalent_eligible",RPE65,"ICER, Voretigene Neparvovec for Biallelic RPE65-Mediated Ret | Spark Therapeutics Form 10-K for FY2018 | Spark Therapeutics press release, ""Spark Therapeutics Announ"
luxturna,multi: US+EU,prevalent,1,1,6000.0,6000.0,6000.0,6000.0,RPE65:6000-6000,1,2018,company_addressable,RPE65,Spark Therapeutics Form 10-K for FY2018
luxturna,multi: US+Germany+France+Italy+Spain+EU5,prevalent,1,1,3500.0,3500.0,3500.0,3500.0,RPE65:3500-3500,1,2017,company_addressable,RPE65,"ICER, Voretigene Neparvovec for Biallelic RPE65-Mediated Ret"
lyfgenia,US,prevalent,2,2,20000.0,25000.0,20000.0,25000.0,SCD:20000-25000,1,"2023,2024","company_addressable,gatekeeper_eligible",SCD_VOC_12plus,"ICER, Gene Therapies for Sickle Cell Disease, Final Evidence | bluebird bio, Inc. Form 10-K for fiscal year ended 2024-12-3"
omisirge,US,annual,1,1,1000.0,1000.0,1000.0,1000.0,CORDBLOOD:1000-1000,1,2021,company_addressable,cordblood_HSCT,Gamida Cell Ltd. Form 10-K for fiscal year 2021
otarmeni,US,annual,2,1,50.0,50.0,20.0,50.0,OTOF:50-50,1,"2025,2026",annual_incident_eligible,OTOF,"CGTLive, 'Regeneron Nets Accelerated Approval From FDA for O | Regeneron DB-OTO press releases 2023-2025 as summarised in s"
papzimeos,US,prevalent,2,2,27000.0,27000.0,27000.0,27000.0,RRP:27000-27000,1,2025,company_addressable,RRP_adult,"Precigen press release, FDA Grants Priority Review to Precig | Precigen, Inc. Form 10-K for fiscal year 2025 (filed 25 Mar "
provenge,England,annual,1,0,,,4600.0,4600.0,MCRPC:4600-4600,1,2014,gatekeeper_eligible,mCRPC_asymp,"PharmaTimes, Dendreon's Provenge too expensive for NHS use, "
provenge,Germany,annual,2,2,13510.0,28800.0,13510.0,28800.0,MCRPC:13510-28800,1,2014,"company_addressable,gatekeeper_eligible",mCRPC_asymp,"G-BA, Tragende Gruende zum Beschluss ueber eine Aenderung de | G-BA, Tragende Gruende, Sipuleucel-T, 19 Maerz 2015"
roctavian,Australia,prevalent,1,1,2445.0,2445.0,2445.0,2445.0,HEMA:2445-2445,1,2022,prevalent_eligible,HemA_severe,"WFH, Report on the Annual Global Survey 2022 (published Octo"
roctavian,Canada,prevalent,1,1,3442.0,3442.0,3442.0,3442.0,HEMA:3442-3442,1,2022,prevalent_eligible,HemA_severe,"WFH, Report on the Annual Global Survey 2022 (published Octo"
roctavian,France,prevalent,1,1,7893.0,7893.0,7893.0,7893.0,HEMA:7893-7893,1,2022,prevalent_eligible,HemA_severe,"WFH, Report on the Annual Global Survey 2022 (published Octo"
roctavian,Germany,prevalent,2,2,690.0,4245.0,690.0,4245.0,HEMA:690-4245,1,"2022,2023","gatekeeper_eligible,prevalent_eligible",HemA_severe,"G-BA Beschluss Anlage XII Valoctocogen Roxaparvovec (schwere | WFH, Report on the Annual Global Survey 2022 (published Octo"
roctavian,Gulf,prevalent,1,1,1134.0,1134.0,1134.0,1134.0,HEMA:1134-1134,1,2022,prevalent_eligible,HemA_severe,"WFH, Report on the Annual Global Survey 2022 (published Octo"
roctavian,Italy,prevalent,1,1,2944.0,2944.0,2944.0,2944.0,HEMA:2944-2944,1,2022,prevalent_eligible,HemA_severe,"WFH, Report on the Annual Global Survey 2022 (published Octo"
roctavian,Japan,prevalent,1,1,5776.0,5776.0,5776.0,5776.0,HEMA:5776-5776,1,2022,prevalent_eligible,HemA_severe,"WFH, Report on the Annual Global Survey 2022 (published Octo"
roctavian,Spain,prevalent,1,1,1842.0,1842.0,1842.0,1842.0,HEMA:1842-1842,1,2022,prevalent_eligible,HemA_severe,"WFH, Report on the Annual Global Survey 2022 (published Octo"
roctavian,UK,prevalent,1,1,7666.0,7666.0,7666.0,7666.0,HEMA:7666-7666,1,2022,prevalent_eligible,HemA_severe,"WFH, Report on the Annual Global Survey 2022 (published Octo"
roctavian,US,prevalent,4,4,2500.0,11000.0,2500.0,11000.0,HEMA:2500-11000,1,"2022,2023,2024","company_addressable,gatekeeper_eligible,prevalent_eligible",HemA_severe,"BioMarin press release via PR Newswire, U.S. FDA Approves Bi | CDC, Data and Statistics on Hemophilia (page last reviewed 2 | ICER, Gene Therapy for Hemophilia B and An Update on Gene Th"
ryoncil,US,annual,1,1,443.0,443.0,443.0,443.0,PEDSRAGVHD:443-443,1,2016,annual_incident_eligible,pedSRaGVHD,Derived from the two rows above
skysona,EU,annual,1,1,13.0,69.0,13.0,69.0,CALD:13-69,1,2024,annual_incident_eligible,CALD,Derived from Eurostat 2024 births and Kemper/HRSA incidence
skysona,England,annual,1,1,2.0,11.0,2.0,11.0,CALD:2-11,1,2023,annual_incident_eligible,CALD,Derived from ONS 2023 births and Kemper/HRSA incidence
skysona,US,annual,6,5,10.0,70.0,10.0,70.0,CALD:10-70,1,"2016,2022,2023","annual_incident_eligible,company_addressable,gatekeeper_eligible",CALD,"BioPharma Dive, 17 Sep 2022 | BioPharma Dive, Bluebird wins FDA approval of gene therapy f | Derived from CDC 2023 births and Kemper 2016 / HRSA incidenc | Kemper AR, et al. Newborn screening for X-linked adrenoleuko | Trade-press coverage of the Skysona FDA approval (Sept 2022) | bluebird bio Form 10-K for FY2022 (filed 27 Mar 2023): 'appr"
strimvelis,EU,annual,1,1,8.0,8.0,8.0,8.0,ADA:8-8,1,,annual_incident_eligible,ADA_SCID,"MedlinePlus Genetics (NIH/NLM), condition page (accessed 202"
strimvelis,England,annual,3,3,1.0,10.0,1.0,10.0,ADA:1-10,1,2017,"annual_incident_eligible,gatekeeper_eligible",ADA_SCID,NICE HST7 Strimvelis for treating adenosine deaminase defici
strimvelis,US,annual,1,1,7.0,7.0,7.0,7.0,ADA:7-7,1,,annual_incident_eligible,ADA_SCID,"MedlinePlus Genetics (NIH/NLM), condition page (accessed 202"
tecartus,England,annual,2,2,200.0,200.0,200.0,200.0,ALL:90-90; MCL:110-110,2,"2021,2023",gatekeeper_eligible,"ALL_adult,MCL",NICE technology appraisal TA677 resource impact statement/su | NICE technology appraisal TA893 resource impact statement/su
tecartus,Germany,annual,2,2,186.0,350.0,186.0,350.0,ALL:81-200; MCL:105-150,2,"2021,2023",gatekeeper_eligible,"ALL_adult,MCL","G-BA Beschluss, Autologe Anti-CD19-transduzierte CD3-positiv | G-BA Zusammenfassende Dokumentation, Brexucabtagen-Autoleuce"
tecelra,US,annual,2,2,64.0,400.0,64.0,400.0,SS:64-400,1,"2014,2024","annual_incident_eligible,company_addressable",SS_MAGEA4,"Adaptimmune Therapeutics Form 10-K FY2024 (filed March 2025) | Derived from Venkataraman et al., The Oncologist 2025 (PMC12"
tudriqev,US,annual,3,3,10000.0,13000.0,10000.0,13000.0,MEL:10000-13000,1,2026,"annual_incident_eligible,company_addressable",MEL_postPD1,"Derived from Replimune Form 10-K FY2026 | Replimune Group Form 10-K for fiscal year ended 31 March 202 | Replimune, TUDRIQEV FDA Accelerated Approval Investor Call s"
vyjuvek,England,annual,1,1,16.0,16.0,16.0,16.0,DEB:16-16,1,2021,annual_incident_eligible,DEB,"Derived here: 26.1 per million live births x 624,828 live bi"
vyjuvek,England,prevalent,1,1,638.0,638.0,638.0,638.0,DEB:638-638,1,2021,prevalent_eligible,DEB,Derived here: Petrof 2022 DEB prevalence 10.7 per million x 
vyjuvek,France,prevalent,1,0,,,522.0,522.0,DEB:522-522,1,2025,gatekeeper_eligible,DEB,"HAS, avis de la Commission de la Transparence, VYJUVEK (bere"
vyjuvek,Germany,prevalent,5,5,240.0,1011.0,240.0,1011.0,DEB:240-1011,1,"2022,2023,2026","gatekeeper_eligible,prevalent_eligible",DEB,"G-BA Beschluss ueber die Nutzenbewertung von Beremagen geper | IQWiG Dossierbewertung G25-25, Beremagen geperpavec (dystrop"
vyjuvek,UK,prevalent,1,1,1250.0,1250.0,1250.0,1250.0,DEB:1250-1250,1,2021,prevalent_eligible,DEB,"Derived here from NIHR Innovation Observatory 2021: 5,000 pe"
vyjuvek,US,annual,1,1,19.0,19.0,19.0,19.0,DEB:19-19,1,2023,annual_incident_eligible,DEB,Derived here: (2.12 + 3.05) per million live births x 3.6 mi
vyjuvek,US,prevalent,4,3,951.0,3000.0,951.0,3500.0,DEB:951-3000,1,"2018,2023,2024,2025","company_addressable,prevalent_eligible",DEB,"Derived here: (1.49 + 1.35) per million x US population abou | Krystal Biotech Form 10-K (FY2018 or adjacent year) as summa | Krystal Biotech Form 10-K for FY2024 (filed 19 Feb 2025), Bu | Krystal Biotech Form 10-K for FY2025 (filed 17 Feb 2026), Bu"
vyjuvek,multi: Germany+France,annual,1,1,1000.0,1000.0,1000.0,1000.0,DEB:1000-1000,1,2025,company_addressable,DEB,"Krystal Biotech Form 10-K for FY2025 (filed 17 Feb 2026), Bu"
vyjuvek,multi: Germany+France+Italy+Spain+Japan,prevalent,1,0,,,6500.0,6500.0,DEB:6500-6500,1,2023,prevalent_eligible,DEB,"DelveInsight via PR Newswire, 'ZEVASKYN Approval Positions A"
waskyra,EU,annual,1,1,8.0,8.0,8.0,8.0,WAS:8-8,1,2025,annual_incident_eligible,WAS,"Fondazione Telethon press release, FDA approval of Waskyra ("
waskyra,US,annual,1,1,7.0,7.0,7.0,7.0,WAS:7-7,1,2025,annual_incident_eligible,WAS,"Fondazione Telethon press release, FDA approval of Waskyra ("
yescarta,Canada,annual,1,1,513.0,1140.0,513.0,1140.0,LBCL:513-1140,1,2023,annual_incident_eligible,LBCL_2L,Derived from CADTH NBK601820 statements
yescarta,EU,annual,1,1,15200.0,15200.0,15200.0,15200.0,LBCL:15200-15200,1,2020,company_addressable,LBCL_2L,Derived from the Gilead 17 Oct 2022 release
yescarta,England,annual,1,1,540.0,540.0,540.0,540.0,LBCL:540-540,1,2023,gatekeeper_eligible,LBCL_2L,NICE technology appraisal TA895 resource impact statement/su
yescarta,Germany,annual,3,3,680.0,2640.0,680.0,2640.0,LBCL:680-2640,1,"2023,2024","annual_incident_eligible,gatekeeper_eligible","LBCL_2L,LBCL_3L","G-BA Zusammenfassende Dokumentation, Axicabtagen-Ciloleucel  | IQWiG Dossierbewertung A24-71 (24 Sep 2024) | IQWiG Dossierbewertung A24-71, Axicabtagen-Ciloleucel (DLBCL"
yescarta,US,annual,4,4,5400.0,9678.0,5400.0,9678.0,LBCL:5400-9678,1,"2016,2022,2024","annual_incident_eligible,company_addressable,gatekeeper_eligible","LBCL_2L,LBCL_3L","Derived from the Kite boilerplate above | Derived from the Perales 2022 BIM inputs (SEER, Sehn 2021, M | ICER, Chimeric Antigen Receptor T-Cell Therapy for B-Cell Ca"
